event_id,window,signal_date,execution_date,event_type,regime,baseline_episode_id,path_mechanism,block_label,baseline_score,ex04_score,baseline_enter_threshold,ex04_enter_threshold,baseline_exit_threshold,ex04_exit_threshold,baseline_margin,ex04_margin,weights_only_condition,thresholds_only_condition,baseline_structure_contribution,ex04_structure_contribution,structure_contribution_gap,baseline_trend_contribution,ex04_trend_contribution,trend_contribution_gap,baseline_volume_position_contribution,ex04_volume_position_contribution,volume_position_contribution_gap,score_gap,ex04_exit_margin,endpoint_date,endpoint_reason,trading_days,actual_terminal_wealth,continued_terminal_wealth,counterfactual_log_advantage,max_favorable_excursion,max_adverse_excursion,closure_residual,holding_days,holding_age_bin,ex04_trend_contribution_sign,outcome_label,cohort
2023H2:early_ex04_exit:20230706,2023H2,2023-07-06,2023-07-07,early_ex04_exit,downtrend,2023H2:E001,early_exit,independent_double_block,5.551115123125783e-17,-0.02423973245256,0.15,0.175,0.0,0.025,5.551115123125783e-17,-0.04923973245256,True,True,-0.0999999999999999,-0.1070464809619297,0.0070464809619298074,-0.3,-0.2978029615774915,-0.0021970384225085127,0.4,0.3806097100868612,0.019390289913138847,0.024239732452560055,-0.04923973245256,2023-07-10,baseline_exit_execution,2,0.9995,0.99266748046875,-0.006859409550893255,0.0,-0.006835937500000111,0.0,3,short,negative,protective_exit,control
2023H2:early_ex04_exit:20230808,2023H2,2023-08-08,2023-08-09,early_ex04_exit,sideways,2023H2:E002,early_exit,independent_double_block,2.775557561562892e-17,-0.02423973245256,0.15,0.175,0.0,0.025,2.775557561562892e-17,-0.04923973245256,True,True,-0.0499999999999999,-0.059470267201072,0.009470267201072101,-0.1499999999999999,-0.1550743202949186,0.005074320294918694,0.2,0.1903048550434306,0.009695144956569424,0.024239732452560028,-0.04923973245256,2023-08-15,baseline_exit_execution,5,0.9995,0.9651042510121458,-0.03501902629958134,0.0,-0.03441295546558709,0.0,6,medium,negative,protective_exit,control
2023H2:early_ex04_exit:20230907,2023H2,2023-09-07,2023-09-08,early_ex04_exit,sideways,2023H2:E003,early_exit,independent_double_block,2.775557561562892e-17,-0.02423973245256,0.15,0.175,0.0,0.025,2.775557561562892e-17,-0.04923973245256,True,True,-0.0499999999999999,-0.059470267201072,0.009470267201072101,-0.1499999999999999,-0.1550743202949186,0.005074320294918694,0.2,0.1903048550434306,0.009695144956569424,0.024239732452560028,-0.04923973245256,2023-09-13,baseline_exit_execution,4,0.9995,1.003859869138495,0.00435256399884194,0.013086150490730697,0.0,0.0,6,medium,negative,neutral_exit,control
2024H1:early_ex04_exit:20240103,2024H1,2024-01-03,2024-01-04,early_ex04_exit,sideways,2024H1:E001,early_exit,joint_margin_block,0.05,0.0233364813082976,0.15,0.175,0.0,0.025,0.05,-0.0016635186917023,False,False,0.0,-0.0118940534402144,0.0118940534402144,-0.1499999999999999,-0.1550743202949186,0.005074320294918694,0.2,0.1903048550434306,0.009695144956569424,0.026663518691702404,-0.0016635186917023,2024-01-05,baseline_exit_execution,2,0.9995,0.9912591283863369,-0.008279172069020648,0.0,-0.008244994110718551,0.0,2,short,negative,protective_exit,control
2024H2:early_ex04_exit:20240724,2024H2,2024-07-24,2024-07-25,early_ex04_exit,sideways,2024H2:E001,early_exit,independent_double_block,2.775557561562892e-17,-0.02423973245256,0.15,0.175,0.0,0.025,2.775557561562892e-17,-0.04923973245256,True,True,-0.0499999999999999,-0.059470267201072,0.009470267201072101,-0.1499999999999999,-0.1550743202949186,0.005074320294918694,0.2,0.1903048550434306,0.009695144956569424,0.024239732452560028,-0.04923973245256,2024-07-30,baseline_exit_execution,4,0.9995,0.9940006877579093,-0.005517255374754629,0.015130674002751032,-0.005502063273727598,1.734723475976807e-18,9,medium,negative,protective_exit,control
2024H2:early_ex04_exit:20241030,2024H2,2024-10-30,2024-10-31,early_ex04_exit,uptrend,2024H2:E004,early_exit,independent_double_block,2.775557561562892e-17,-0.02423973245256,0.15,0.175,0.0,0.025,2.775557561562892e-17,-0.04923973245256,True,True,-0.0499999999999999,-0.059470267201072,0.009470267201072101,-0.15,-0.1550743202949186,0.005074320294918611,0.2,0.1903048550434306,0.009695144956569424,0.024239732452560028,-0.04923973245256,2024-11-04,baseline_exit_execution,3,0.9995,0.9791228338430175,-0.02059805059507057,0.012232415902140747,-0.020387359836901098,0.0,21,long,negative,protective_exit,control
2025H1:early_ex04_exit:20250311,2025H1,2025-03-11,2025-03-12,early_ex04_exit,uptrend,2025H1:E002,early_exit,independent_double_block,2.775557561562892e-17,-0.02423973245256,0.15,0.175,0.0,0.025,2.775557561562892e-17,-0.04923973245256,True,True,-0.0499999999999999,-0.059470267201072,0.009470267201072101,-0.15,-0.1550743202949186,0.005074320294918611,0.2,0.1903048550434306,0.009695144956569424,0.024239732452560028,-0.04923973245256,2025-03-14,baseline_exit_execution,3,0.9995,0.9659774933804061,-0.03411461877740517,0.0,-0.033539276257722905,0.0,34,long,negative,protective_exit,control
2025H1:early_ex04_exit:20250418,2025H1,2025-04-18,2025-04-21,early_ex04_exit,sideways,2025H1:E004,interrupted_holding,joint_margin_block,0.0499999999999999,0.0233364813082975,0.15,0.175,0.0,0.025,0.0499999999999999,-0.0016635186917024,False,False,0.0499999999999999,0.0356821603206432,0.014317839679356702,0.0,-0.0123456790123456,0.0123456790123456,0.0,0.0,0.0,0.026663518691702397,-0.0016635186917024,2025-04-22,ex04_reentry_execution,2,0.9990004997501251,1.0058027079303675,0.0067859371503771766,0.007736943907156624,0.0,0.0,5,short,negative,false_exit,control
2025H1:early_ex04_exit:20250613,2025H1,2025-06-13,2025-06-16,early_ex04_exit,sideways,2025H1:E007,interrupted_holding,joint_margin_block,0.05,0.0233364813082976,0.15,0.175,0.0,0.025,0.05,-0.0016635186917023,False,False,-0.0499999999999999,-0.059470267201072,0.009470267201072101,-0.3,-0.2978029615774915,-0.0021970384225085127,0.4,0.3806097100868612,0.019390289913138847,0.026663518691702404,-0.0016635186917023,2025-06-25,ex04_reentry_execution,8,0.9990004997501251,1.0100502512562812,0.011000083417916473,0.010050251256281229,-0.013065326633165841,0.0,10,medium,negative,false_exit,control
2025H2:early_ex04_exit:20251014,2025H2,2025-10-14,2025-10-15,early_ex04_exit,uptrend,2025H2:E001,early_exit,joint_margin_block,0.05,0.0111432180862277,0.15,0.175,0.0,0.025,0.05,-0.0138567819137722,False,False,0.0,-0.0240873166622842,0.0240873166622842,-0.15,-0.1550743202949186,0.005074320294918611,0.2,0.1903048550434306,0.009695144956569424,0.0388567819137723,-0.0138567819137722,2025-10-17,baseline_exit_execution,3,0.9995,1.0042961444174756,0.004787067376965327,0.01733703190013869,0.0,0.0,70,long,negative,neutral_exit,underperformance
