candidate_id,stage,anchor_name,sample_index,is_anchor,weight__raw__30m__cxt_bi_status_V230101,weight__raw__30m__cxt_third_buy_V230228__di_1,weight__raw__daily__cxt_bi_status_V230101,weight__raw__daily__cxt_five_bi_V230619__di_1,weight__raw__daily__cxt_seven_bi_V230620__di_1,weight__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,weight__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,weight__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,weight__raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,weight__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,weight__raw__daily__pressure_support_V240406__di_1__w_20,weight__raw__weekly__cxt_bi_status_V230101,parent_seed_id,structure_share,trend_share,volume_position_share,minimum_factor_weight
0,1,control,0,True,0.0508465339633371,0.0509736502982454,0.0406772271706696,0.0511023555873401,0.0406772271706696,0.0894641040973542,0.0762698009450056,0.0762698009450056,0.0762698009450056,0.2033861358533485,0.2033861358533485,0.0406772271706696,,0.2749542213609318,0.3182735069323713,0.406772271706697,0.0406772271706696
1,1,control,1,False,0.0494390450373577,0.0802039348605754,0.0442477744209695,0.0280476277851781,0.0383818148481789,0.052475457766254,0.0777249382645082,0.1047068079632596,0.0704572776805906,0.2152589386142588,0.2321113253510675,0.0069450574078013,,0.2472652543600611,0.3053644816746125,0.4473702639653263,0.0069450574078013
2,1,control,2,False,0.0758135597089655,0.0848943939166055,0.0376091972158185,0.0200074940802494,0.0876924799904917,0.0755907306443899,0.0423476541394553,0.0693143230976474,0.0822732281156147,0.1974377395226509,0.2029838837946359,0.0240353157734748,,0.3300524406856058,0.2695259359971074,0.4004216233172868,0.0200074940802494
3,1,control,3,False,0.0481173584729349,0.0574818632264909,0.0428475721388321,0.0306848305414427,0.038067660328025,0.1228050416407007,0.0729521441656852,0.0630616049169779,0.083216987766026,0.171330035875868,0.2505645652837189,0.018870335643297,,0.236069620351023,0.3420357784893899,0.421894601159587,0.018870335643297
4,1,control,4,False,0.062205690981141,0.0824939756995675,0.0498798761479291,0.0749848163552367,0.0761865646220121,0.0554524742991777,0.0999577006365855,0.0471825739679275,0.0541321990050819,0.1676851787488138,0.2030811234701788,0.026757826066348,,0.3725087498722346,0.2567249479087728,0.3707663022189927,0.026757826066348
5,1,control,5,False,0.0377363029353325,0.0380079470629581,0.0595689091120709,0.0310160092853749,0.022575134549181,0.0802615893330734,0.0539164386171505,0.0556592913893985,0.0765775012314479,0.2113114157239209,0.2665357608834461,0.0668336998766449,,0.2557380028215625,0.2664148205710704,0.4778471766073671,0.022575134549181
6,1,control,6,False,0.0411868863982537,0.0245012167674511,0.0434460829811151,0.0662243706587664,0.0573014109741532,0.114385344773628,0.025125984405334,0.1283973686704948,0.0549590828746505,0.180640947080275,0.2309527333885815,0.0328785710272964,,0.265538538807036,0.3228677807241074,0.4115936804688566,0.0245012167674511
7,1,control,7,False,0.0757022204383224,0.0541655754846402,0.040606649248223,0.0782249717136626,0.0544493765909991,0.0735045511413658,0.0830867757335507,0.0654759638454019,0.052958123852058,0.1906688711819062,0.1921471669815682,0.0390097537883015,,0.342158547264149,0.2750254145723765,0.3828160381634745,0.0390097537883015
8,1,control,8,False,0.0850812234491763,0.066492430436246,0.0346136311500421,0.044319051725552,0.035215208075148,0.0946921988837441,0.055542674607683,0.0620174703559849,0.068622389550582,0.2161678929920678,0.1817663083805975,0.0554695203931758,,0.3211910652293404,0.2808747333979941,0.3979342013726654,0.0346136311500421
9,1,control,9,False,0.0475851229951668,0.039143454319732,0.0225532570997129,0.0937939795384656,0.0399880333361887,0.1163402471700279,0.0613412264604175,0.1043029038162839,0.0802666223740506,0.1845185646529915,0.1967952936834658,0.0133712945534961,,0.2564351418427625,0.3622509998207802,0.3813138583364573,0.0133712945534961
10,1,control,10,False,0.0401581940202714,0.0560421469019735,0.0518011116454865,0.0251882267150422,0.0434774132471072,0.0832273838444673,0.0600886826412791,0.1249937667065288,0.07261199617726,0.2068275498548887,0.2058091600568608,0.0297743681888341,,0.2464414607187151,0.3409218293695353,0.4126367099117495,0.0251882267150422
11,1,control,11,False,0.0303189117934596,0.0405680485517982,0.0654437669747162,0.0618871960229356,0.0452175745745419,0.1012334725094,0.0356217550838922,0.0625872436958962,0.0544834840769128,0.1820175144226311,0.2311555245847293,0.0894655077090865,,0.3329010056265383,0.2539259553661013,0.4131730390073604,0.0303189117934596
12,1,control,12,False,0.0109112016681393,0.0596982157818251,0.0386969620356116,0.0423503715547019,0.0548172547617711,0.0622775542593926,0.0795158951290037,0.0774864337597624,0.0485000814776538,0.2238027488708719,0.2046314630836871,0.0973118176175789,,0.3037858234196283,0.2677799646258126,0.428434211954559,0.0109112016681393
13,1,control,13,False,0.0314194560912612,0.0688228809676533,0.0499035310213258,0.0745906910544738,0.0563859862769742,0.1224937897097174,0.0383588060041375,0.0445528636008236,0.1055489866040927,0.2340545961120972,0.1406460990289639,0.033222313528479,,0.3143448589401675,0.3109544459187713,0.3747006951410612,0.0314194560912612
14,1,control,14,False,0.0243812830481668,0.0481506315405227,0.0477239774718078,0.057153367818889,0.031522210378203,0.0505973723338164,0.0650969080690157,0.0830950990157425,0.0565531713931616,0.2607553352524855,0.2391033434554351,0.0358673002227535,,0.244798770480343,0.2553425508117363,0.4998586787079208,0.0243812830481668
15,1,control,15,False,0.1158072407582668,0.0233589100816921,0.0607798432770186,0.1019831814168302,0.018195524756322,0.0743106936842673,0.0568267225579191,0.067831298678832,0.0431948075832912,0.1481626491065204,0.2535690259105487,0.035980102188491,,0.3561048024786209,0.2421635225043098,0.4017316750170691,0.018195524756322
16,1,control,16,False,0.0473813908868326,0.0303175967798443,0.0531807152767464,0.0417357677332829,0.0452011853320383,0.0912812378647655,0.1016381868366916,0.0662827610757147,0.1019898253188329,0.2196644773185301,0.1818763636128646,0.0194504919638557,,0.2372671479726004,0.3611920110960049,0.4015408409313948,0.0194504919638557
17,1,control,17,False,0.0381686294918491,0.0270629606634914,0.0886190389825712,0.0482767152679418,0.0203693007862861,0.0969531355999943,0.0718572253254095,0.0568297519819044,0.0837370777315776,0.2356079613022886,0.1930843710924503,0.0394338317742353,,0.2619304769663752,0.309377190638886,0.4286923323947389,0.0203693007862861
