object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown,local_classification,value
state_machine,entry_confirm_days,confirm_days=2,2021,0.0029406556554447683,0.21280183656016738,0.2098611809047226,0.13294054781997158,1.576404431025572,1.4434638832056004,0.2857076539481382,18,0.5020576131687243,-0.06672448978159473,stable_local_improvement,2
state_machine,entry_confirm_days,confirm_days=2,2022,-0.07098337536211052,-0.008929804249053874,0.06205357111305665,-0.3925555936985177,0.046326953007960574,0.4388825467064783,0.35574807030101824,17,0.47107438016528924,-0.15187170167519537,stable_local_improvement,2
state_machine,entry_confirm_days,confirm_days=2,2023,-0.06031910763728798,-0.10504295089760751,-0.04472384326031953,-0.3898777490492146,-0.8309287068388596,-0.441050957789645,0.34821131043344883,22,0.5537190082644629,-0.19954403674964105,stable_local_improvement,2
state_machine,entry_confirm_days,confirm_days=2,2024,0.06821503071757551,0.2171116443392187,0.1488966136216432,0.429718323504386,0.856406803317498,0.426688479813112,0.38627995523459485,21,0.4256198347107438,-0.18231540565177728,stable_local_improvement,2
state_machine,entry_confirm_days,confirm_days=2,2025,0.5165797353772803,0.5400878068391934,0.023508071461913138,2.1935321360904703,2.321787225076065,0.12825508898559468,0.3238373526382228,13,0.6296296296296297,-0.11609090023745072,stable_local_improvement,2
state_machine,entry_confirm_days,confirm_days=2,2021H1,0.24893799167194453,0.26180787682796214,0.012869885156017613,3.071835242807882,3.268716072600123,0.1968808297922413,1.0,5,0.5847457627118644,-0.06672448978159473,stable_local_improvement,2
state_machine,entry_confirm_days,confirm_days=2,2021H2,-0.19785984963082448,-0.039908760030888835,0.15795108959993565,-2.7932256547119008,-0.6747504967513112,2.1184751579605896,0.29707691430825806,14,0.424,-0.0621602139481392,stable_local_improvement,2
state_machine,entry_confirm_days,confirm_days=2,2022H1,-0.06477702515250938,-0.051279609689414696,0.013497415463094686,-0.7230789850675907,-0.523562629162366,0.19951635590522476,1.0,11,0.5042735042735043,-0.15187170167519537,stable_local_improvement,2
state_machine,entry_confirm_days,confirm_days=2,2022H2,-0.004512956055262585,0.04687173644835041,0.051384692503612994,0.027823439228323324,0.830360405031237,0.8025369658029137,0.35574807030101974,7,0.44,-0.0814546676839869,stable_local_improvement,2
state_machine,entry_confirm_days,confirm_days=2,2023H1,0.0509484040161825,0.04262865463338095,-0.008319749382801556,0.7678236149964333,0.6808133227047072,-0.08701029229172608,0.47765683858134045,11,0.711864406779661,-0.07108699348123593,stable_local_improvement,2
state_machine,entry_confirm_days,confirm_days=2,2023H2,-0.10632026926329408,-0.1420629097136925,-0.03574264045039843,-2.295242649962902,-3.620314627610076,-1.3250719776471738,0.9783621102185415,12,0.4032258064516129,-0.14906925832878315,stable_local_improvement,2
state_machine,entry_confirm_days,confirm_days=2,2024H1,-0.09485536840967668,-0.048340079662333,0.046515288747343675,-1.2263976900051408,-0.7633203747861548,0.463077315218986,0.46464851600742907,8,0.4017094017094017,-0.09540379492637052,stable_local_improvement,2
state_machine,entry_confirm_days,confirm_days=2,2024H2,0.18015949433488965,0.2789354876975003,0.09877599336261067,1.0655359885390128,1.4486420598928305,0.3831060713538177,0.9999999999999902,13,0.448,-0.18231540565177762,stable_local_improvement,2
state_machine,entry_confirm_days,confirm_days=2,2025H1,0.03483459850082471,0.06181024806867841,0.0269756495678537,0.5727132492529325,0.931789553931443,0.3590763046785105,0.47386719986117326,7,0.5641025641025641,-0.11609090023745072,stable_local_improvement,2
