symbol,configuration,qualifies,full_calmar_10bp,buyhold_calmar_10bp,full_max_drawdown_10bp,buyhold_max_drawdown_10bp,positive_all_internal_periods_10bp,full_annualized_return_30bp,entries,top2_positive_year_concentration
518880.SH,drawdown_trigger=0.05;recovery_return=0,False,0.0416020491658469,0.3211527369286858,0.2254720252808946,0.22846975088967936,False,-0.004167957604014116,39,0.4175554216280666
518800.SH,drawdown_trigger=0.05;recovery_return=0,False,0.05554495966659537,0.31054492767426894,0.21186419796932998,0.23232682060390586,False,-0.0007613922593914246,36,0.5238706461074136
518880.SH,drawdown_trigger=0.05;recovery_return=0.02,False,0.07567993229148887,0.3211527369286858,0.15391879912245854,0.22846975088967936,True,0.0019418512883977446,28,0.515684138645034
518800.SH,drawdown_trigger=0.05;recovery_return=0.02,False,0.07846846424756364,0.31054492767426894,0.14231538787486941,0.23232682060390586,False,0.0018132731025790605,27,0.5243991000530779
518880.SH,drawdown_trigger=0.08;recovery_return=0,False,0.17236032806647064,0.3211527369286858,0.11947655230755405,0.22846975088967936,False,0.014159945364830229,18,0.43097258686286155
518800.SH,drawdown_trigger=0.08;recovery_return=0,False,0.14485088872257879,0.31054492767426894,0.13568296724265727,0.23232682060390586,False,0.013224706147471066,18,0.4782219424348051
518880.SH,drawdown_trigger=0.08;recovery_return=0.02,False,0.13715252094338193,0.3211527369286858,0.1275276639987032,0.22846975088967936,False,0.012161201270745048,15,0.5471443304141896
518800.SH,drawdown_trigger=0.08;recovery_return=0.02,False,0.14285129656269857,0.31054492767426894,0.11398635583052608,0.23232682060390586,False,0.010961824233281403,15,0.5361490131348774
518880.SH,drawdown_trigger=0.12;recovery_return=0,False,0.24575684911724807,0.3211527369286858,0.07937654313373,0.22846975088967936,False,0.016651412941725674,8,0.710298856729817
518800.SH,drawdown_trigger=0.12;recovery_return=0,False,0.3398038958304622,0.31054492767426894,0.08028566174477891,0.23232682060390586,False,0.024402304407874054,8,0.7728961017254904
518880.SH,drawdown_trigger=0.12;recovery_return=0.02,False,0.30728859817981996,0.3211527369286858,0.05537856777231942,0.22846975088967936,False,0.014532338523575161,7,0.8361145593015206
518800.SH,drawdown_trigger=0.12;recovery_return=0.02,False,0.4339008827970352,0.31054492767426894,0.057504169463928,0.23232682060390586,False,0.022443576908071305,7,0.6822277542910096
