eligible_session,disclosures,positive_weight,negative_weight,net_breadth,direction
2024-10-24,1,0.0,2.651,-2.651,-1
2024-10-28,2,5.132,1.356,3.776,1
2024-10-30,2,0.0,5.736000000000001,-5.736000000000001,-1
2024-10-31,3,1.422,7.853,-6.431,-1
2024-11-01,10,7.614000000000001,22.063,-14.448999999999998,-1
2024-11-11,1,12.873,0.0,12.873,1
2025-01-15,1,0.0,9.895,-9.895,-1
2025-01-16,2,9.759,5.855,3.904,1
2025-01-20,3,1.042,4.226,-3.184,-1
2025-01-22,2,1.305,1.635,-0.33000000000000007,-1
2025-01-24,1,5.512,0.0,5.512,1
2025-01-27,3,1.329,3.1390000000000002,-1.8100000000000003,-1
2025-02-13,1,0.0,11.379,-11.379,-1
2025-02-27,1,3.369,0.0,3.369,1
2025-02-28,1,0.0,1.432,-1.432,-1
2025-03-03,7,14.986999999999998,2.5949999999999998,12.392,1
2025-04-14,1,0.0,5.862,-5.862,-1
2025-04-21,2,8.522,1.945,6.577,1
2025-04-23,2,10.077,0.0,10.077,1
2025-04-25,1,0.0,4.814,-4.814,-1
2025-04-28,4,9.978,1.124,8.854,1
2025-04-30,3,1.634,6.375,-4.741,-1
2025-05-06,8,2.636,9.381,-6.745,-1
2025-05-12,1,10.177,0.0,10.177,1
2025-07-15,1,0.0,6.202,-6.202,-1
2025-07-21,2,5.269,1.42,3.849,1
2025-08-07,1,8.187,0.0,8.187,1
2025-08-12,1,0.0,1.298,-1.298,-1
2025-08-14,1,0.0,1.542,-1.542,-1
2025-08-18,1,0.0,2.27,-2.27,-1
2025-08-22,1,0.0,4.593,-4.593,-1
2025-08-25,2,2.202,1.284,0.9179999999999999,1
2025-08-28,2,10.674,0.0,10.674,1
2025-08-29,4,2.435,3.524,-1.089,-1
2025-09-01,6,18.176,1.625,16.551,1
2025-10-17,1,0.0,10.455,-10.455,-1
2025-10-20,1,9.362,0.0,9.362,1
2025-10-27,1,0.0,1.641,-1.641,-1
2025-10-29,2,0.0,6.474,-6.474,-1
2025-10-30,3,1.703,2.024,-0.32099999999999995,-1
2025-10-31,4,10.75,1.764,8.986,1
2025-11-03,9,5.334,15.282,-9.948,-1
2025-11-17,1,9.788,0.0,9.788,1
2026-01-12,1,0.0,1.613,-1.613,-1
2026-01-15,1,1.937,0.0,1.937,1
2026-01-16,1,2.143,0.0,2.143,1
2026-01-19,1,0.0,5.781,-5.781,-1
2026-01-21,1,1.118,0.0,1.118,1
2026-01-23,1,0.0,1.166,-1.166,-1
2026-01-26,2,7.726,0.0,7.726,1
2026-02-02,3,7.912,2.423,5.489,1
2026-02-12,1,0.0,9.35,-9.35,-1
2026-02-13,1,1.356,0.0,1.356,1
2026-02-27,2,9.374,12.313,-2.939,-1
2026-03-02,7,10.998,2.7969999999999997,8.201,1
2026-04-15,1,2.734,0.0,2.734,1
2026-04-17,1,3.501,0.0,3.501,1
2026-04-24,2,1.257,2.177,-0.9200000000000002,-1
2026-04-27,2,1.196,2.062,-0.8659999999999999,-1
2026-04-29,4,10.827,6.491,4.336,1
2026-04-30,4,2.8,4.593999999999999,-1.7939999999999996,-1
2026-05-06,6,2.0620000000000003,19.28,-17.218,-1
2026-05-18,1,0.0,8.59,-8.59,-1
2026-07-17,1,4.93,0.0,4.93,1
2026-07-20,3,8.437000000000001,8.166,0.2710000000000008,1
2026-07-21,1,0.896,0.0,0.896,1
2026-07-23,1,4.962,0.0,4.962,1
2026-07-27,1,0.0,1.151,-1.151,-1
2026-07-30,1,1.304,0.0,1.304,1
2026-08-05,1,7.999,0.0,7.999,1
2026-08-10,1,0.0,8.61,-8.61,-1
2026-08-19,1,0.0,2.895,-2.895,-1
2026-08-21,2,0.0,3.419,-3.419,-1
2026-08-24,2,4.691,3.626,1.065,1
2026-08-26,3,1.851,0.471,1.38,1
2026-08-27,1,0.0,3.029,-3.029,-1
2026-08-28,3,4.094,0.855,3.2390000000000003,1
2026-08-31,2,7.836,2.101,5.735,1
