trial_id,behavior_hash,nearest_points,neighborhood_radius,local_feasible_rate,local_feasible_points
S007-EX22-JOINT-GATED-SCORE-02784,f928037ed13fc328ee98d7c032e61526e0af7c5494e9c2eea074577edb6b60f3,20,0.03520717915216176,1.0,20
S007-EX22-JOINT-GATED-SCORE-02722,c0b6fe3ecf5a79ded34f380cc51df60036d7a88f8e21f0adf0427927c0233fce,20,0.03520717915216176,1.0,20
S007-EX22-JOINT-GATED-SCORE-01735,3261d2465d94433802cf5d82ee51656a0eea4e5a383e32c24619b1db263abbfa,20,0.08469501678871016,0.85,17
S007-EX22-JOINT-GATED-SCORE-01838,eaf60f6e7fc3f63c76715b12069879b9e8a6129cc9ea78f15ef98d082379b458,20,0.08469501678871016,0.85,17
S007-EX22-JOINT-GATED-SCORE-02081,a7cb1adcb771a69a29b4b7cbd55e3a4ccd70a1070b5ad28b494a20a9a24041f8,20,0.03520717915216176,1.0,20
S007-EX22-JOINT-GATED-SCORE-02806,79c5484926691193512f3375149c045feadd43382645b5529ba48b81edf9f178,20,0.05170924034933222,0.8,16
S007-EX22-JOINT-GATED-SCORE-02913,046b51856af3c621e901c01d9ac72d5363eb1ad8efc28030782d1307737a5b0a,20,0.05170924034933222,0.8,16
S007-EX22-JOINT-GATED-SCORE-02585,c9eef61ed869fd53b10d7f7eeed45c83225593d59a3ffe1cf094f1b70eb2a9b3,20,0.03520717915216176,1.0,20
S007-EX22-JOINT-GATED-SCORE-02972,4ed0f62b875cd6942291b2f70d44c8ff4cc1879b281d32c68e6fb980430f27ba,20,0.05880309396870653,0.9,18
S007-EX22-JOINT-GATED-SCORE-01870,0db33436c1b7052153e6e4824d7c48525fa383c21dae3e4d171ab1fa9d5c9320,20,0.04655479251176087,0.85,17
S007-EX22-JOINT-GATED-SCORE-02335,7ea6dfb19f07cbb403503f2e58c50dc517d4be8a6491304ab7d130c03e22bcfe,20,0.04801408226500781,0.8,16
S007-EX22-JOINT-GATED-SCORE-02963,7ea6dfb19f07cbb403503f2e58c50dc517d4be8a6491304ab7d130c03e22bcfe,20,0.04801408226500781,0.8,16
S007-EX22-JOINT-GATED-SCORE-02958,22b30e3e24c9c0b9c5e14f4bfd18c27cf1fddbfb4dc2daa05a1f020e6b1428c3,20,0.04801408226500781,0.8,16
S007-EX22-JOINT-GATED-SCORE-02320,718e93b7c83b0578ad16f83121de0b6f0fb215b5cf0b87d075f3dab9baeacaab,20,0.03520717915216176,1.0,20
S007-EX22-JOINT-GATED-SCORE-01829,518d38443e9f100942b5745f6bca0663eb3cbbf9a5e24d8c0d527aece096e2eb,20,0.04655479251176087,0.85,17
S007-EX22-JOINT-GATED-SCORE-01392,40285ba8a7a197cec01fba9236dee5f644d24e225024673f7aa3fb80b0c7238b,20,0.03520717915216176,1.0,20
S007-EX22-JOINT-GATED-SCORE-02135,40285ba8a7a197cec01fba9236dee5f644d24e225024673f7aa3fb80b0c7238b,20,0.03520717915216176,1.0,20
S007-EX22-JOINT-GATED-SCORE-02586,40285ba8a7a197cec01fba9236dee5f644d24e225024673f7aa3fb80b0c7238b,20,0.03520717915216176,1.0,20
