path_id,direction,quantile,events,rolling60_median,rolling60_p10,rolling60_minimum,rolling60_maximum,density_eligible
POS_Q60,POSITIVE_UNDERREACTION,0.6,515,24.0,17.0,0,33,False
NEG_Q60,NEGATIVE_OVERREACTION,0.6,474,21.0,16.0,0,30,False
POS_Q70,POSITIVE_UNDERREACTION,0.7,381,17.0,12.0,0,31,True
NEG_Q70,NEGATIVE_OVERREACTION,0.7,365,16.0,11.0,0,26,True
POS_Q80,POSITIVE_UNDERREACTION,0.8,264,12.0,7.0,0,24,False
NEG_Q80,NEGATIVE_OVERREACTION,0.8,260,11.0,5.0,0,21,False
