hypothesis_id,exit_clock,year,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar
M01,09:45,2021,61,-0.0012814618623846947,-0.001199280431740779,0.4098360655737705,0.7341613245753935,-0.07868948350878036,-0.11411002208349219,-0.6895930968377582
M01,09:45,2022,69,-0.003208467115652469,-0.0026922560962674424,0.37681159420289856,0.5909374578574608,-0.20657087944739505,-0.23437185933760074,-0.8813808962868712
M01,09:45,2023,58,-0.0031051917699294377,-0.003938196625140278,0.2413793103448276,0.45901808963511526,-0.16809204081472506,-0.17968084848399168,-0.9355033785345293
M01,09:45,2024,75,-0.0011052545331694929,-0.00020147751508903244,0.48,0.7785464602943316,-0.08487516691693187,-0.14294931450627024,-0.593743084463752
M01,09:45,2025,58,-0.0009606666629833453,-0.000711584767889184,0.4482758620689655,0.797557368467622,-0.057928393533354994,-0.08228959856762841,-0.7039576634433021
M01,09:45,2026,40,-0.00693644778576494,-0.011132293777017244,0.3,0.5133442164143306,-0.2559577949902663,-0.24082371473351027,-1.0628429815290534
M02,09:45,2021,66,-0.0025357644915725767,-0.0011992804317409456,0.45454545454545453,0.5892687586058131,-0.15985538509497677,-0.17281594212112772,-0.9250036954515063
M02,09:45,2022,71,-0.006920261700541201,-0.005572313354544001,0.2676056338028169,0.2440423002370506,-0.3928642871880985,-0.37706426098875034,-1.0419027413468378
M02,09:45,2023,53,-0.00457698966656371,-0.0039257610129098675,0.20754716981132076,0.2082789323603385,-0.21710547114029477,-0.21945908314920315,-0.9892753948702673
M02,09:45,2024,75,-0.0036434737058629258,-0.001199280431741001,0.36,0.4261292587074028,-0.24358005321346266,-0.23708694154338716,-1.0273870489357477
M02,09:45,2025,58,-0.003268479896373912,-0.0011992804317409456,0.39655172413793105,0.46256524451603936,-0.1771837870306603,-0.15819385028668276,-1.1200421932304163
M02,09:45,2026,38,-0.010018480107670983,-0.010492680086982398,0.2631578947368421,0.3113238129155348,-0.32456240311023,-0.3339299716393628,-0.9719475059901195
M03,09:45,2021,58,-0.002056844531629369,-0.0011992804317409456,0.43103448275862066,0.5438640707295967,-0.1144135660142428,-0.14015690179600815,-0.8163248798176662
M03,09:45,2022,78,-0.0043594065141258345,-0.005199622716521635,0.34615384615384615,0.5048967045928077,-0.29649688278749975,-0.28665132800183546,-1.0343467963476565
M03,09:45,2023,62,-0.002911206471734099,-0.0031081754642297565,0.27419354838709675,0.3932023520835322,-0.1673637671784447,-0.18278149803474486,-0.9156493899980543
M03,09:45,2024,75,-0.0018490755643982763,-0.001199280431741001,0.4533333333333333,0.6998958389184945,-0.1357550753884711,-0.1884837979371241,-0.7202479835097408
M03,09:45,2025,51,-0.004063961779577655,-0.0031053886751917226,0.3137254901960784,0.4056856741359435,-0.19185052315947881,-0.21124079803355078,-0.9082077181369469
M03,09:45,2026,45,-0.011484476016419267,-0.007357114707747359,0.2222222222222222,0.16614386305495935,-0.4096149543915306,-0.4042890032175165,-1.0131736236494877
M04,09:45,2021,51,-0.0012721548466876256,-0.0004637865292607124,0.49019607843137253,0.7338221639041925,-0.06534404494833002,-0.11043542236070325,-0.5916946171030509
M04,09:45,2022,69,-0.003681282061700581,-0.004297938300101611,0.36231884057971014,0.534421773795431,-0.2309851375432631,-0.2889020218218802,-0.7995275910034123
M04,09:45,2023,51,-0.0028451951857385517,-0.0034337339430794422,0.23529411764705882,0.49964988529703414,-0.13848519553095828,-0.15679590568684376,-0.8832194624236169
M04,09:45,2024,66,-0.0021771038785007336,-0.004997099410252115,0.42424242424242425,0.6395403914577458,-0.1383480836206088,-0.14364968104585918,-0.9630935663298975
M04,09:45,2025,45,-0.001766791881539298,-0.001199280431741001,0.4222222222222222,0.6838409471157848,-0.07958235784975343,-0.09118832163996027,-0.8727253273063761
M04,09:45,2026,39,-0.0038803287472731138,-0.007188092207966235,0.4358974358974359,0.6568240193823368,-0.15058205547068948,-0.2285889550409902,-0.6587459811594456
M05,09:45,2021,59,-0.004389627764478595,-0.0026499713824573723,0.423728813559322,0.413578249484696,-0.23317916485618384,-0.2476735943634245,-0.9414776954947719
M05,09:45,2022,73,-0.005239966474031104,-0.005381863009497279,0.3150684931506849,0.3482572979793911,-0.3224467096955106,-0.33039588095338357,-0.9759404650114432
M05,09:45,2023,58,-0.0035111804101033714,-0.004220154103374396,0.3103448275862069,0.34403233188103016,-0.18629798861937863,-0.19134904490055538,-0.9736029187718089
M05,09:45,2024,76,-0.0034529698907974564,-0.00262452079354214,0.3815789473684211,0.4839878860338532,-0.23584530101059442,-0.271529637432098,-0.8685803260411039
M05,09:45,2025,52,-0.004138386617322294,-0.0017011903410717455,0.36538461538461536,0.3668782363711505,-0.19753317718562036,-0.19411266529383564,-1.017621271062385
M05,09:45,2026,39,-0.0071617927407576975,-0.008318316209134147,0.3076923076923077,0.4353636975208323,-0.2519645141959086,-0.24739756113467104,-1.0184599760817834
M06,09:45,2021,57,-0.0012067897585995775,-0.001199280431740779,0.43859649122807015,0.7253182454875835,-0.06941108575280686,-0.09150648776320769,-0.7585373174022662
M06,09:45,2022,68,-0.003963405947533297,-0.004212272984835619,0.35294117647058826,0.4927002262874683,-0.24254444697876243,-0.2723669911358888,-0.8905060263259017
M06,09:45,2023,60,-0.0027149835024653513,-0.0034213504946395412,0.2833333333333333,0.4886185740548312,-0.15361718260547197,-0.16346671830140103,-0.9397459262761462
