mechanism,signal_date,event_date,signal_clock,execution_clock,relative_strength_5,relative_amount_impulse,composite_score,threshold
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-01-22,2021-01-25,15:00,NEXT_OPEN,0.0075594192525564,-0.003006105535176,1.195377836767119,0.3776546509261392
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-01-25,2021-01-26,15:00,NEXT_OPEN,0.0126742380830643,-0.4183578067050505,0.9625622256770743,0.4428438906142089
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-01-26,2021-01-27,15:00,NEXT_OPEN,0.008861842343226,0.0038269647682109,1.2175853232989664,0.5530585374874837
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-01-27,2021-01-28,15:00,NEXT_OPEN,0.007368882768482,-0.1086125049636441,0.8777459290547184,0.6102822787692789
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-01-28,2021-01-29,15:00,NEXT_OPEN,0.0109662181932669,0.428828050456579,1.9824189492190691,0.7538363393122289
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-01-29,2021-02-01,15:00,NEXT_OPEN,0.0053565012965091,0.5212936179547971,1.5937126330609577,0.7666288607574236
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-02-23,2021-02-24,15:00,NEXT_OPEN,0.0215031453782017,-0.2539296914229098,1.62590507942056,0.6386948066470689
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-02-24,2021-02-25,15:00,NEXT_OPEN,0.0267838650481941,-0.200063909718187,1.872596200096671,0.7781176046206354
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-03-08,2021-03-09,15:00,NEXT_OPEN,0.0122607112602736,0.2630515499739984,1.2664195919824486,0.5614463310872523
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-03-09,2021-03-10,15:00,NEXT_OPEN,0.0151653081426089,0.4472516804661466,1.61928043112992,0.6386948066470689
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-03-10,2021-03-11,15:00,NEXT_OPEN,0.0107428799012241,0.0397482499534313,0.8323830116748241,0.6386948066470689
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-03-24,2021-03-25,15:00,NEXT_OPEN,0.0131226168859085,-0.1464566085821995,0.6893032828023905,0.5024557096378756
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-03-25,2021-03-26,15:00,NEXT_OPEN,0.0118322216718206,0.1587318684608737,0.9625121252222222,0.6193499681973854
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-04-12,2021-04-13,15:00,NEXT_OPEN,0.0139623399441061,-0.0546901274991333,0.7126720811605189,0.708648121252074
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-04-16,2021-04-19,15:00,NEXT_OPEN,0.0121336339908459,0.309241640375325,1.0309960351553051,0.7261747200206703
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-05-07,2021-05-10,15:00,NEXT_OPEN,0.0147748964656762,0.3258346643491903,1.261431465709133,0.45217670814261024
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-05-10,2021-05-11,15:00,NEXT_OPEN,0.0171530607290211,-0.2872322068581597,0.47059868920291803,0.45217670814261024
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-06-07,2021-06-08,15:00,NEXT_OPEN,0.0003211604159566,0.3787182806448925,0.7522770306848207,0.32524651481267275
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-06-16,2021-06-17,15:00,NEXT_OPEN,0.0049129463591364,0.1332510469326341,0.6372876236753214,0.2002207017365721
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-06-17,2021-06-18,15:00,NEXT_OPEN,0.0034140586040374,0.1957546190603643,0.6495655414539515,0.2276116374504334
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-06-18,2021-06-21,15:00,NEXT_OPEN,0.0059790108689178,0.3316603434300674,1.0258730074465854,0.23470192289512407
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-06-24,2021-06-25,15:00,NEXT_OPEN,0.0040265872257109,0.7134283642164476,1.561004241661979,0.1816639140055752
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-07-05,2021-07-06,15:00,NEXT_OPEN,0.0002258022243701,0.1058480194195865,0.24954536335079716,0.23198326719626539
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-07-08,2021-07-09,15:00,NEXT_OPEN,0.0049564595507866,-0.0817488615698883,0.25460886416979345,0.21199850790415214
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-07-12,2021-07-13,15:00,NEXT_OPEN,0.0058797760323799,0.0998605813783852,0.5953467376472827,0.21199850790415214
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-07-14,2021-07-15,15:00,NEXT_OPEN,0.0178769148971686,0.3279276523707858,1.7203440703906276,0.21199850790415214
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-07-15,2021-07-16,15:00,NEXT_OPEN,0.013713635773228,0.1471742120762121,1.132995426625306,0.21199850790415214
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-07-16,2021-07-19,15:00,NEXT_OPEN,0.0105992508815148,-0.2197822970957579,0.37468505463406265,0.21199850790415214
PRICE_VOLUME_ROTATION_CONFIRMATION,2021-07-19,2021-07-20,15:00,NEXT_OPEN,0.0053950296316681,0.0594060665899521,0.4727425891596224,0.2508112385555462
