kind,id,name,information_family,status,provider,version
signal,SIG-CZSC-pos_bar_stop_V230524,pos_bar_stop_V230524,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-pos_fix_exit_V230624,pos_fix_exit_V230624,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-pos_fx_stop_V230414,pos_fx_stop_V230414,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-pos_holds_V230414,pos_holds_V230414,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-pos_holds_V230807,pos_holds_V230807,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-pos_holds_V240428,pos_holds_V240428,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-pos_holds_V240608,pos_holds_V240608,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-pos_ma_V230414,pos_ma_V230414,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-pos_profit_loss_V230624,pos_profit_loss_V230624,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-pos_status_V230808,pos_status_V230808,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-pos_stop_V240331,pos_stop_V240331,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-pos_stop_V240428,pos_stop_V240428,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-pos_stop_V240608,pos_stop_V240608,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-pos_stop_V240614,pos_stop_V240614,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-pos_stop_V240717,pos_stop_V240717,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-pos_take_V240428,pos_take_V240428,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-pressure_support_V240222,pressure_support_V240222,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-pressure_support_V240402,pressure_support_V240402,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-pressure_support_V240406,pressure_support_V240406,POSITION_VALUATION,READY,czsc,1
signal,SIG-CZSC-pressure_support_V240530,pressure_support_V240530,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-skdj_up_dw_line_V230611,skdj_up_dw_line_V230611,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_accelerate_V230531,tas_accelerate_V230531,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_angle_V230802,tas_angle_V230802,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_atr_V230630,tas_atr_V230630,OTHER_TECHNICAL,DISCOVERED,czsc,1
