window,start,end,trading_days,ex04_overlap_days,ex04_segment_count,episode_class,baseline_episode_id,episode_log_wealth_delta,episode_negative_log_loss
2021H1,2021-01-07,2021-01-28,16,12,1,late_entry,2021H1:E001,0.004862809165701925,0.01948111275114031
2021H1,2021-03-29,2021-04-12,10,10,1,fully_covered,2021H1:E002,2.207435623180487e-16,1.1449174941446927e-16
2021H1,2021-04-16,2021-06-30,50,48,2,late_entry+interrupted_holding,2021H1:E003,-0.05062844037386681,0.050628440373868905
2021H2,2021-07-01,2021-07-14,10,9,2,interrupted_holding,2021H2:E001,-0.029491955877639357,0.030862988771800208
2021H2,2021-07-26,2021-08-09,11,7,1,late_entry,2021H2:E002,-0.017370163781536056,0.047074897882676915
2021H2,2021-08-13,2021-08-17,3,3,1,fully_covered,2021H2:E003,0.0,0.0
2021H2,2021-08-25,2021-08-27,3,3,1,fully_covered,2021H2:E004,1.1275702593849246e-16,1.1449174941446927e-16
2021H2,2021-09-01,2021-09-03,3,0,0,fully_missed_entry,2021H2:E005,0.014948010789036738,0.002775851886503202
2021H2,2021-09-13,2021-09-15,3,0,0,fully_missed_entry,2021H2:E006,0.03240271933277593,0.009804000096620835
2021H2,2021-09-28,2021-10-11,5,0,0,fully_missed_entry,2021H2:E007,0.01693468582771522,0.016505577440230998
2021H2,2021-10-14,2021-10-19,4,4,1,fully_covered,2021H2:E008,1.734723475976807e-18,2.185751579730777e-16
2021H2,2021-10-21,2021-10-27,5,5,1,fully_covered,2021H2:E009,0.0,1.1275702593849246e-16
2021H2,2021-11-01,2021-12-02,24,24,1,fully_covered,2021H2:E010,-2.05239471251506e-16,8.753848340647963e-16
2021H2,2021-12-06,2021-12-08,3,3,1,fully_covered,2021H2:E011,-1.1449174941446927e-16,1.1449174941446927e-16
2021H2,2021-12-13,2021-12-15,3,3,1,fully_covered,2021H2:E012,1.111307226797642e-16,0.0
2021H2,2021-12-20,2021-12-27,6,4,1,early_exit,2021H2:E013,0.015169711255850132,2.259477327459791e-16
2021H2,2021-12-31,2021-12-31,1,1,1,fully_covered,2021H2:E014,0.0,0.0
2022H1,2022-01-04,2022-01-05,2,2,1,fully_covered,2022H1:E001,0.0,0.0
2022H1,2022-01-18,2022-01-21,4,3,1,early_exit,2022H1:E002,0.010731741445176109,0.0
2022H1,2022-02-18,2022-02-22,3,3,1,fully_covered,2022H1:E003,1.1102230246251565e-16,0.0
2022H1,2022-02-24,2022-03-08,9,6,1,early_exit,2022H1:E004,0.055092786450502224,0.001306902011622711
2022H1,2022-03-21,2022-03-25,5,3,1,late_entry+early_exit,2022H1:E005,0.020358028223059918,0.007130513824040751
2022H1,2022-05-05,2022-06-22,34,33,1,late_entry,2022H1:E006,0.017644463979708674,0.010753440645077692
2022H1,2022-06-24,2022-06-30,5,5,1,fully_covered,2022H1:E007,-3.1929753979698106e-16,5.482810386259196e-16
2022H2,2022-07-01,2022-07-11,7,7,1,fully_covered,2022H2:E001,0.0,0.0
2022H2,2022-07-22,2022-08-19,21,21,1,fully_covered,2022H2:E002,0.0,0.0
2022H2,2022-09-19,2022-09-21,3,0,0,fully_missed_entry,2022H2:E003,0.028115042074624327,0.005934735519814747
2022H2,2022-10-17,2022-11-22,27,26,1,early_exit,2022H2:E004,0.011828148691313736,6.665674956440881e-16
2022H2,2022-11-28,2022-11-30,3,0,0,fully_missed_entry,2022H2:E005,-0.005365244410747104,0.010226702696992081
2022H2,2022-12-05,2022-12-07,3,3,1,fully_covered,2022H2:E006,1.117812439832555e-16,1.111307226797642e-16
2022H2,2022-12-13,2022-12-15,3,3,1,fully_covered,2022H2:E007,0.0,0.0
2022H2,2022-12-28,2022-12-30,3,3,1,fully_covered,2022H2:E008,-1.1145598333150986e-16,1.1145598333150986e-16
2023H1,2023-01-03,2023-01-13,9,9,1,fully_covered,2023H1:E001,0.0,0.0
2023H1,2023-01-19,2023-02-16,16,15,2,interrupted_holding,2023H1:E002,-0.02965525584370933,0.030096557342122313
2023H1,2023-02-24,2023-03-07,8,4,1,late_entry,2023H1:E003,-0.00196270916784909,0.009362562299496922
2023H1,2023-03-10,2023-03-16,5,5,1,fully_covered,2023H1:E004,-1.0928757898653885e-16,2.211772431870429e-16
2023H1,2023-03-20,2023-04-21,24,24,1,fully_covered,2023H1:E005,-2.0079424234431542e-16,1.4311468676808659e-15
2023H1,2023-05-04,2023-05-08,3,3,1,fully_covered,2023H1:E006,0.0,0.0
2023H1,2023-05-10,2023-05-23,10,6,1,late_entry,2023H1:E007,0.0085511209892506,0.012470185576868726
2023H1,2023-05-25,2023-06-30,25,17,2,late_entry+interrupted_holding+early_exit,2023H1:E008,-0.007223078184989797,0.038931336603297166
2023H2,2023-07-03,2023-07-07,5,3,1,late_entry+early_exit,2023H2:E001,0.00538888171593258,0.0024085128543060172
