factor,endpoint,coefficient,standard_error,p_value,nobs,rank,q_value
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_0,return_20,-0.015276592502265198,0.01781118497017935,0.39106002690897274,1226,15,0.4482684745499308
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_0,max_drawdown_20,0.030599141290429285,0.007457642041865761,4.0772416915450644e-05,1226,15,0.00016308966766180258
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_1,return_20,-0.012834030467856753,0.016924630801468034,0.4482684745499308,1226,15,0.4482684745499308
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_1,max_drawdown_20,0.014692569045880406,0.006369821866438951,0.02107767329960298,1226,15,0.04215534659920596
