mechanism_id,raw_events,independent_events,rolling_60_median,rolling_60_p10,density_pass,evidence
LATE_PATH_SELLING,326,263,13.0,8.0,True,DENSITY_CAPABLE
CLOSE_VWAP_DISLOCATION,337,272,13.0,8.0,True,DENSITY_CAPABLE
LATE_VOLUME_PRESSURE,331,267,13.0,8.0,True,DENSITY_CAPABLE
LATE_ACCELERATION,326,260,12.0,9.0,True,DENSITY_CAPABLE
