event_date,control_date,calendar_year,prior_return_distance_sd,standardized_distance,event_return_1130,control_return_1130,paired_effect
2021-04-15,2021-10-08,2021,0.010901437376197753,2.7305348727986707,-0.0066225165562914245,-0.014786282306162968,0.008163765749871543
2021-04-19,2021-08-03,2021,0.07671745369471905,0.9051988388125457,0.011933513283136854,0.00012990387113531732,0.011803609412001537
2021-04-20,2021-08-25,2021,0.023259189407241698,0.773190669262113,0.007314671543114271,0.0017587939698493482,0.005555877573264922
2021-05-17,2021-12-09,2021,0.05885623201385126,0.8606490660005013,0.009492364836979128,0.005121326667479664,0.004371038169499464
2021-05-26,2021-09-23,2021,0.06071812013370337,1.1516738999105038,-0.0017655846801576391,0.003687403354347474,-0.005452988034505113
2021-06-11,2021-07-22,2021,0.006306844787213217,0.7199846224772695,-0.0029166114278139643,0.0025510204081633514,-0.005467631835977316
2021-06-21,2021-11-23,2021,0.09857320804210301,1.1497760121529232,0.004845874276484086,0.006769230769230861,-0.001923356492746775
2021-06-22,2021-07-01,2021,0.07258556888791434,0.3746480824087756,0.0026673779674579734,-0.006563402467839374,0.009230780435297348
2021-06-28,2021-05-28,2021,0.02433999009246557,0.28999730359458314,0.0005253480430784663,0.0009418729817007865,-0.0004165249386223202
2021-07-14,2021-06-24,2021,0.09737057881643751,0.372018480876214,-0.002951745379876747,-0.0058039836433188,0.002852238263442053
2021-07-23,2021-06-07,2021,0.02703674514704707,0.33993506427822506,-0.005327920842318923,-0.004412354592859935,-0.0009155662494589878
2021-07-29,2021-09-27,2021,0.017550774296593463,2.6482708345405603,0.00026490066225171027,-0.031434421293508485,0.031699321955760196
2021-08-05,2021-07-13,2021,0.042759579538373726,1.1167804753474513,0.003614302310571915,0.005179334455522433,-0.0015650321449505178
2021-08-10,2021-08-09,2021,0.04817777000776269,0.697705267081284,0.003712237583205269,0.0036054596961112573,0.0001067778870940117
2021-08-12,2021-08-11,2021,0.061257812950594515,0.3630351784295445,0.005049867440979572,0.007239933951479927,-0.0021900665105003547
2021-08-19,2021-08-02,2021,0.07913259008614967,0.5602799135052502,0.0003860010293361693,0.009080142123963686,-0.008694141094627517
2021-08-26,2021-08-31,2021,0.07874180349720145,0.325080310034997,0.0014955134596210673,-0.007771062045146104,0.009266575504767172
2021-08-30,2021-06-01,2021,0.04577307003921005,1.0109335692543795,0.006071871127633299,-0.0016057808109191107,0.00767765193855241
2021-09-01,2021-05-19,2021,0.08776026676415169,0.684786148792023,-0.009079754601227008,0.0,-0.009079754601227008
2021-09-03,2021-07-30,2021,0.07539266842052306,3.1294590717544315,-0.0072727272727273196,0.003977724741447863,-0.011250452014175183
2021-09-07,2021-10-20,2021,0.0625031801387238,1.4269050301272628,0.017724899842175734,0.010323555331738454,0.00740134451043728
2021-09-09,2021-05-18,2021,0.0956100984128988,1.5373634363588764,0.005193578847969782,0.001779359430605032,0.00341421941736475
2021-09-24,2021-09-16,2021,0.09050172385378935,0.98071293899851,-0.007355558191956213,-0.011606096131301369,0.004250537939345156
2021-10-14,2021-10-18,2021,0.043538657620467436,0.3487501060474258,0.009609224855861687,0.004060913705583813,0.005548311150277874
2021-10-26,2021-11-05,2021,0.016214790579121008,0.768084300939018,0.0037612838515546088,-0.000504731861198704,0.004266015712753313
2021-11-01,2021-05-13,2021,0.06737356208926726,1.056213632775488,0.009406381085547366,-0.0009726274836737714,0.010379008569221138
2021-11-02,2021-05-11,2021,0.05272862739904452,0.8552518479546471,-0.001390468967260583,-0.0034979711767174626,0.0021075022094568796
2021-11-04,2021-12-01,2021,0.0976332607720876,0.6816752299041127,0.0057099352874001585,0.0007373724960060279,0.004972562791394131
