quarter,training_sessions,baseline_forward_return,apply_sessions
2023Q1,515,-0.001807190346855767,59
2023Q2,574,-0.0011260044802563207,59
2023Q3,633,-0.0012005631090739053,64
2023Q4,697,-0.0016602588369858818,60
2024Q1,757,-0.0017135368225353054,58
2024Q2,815,-0.0018702261949206376,59
2024Q3,874,-0.001923955982666364,64
2024Q4,938,-0.001753983812006707,61
2025Q1,999,-0.0002585121099351361,57
2025Q2,1056,-0.0001937470672486188,60
2025Q3,1116,-0.00025521206400380594,66
2025Q4,1182,0.0008030232020277603,60
2026Q1,1242,0.0005914659341644927,56
2026Q2,1298,0.00045478521277467676,60
2026Q3,1358,0.0015619097674587855,46
