architecture,closed_trades,asset_stress_mean,asset_stress_median,account_trade_mean,win_rate,profit_factor,cagr,maximum_drawdown,calmar,positive_years,annual_returns,recent_closed_trades,recent_mean,rolling_60_cycle_median,rolling_60_cycle_p10,average_position_fraction,passed
OPPORTUNITY_CORE,68,0.0038493405981642943,0.007059536644972719,0.0038493405981642943,0.5588235294117647,1.3204317125223841,0.06383570204439826,-0.21977174035356484,0.29046365079377595,3,"{'2023': 0.008438270371111, '2024': 0.0, '2025': 0.22095083215016342, '2026': 0.010322407583210236}",46,0.0035331735809165715,1.0,0.0,1.0,False
OPPORTUNITY_PLUS_VOLATILITY,57,0.0067122444219423925,0.005067326399527117,0.0067122444219423925,0.5614035087719298,1.6359887759465452,0.10204353136198141,-0.18564733604257222,0.5496633215279805,1,"{'2023': 0.0, '2024': 0.0, '2025': 0.4219774251177657, '2026': -0.009224839706295729}",41,0.007383606951611479,0.0,0.0,1.0,False
OPPORTUNITY_PLUS_INDUSTRY,68,0.0038493405981642943,0.007059536644972719,0.002459691667167501,0.5588235294117647,1.3204317125223841,0.04074159301567515,-0.212337389930091,0.19187196861131584,2,"{'2023': 0.007074327108752998, '2024': 0.0, '2025': 0.16562125088595558, '2026': -0.019239523510880097}",46,0.0035331735809165715,1.0,0.0,0.7963643790849674,False
OPPORTUNITY_PLUS_VOLATILITY_AND_INDUSTRY,57,0.0067122444219423925,0.005067326399527117,0.0038070220939846176,0.5614035087719298,1.6359887759465452,0.057195097688873986,-0.16507987775215227,0.34646922730791935,1,"{'2023': 0.0, '2024': 0.0, '2025': 0.25368713412843036, '2026': -0.029434612718893027}",41,0.007383606951611479,0.0,0.0,0.7971143135616819,False
