step,rounds,allow_sign_flip,enter,exit,optimizer_id,factor_count,pass_count,min_return_delta,min_sharpe_delta,mean_return_delta,mean_sharpe_delta,weight_shift,2023_return,2023_sharpe,2023_return_delta,2023_sharpe_delta,2023_pass,2024_return,2024_sharpe,2024_return_delta,2024_sharpe_delta,2024_pass,2025_return,2025_sharpe,2025_return_delta,2025_sharpe_delta,2025_pass
0.025,1,False,0.15,0.05,step0.025_r1_keep_en+0.15_ex+0.05,12,3,0.03001935247516374,0.10709002096592313,0.03658980022442874,0.17229310312344884,0.09965098176335103,-0.02349330995414267,-0.10632078063122737,0.03682579768314531,0.2835569684179872,True,0.11113928123255268,0.5559506434908221,0.04292425051497717,0.12623231998643614,True,0.546599087852444,2.3006221570563934,0.03001935247516374,0.10709002096592313,True
0.025,1,False,0.15,0.0,step0.025_r1_keep_en+0.15_ex+0.00,12,3,0.008268195101059694,0.02449704202549874,0.02540528113126439,0.15423117759810032,0.09965098176335103,-0.014970051732004608,-0.030949329476598546,0.045349055905283375,0.358928419572616,True,0.0764832258186352,0.45421536552988473,0.008268195101059694,0.02449704202549874,True,0.5391783277647304,2.2728002072866564,0.0225985923874501,0.07926807119618617,True
0.025,1,False,0.1,0.05,step0.025_r1_keep_en+0.10_ex+0.05,12,2,-0.0019466756678669928,-0.00539109660291931,0.02192042561467193,0.08095195465029091,0.09965098176335103,-0.04981182719802668,-0.3184784946825784,0.010507280439261302,0.07139925436663619,True,0.06626835504970852,0.4243272269014667,-0.0019466756678669928,-0.00539109660291931,False,0.5737804074499018,2.370379842277626,0.05720067207262147,0.17684770618715584,True
0.025,1,False,0.15,-0.05,step0.025_r1_keep_en+0.15_ex-0.05,12,2,-0.02758422994308818,-0.13728863988830708,0.01733616542282272,0.08935456926480313,0.09965098176335103,-0.02742806967264322,-0.11978197017074983,0.032891037964644765,0.27009577887846475,True,0.11491671896448707,0.5649748923086377,0.046701688246911566,0.13525656880425174,True,0.4889955054341921,2.056243496202163,-0.02758422994308818,-0.13728863988830708,False
0.025,1,False,0.1,0.0,step0.025_r1_keep_en+0.10_ex+0.00,12,2,-0.03520322218984706,-0.10585146356034841,0.0022512211052052957,0.037877032779688936,0.09965098176335103,-0.04151828529097312,-0.24204516843139695,0.01880082234631486,0.14783258061781762,True,0.03301180852772845,0.3238668599440376,-0.03520322218984706,-0.10585146356034841,False,0.5397357985364284,2.265182117372068,0.023156063159148088,0.07164998128159761,True
0.025,1,False,0.2,0.0,step0.025_r1_keep_en+0.20_ex+0.00,12,2,-0.06100786034151762,-0.15132212894377295,0.03824988193836291,0.2214494768393486,0.09965098176335103,5.2936173576600964e-05,0.09023427783813949,0.060372043810864584,0.48011202688735405,True,0.18360049306331727,0.7652768560788508,0.11538546234574176,0.3355585325744648,True,0.4555718750357627,2.0422100071466973,-0.06100786034151762,-0.15132212894377295,False
0.025,2,False,0.15,0.05,step0.025_r2_keep_en+0.15_ex+0.05,12,2,-0.11762174075104936,-0.35452167329713613,-0.015473625212328646,-0.005842035667328401,0.1287048433582566,-0.032042493038201725,-0.17911450274049978,0.02827661459908626,0.2107632463087148,True,0.11113928123255268,0.5559506434908221,0.04292425051497717,0.12623231998643614,True,0.39895799462623094,1.8390104627933341,-0.11762174075104936,-0.35452167329713613,False
0.025,1,False,0.2,-0.05,step0.025_r1_keep_en+0.20_ex-0.05,12,2,-0.1407580126446053,-0.4713326007193681,0.024443434384774403,0.14126481509087804,0.09965098176335103,-0.003874136468316025,0.06343270334835445,0.05644497116897196,0.453310452397569,True,0.22585837534753206,0.8715349170988193,0.15764334462995655,0.44181659359443326,True,0.375821722732675,1.7221995353711022,-0.1407580126446053,-0.4713326007193681,False
0.025,2,False,0.2,-0.05,step0.025_r2_keep_en+0.20_ex-0.05,12,2,-0.1407580126446053,-0.4713326007193681,0.02057122500272705,0.11025002942522037,0.1287048433582566,-0.015490764614458086,-0.02961165364861859,0.0448283430228299,0.36026609540059595,True,0.22585837534753206,0.8715349170988193,0.15764334462995655,0.44181659359443326,True,0.375821722732675,1.7221995353711022,-0.1407580126446053,-0.4713326007193681,False
0.025,2,False,0.2,0.0,step0.025_r2_keep_en+0.20_ex+0.00,12,2,-0.14483078485438594,-0.4860919758522091,0.010308907100740136,0.1098595278698699,0.1287048433582566,5.2936173576600964e-05,0.09023427783813949,0.060372043810864584,0.48011202688735405,True,0.18360049306331727,0.7652768560788508,0.11538546234574176,0.3355585325744648,True,0.37174895052289436,1.7074401602382612,-0.14483078485438594,-0.4860919758522091,False
