period,signal_date,execution_date,side,size,price,fees,factor_event_id,event_type
2026Q1,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026Q1:20251231,InitialEntry
2026Q1,2026-01-29,2026-01-30,Sell,716279.4768280691,1.5488798,554.7154064067821,FourLayer:20260129:Exit,Exit
2026Q1,2026-02-25,2026-02-26,Buy,729836.7645269991,1.5185888,554.1609682193957,FourLayer:20260225:Entry,Entry
2026Q1,2026-03-02,2026-03-03,Sell,729836.7645269991,1.5105112,551.2133034948974,FourLayer:20260302:Exit,Exit
2026H1,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026H1:20251231,InitialEntry
2026H1,2026-01-29,2026-01-30,Sell,716279.4768280691,1.5488798,554.7154064067821,FourLayer:20260129:Exit,Exit
2026H1,2026-02-25,2026-02-26,Buy,729836.7645269991,1.5185888,554.1609682193957,FourLayer:20260225:Entry,Entry
2026H1,2026-03-02,2026-03-03,Sell,729836.7645269991,1.5105112,551.2133034948974,FourLayer:20260302:Exit,Exit
2026H1,2026-04-08,2026-04-09,Buy,798495.2485927785,1.3792502000000002,550.6623656603042,FourLayer:20260408:Entry,Entry
2026H1,2026-06-01,2026-06-02,Sell,798495.2485927785,1.7215385,687.3201562597694,FourLayer:20260601:Exit,Exit
2026H1,2026-06-16,2026-06-17,Buy,767969.3082037537,1.7881787,686.6331795917358,FourLayer:20260616:Entry,Entry
2026M1-M8,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026M1-M8:20251231,InitialEntry
2026M1-M8,2026-01-29,2026-01-30,Sell,716279.4768280691,1.5488798,554.7154064067821,FourLayer:20260129:Exit,Exit
2026M1-M8,2026-02-25,2026-02-26,Buy,729836.7645269991,1.5185888,554.1609682193957,FourLayer:20260225:Entry,Entry
2026M1-M8,2026-03-02,2026-03-03,Sell,729836.7645269991,1.5105112,551.2133034948974,FourLayer:20260302:Exit,Exit
2026M1-M8,2026-04-08,2026-04-09,Buy,798495.2485927785,1.3792502000000002,550.6623656603042,FourLayer:20260408:Entry,Entry
2026M1-M8,2026-06-01,2026-06-02,Sell,798495.2485927785,1.7215385,687.3201562597694,FourLayer:20260601:Exit,Exit
2026M1-M8,2026-06-16,2026-06-17,Buy,767969.3082037537,1.7881787,686.6331795917358,FourLayer:20260616:Entry,Entry
2026M1-M8,2026-07-13,2026-07-14,Sell,767969.3082037537,2.0476716,786.2744710402368,FourLayer:20260713:Exit,Exit
2026M1-M8,2026-08-04,2026-08-05,Buy,943532.5006742801,1.6649953000000002,785.488589509856,FourLayer:20260804:Entry,Entry
2026M1-M8,2026-08-14,2026-08-17,Sell,943532.5006742801,1.7750526,837.4099092531914,FourLayer:20260814:Exit,Exit
2026M1-M8,2026-08-17,2026-08-18,Buy,905999.0349916851,1.8467413,836.5729178395122,FourLayer:20260817:Entry,Entry
2026M1-M8,2026-08-20,2026-08-21,Sell,905999.0349916851,1.7043736,772.0804184326521,FourLayer:20260820:Exit,Exit
