state_id,signal_id,name,namespace,state_primary,event_days,coverage_years,max_year_share,rolling_30d_median_event_days,rolling_30d_p10_event_days,rolling_30d_min_event_days,rolling_30d_max_event_days,density_capable,regime_counts_json,behavior_hash
STATE-F9E1BA9283BCFB49,SIG-15M-9AC89B7EADF8E7CC,bar_classify_V240606,bar,中间,1370,6,0.17737226277372262,30.0,30.0,29,30,True,"{""range"":697,""trend_down"":354,""trend_up"":292,""warmup"":27}",3f272c9eec70ef41fe73eb05fbd601866badaef8794703ed8370f84d414f1e79
STATE-8D9F70747765FF3F,SIG-15M-7D3B48E8F3F1B814,bar_classify_V240607,bar,中性,1373,6,0.17698470502549163,30.0,30.0,29,30,True,"{""range"":698,""trend_down"":355,""trend_up"":293,""warmup"":27}",d570c295c4a1e358c6fa0c8c340be5e958b27d3a019674920ad90d9a2d48ddbb
STATE-A1E80FF760F0F347,SIG-15M-EED38B27A2858EF5,bar_dual_thrust_V230403,bar,其他,1374,6,0.17685589519650655,30.0,30.0,30,30,True,"{""range"":699,""trend_down"":355,""trend_up"":293,""warmup"":27}",0becf8919c3ebab9c902a5107f6141ebf0bd6fc82712bbe784dca9882ac6c6fd
STATE-9C45D16448DF7DCC,SIG-15M-8F454438C8D1C3C5,bar_end_V221211,bar,未闭1,1374,6,0.17685589519650655,30.0,30.0,30,30,True,"{""range"":699,""trend_down"":355,""trend_up"":293,""warmup"":27}",0becf8919c3ebab9c902a5107f6141ebf0bd6fc82712bbe784dca9882ac6c6fd
STATE-B0AAC39721B93E12,SIG-15M-8F454438C8D1C3C5,bar_end_V221211,bar,未闭2,1374,6,0.17685589519650655,30.0,30.0,30,30,True,"{""range"":699,""trend_down"":355,""trend_up"":293,""warmup"":27}",0becf8919c3ebab9c902a5107f6141ebf0bd6fc82712bbe784dca9882ac6c6fd
STATE-734261F1F3465BC8,SIG-15M-8F454438C8D1C3C5,bar_end_V221211,bar,未闭3,1374,6,0.17685589519650655,30.0,30.0,30,30,True,"{""range"":699,""trend_down"":355,""trend_up"":293,""warmup"":27}",0becf8919c3ebab9c902a5107f6141ebf0bd6fc82712bbe784dca9882ac6c6fd
STATE-EC3BC8B9BBAA46C0,SIG-15M-8F454438C8D1C3C5,bar_end_V221211,bar,闭合,1374,6,0.17685589519650655,30.0,30.0,30,30,True,"{""range"":699,""trend_down"":355,""trend_up"":293,""warmup"":27}",0becf8919c3ebab9c902a5107f6141ebf0bd6fc82712bbe784dca9882ac6c6fd
STATE-BF25A3E1832A0D5C,SIG-15M-7E65F007E78C84BC,bar_operate_span_V221111,bar,否,1374,6,0.17685589519650655,30.0,30.0,30,30,True,"{""range"":699,""trend_down"":355,""trend_up"":293,""warmup"":27}",0becf8919c3ebab9c902a5107f6141ebf0bd6fc82712bbe784dca9882ac6c6fd
STATE-02E35538C6D59A46,SIG-15M-7E65F007E78C84BC,bar_operate_span_V221111,bar,是,1374,6,0.17685589519650655,30.0,30.0,30,30,True,"{""range"":699,""trend_down"":355,""trend_up"":293,""warmup"":27}",0becf8919c3ebab9c902a5107f6141ebf0bd6fc82712bbe784dca9882ac6c6fd
STATE-BDCEC90641C40ECE,SIG-15M-DD53C84A418163CB,bar_single_V230214,bar,阳线,1374,6,0.17685589519650655,30.0,30.0,30,30,True,"{""range"":699,""trend_down"":355,""trend_up"":293,""warmup"":27}",0becf8919c3ebab9c902a5107f6141ebf0bd6fc82712bbe784dca9882ac6c6fd
