signal_id,name,namespace,status,config_json,output_key,observed_bars,primary_state_count,error_type,error
SIG-15M-22C6A89AE9AB577D,adtm_up_dw_line_V230603,adtm,GENERATED,"{""di"":1,""freq"":""15分钟"",""m"":20,""n"":30,""name"":""adtm_up_dw_line_V230603"",""th"":5}",15分钟_D1N30M20TH5_ADTMV230603,21984,2,,
SIG-15M-628355EE3D5224F3,amv_up_dw_line_V230603,amv,GENERATED,"{""di"":1,""freq"":""15分钟"",""m"":120,""n"":30,""name"":""amv_up_dw_line_V230603""}",15分钟_D1N30M120_AMV能量V230603,21984,2,,
SIG-15M-0E1FE4B158EAF1FB,asi_up_dw_line_V230603,asi,GENERATED,"{""di"":1,""freq"":""15分钟"",""n"":30,""name"":""asi_up_dw_line_V230603"",""p"":120}",15分钟_D1N30P120_ASI多空V230603,21984,3,,
SIG-15M-32BEC93300F6A267,bar_accelerate_V221110,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""bar_accelerate_V221110"",""window"":10}",15分钟_D1W10_加速V221110,21984,3,,
SIG-15M-7EDECE0713E63339,bar_accelerate_V221118,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""ma_type"":""SMA"",""name"":""bar_accelerate_V221118"",""timeperiod"":10,""window"":13}",15分钟_D1W13#SMA#10_加速V221118,21984,3,,
SIG-15M-F2DE0419BE5755F2,bar_accelerate_V240428,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""bar_accelerate_V240428"",""t"":1,""w"":21}",15分钟_D1W21T1_加速V240428,21984,3,,
SIG-15M-18ACEF23B393379D,bar_amount_acc_V230214,bar,GENERATED,"{""freq"":""15分钟"",""name"":""bar_amount_acc_V230214"",""parameter_policy"":""native_defaults""}",15分钟_D2N5_累计超10千万,21984,2,,
SIG-15M-55D5B5F5BB50A391,bar_big_solid_V230215,bar,GENERATED,"{""freq"":""15分钟"",""name"":""bar_big_solid_V230215"",""parameter_policy"":""native_defaults""}",15分钟_D1N20_MID,21984,2,,
SIG-15M-3DD584E7F010CA4A,bar_bpm_V230227,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""n"":20,""name"":""bar_bpm_V230227"",""th"":1000}",15分钟_D1N20T1000_绝对动量V230227,21984,4,,
SIG-15M-749031B6D3DCE161,bar_break_V240428,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""bar_break_V240428"",""w"":20}",15分钟_D1W20_事件V240428,21984,3,,
SIG-15M-FC8F16F16821C014,bar_channel_V230508,bar,GENERATED,"{""freq"":""15分钟"",""name"":""bar_channel_V230508"",""parameter_policy"":""native_defaults""}",15分钟_D1M600_通道V230507,21984,3,,
