candidate_id,family,family_rank,parameter,worst_calmar,worst_drawdown,max_drawdown,calmar,win_loss_ratio,return,sharpe,cycle_count,t1_fill_rate,two_day_fill_rate,final_fill_rate,average_wait_sessions,longest_wait_sessions,missed_cycles,cap_p95,cap_mean,average_open_improvement,worst_open_improvement,average_diagnostic_participation,maximum_diagnostic_participation,trade_count
fixed_00,fixed,0,-0.02,-0.8458083510917696,-0.2567868901356892,-0.3181754550527667,-0.0765647294335165,2.2709627913236328,-0.11480129431601926,-0.0962325605460135,64,0.125,0.1875,0.625,7.525,45,24,-0.020027179778092263,-0.02045797169025402,0.01627273783349556,0.0,0.0011226853581257975,0.005420378541892154,79
fixed_01,fixed,0,-0.0175,-0.8464641516512194,-0.28753226535827126,-0.2875322653582709,-0.05293417674637288,1.7591514094545084,-0.0730303309903596,-0.023908400684169766,64,0.203125,0.3125,0.796875,6.196078431372549,45,13,-0.01755017922015578,-0.017955195888822474,0.014379492116393772,0.0,0.0011452444154790356,0.00792666251837995,101
fixed_02,fixed,0,-0.015,-0.8090220038211707,-0.2851980484264486,-0.32654881607042097,0.07221874099379406,2.517184689404246,0.12215490643541194,0.22023660548461538,64,0.265625,0.421875,0.921875,4.11864406779661,26,5,-0.015060673108502842,-0.015479511423647391,0.01268565920314592,0.0,0.0010677920555270145,0.006312409211774512,117
fixed_03,fixed,0,-0.0125,-0.8722175054617796,-0.2809815407124838,-0.32117963544932315,0.12904626950444592,2.50504965412639,0.22237959909182137,0.31382712187252426,64,0.3125,0.53125,0.9375,2.95,13,4,-0.012541492663869086,-0.012970359305167507,0.010449660168163448,0.0,0.0009368797954728274,0.004812506665321731,119
fixed_04,fixed,0,-0.01,-0.598526909651185,-0.25531089576865895,-0.32382047358813637,0.2009857285245025,3.0192828264159672,0.36582970491835365,0.4277942636700666,64,0.40625,0.671875,0.984375,2.2857142857142856,7,1,-0.010069947416579083,-0.010472679398246627,0.008045403458942673,0.0,0.0009073707497297056,0.004835062013054861,125
fixed_05,fixed,0,-0.0075,-0.6795201776676726,-0.2612547359280307,-0.342843079782585,0.14718326385169997,3.267938157920567,0.2755908882198197,0.35236591374537174,64,0.5625,0.828125,1.0,1.828125,6,0,-0.007574324130615517,-0.007867577141741106,0.0058628242757707595,0.0,0.0009072965525855455,0.006181569255643865,127
fixed_06,fixed,0,-0.005000000000000001,-0.4892535678806415,-0.1823154056517774,-0.2273084998753394,0.5833154500841974,5.018444169686122,0.8508210372661407,0.6445993905357951,64,0.671875,0.953125,1.0,1.453125,5,0,-0.005059715698013579,-0.0055190501340024204,0.004235562537301993,0.0,0.0006954833463700063,0.003007072574553899,127
fixed_07,fixed,0,-0.0024999999999999988,-0.2828530732569389,-0.18231540565177762,-0.2403227588115201,0.5735666270794011,5.094726139334814,0.893618403824787,0.6622631331359411,64,0.859375,1.0,1.0,1.140625,2,0,-0.002619859606266273,-0.0029140402367988953,0.002698386845977528,0.0,0.000672924593103559,0.002430116649487362,127
fixed_08,fixed,0,0.0,-0.12244048958960674,-0.18231540565177762,-0.2393105946168207,0.5521362423656925,4.894659253019664,0.847103146568454,0.6395899234250273,64,0.9375,1.0,1.0,1.0625,2,0,0.0,-1.4285724859761586e-05,0.0012784528939400672,0.0,0.000615272960930032,0.002430116649487362,127
fixed_09,fixed,0,0.0024999999999999988,-0.07404404363999066,-0.18231540565177773,-0.23072279847132005,0.5791805025962525,4.932629699767997,0.8592198364250401,0.6447912920071505,64,0.984375,1.0,1.0,1.015625,2,0,0.0023801281026324173,0.0019693894279665955,0.0007775458803888947,0.0,0.0006136433579636179,0.002430116649487362,127
