clock,overlap_weighted_effect,raw_event_mean_return
09:35,0.0004346302580840062,0.0006951463470843688
09:40,0.0005170404875211827,0.0007060476064588758
09:45,0.0004458482116725132,0.0007682937933193052
09:50,0.0007290365436387636,0.0009658462516897166
09:55,0.0009293878321267649,0.0011967510543831649
10:00,0.0007379194099453464,0.001330319504823986
10:05,0.0006485498435716164,0.0014768177724191788
10:10,0.000720686053107633,0.0014357003108759275
10:15,0.0007784338688486816,0.0014271054037302442
10:20,0.0008762069273904848,0.0016047589363661328
10:25,0.0010071182563386643,0.0017793652117895208
10:30,0.0010721013043495662,0.00176125592880013
10:35,0.0013891171585210884,0.0017337344776669238
10:40,0.001550742057793613,0.0016893744284540604
10:45,0.0014724861346550565,0.0017451977850010275
10:50,0.00168592255224493,0.0019216593412665873
10:55,0.0017900254047773618,0.0019194293713720389
11:00,0.001833050797415816,0.0018314826418774873
11:05,0.0017164903189842654,0.0017008863315398424
11:10,0.0019148501898130262,0.0017287867424492904
11:15,0.0020132300105779317,0.0017113423601031756
11:20,0.0017752099111172312,0.0017693885233300002
11:25,0.002020409285224646,0.0020193683072819127
11:30,0.0018642532175687382,0.002178637216974138
13:05,0.0017353306018581469,0.001928514764871719
13:10,0.0017947401844923523,0.002024326031413442
13:15,0.0017828587778276998,0.0018167952143773487
13:20,0.0017009281241988272,0.0018247395408773686
13:25,0.0017714736355482117,0.001815783385940271
13:30,0.0018502332215067398,0.001763035767999407
13:35,0.0017505962568459274,0.0017978663122832602
13:40,0.001791844312192387,0.0017751884201887486
13:45,0.002080942548247207,0.0020498727471673396
13:50,0.001902257859960913,0.002019850623252755
13:55,0.0018492944552457812,0.002068383956548837
14:00,0.001792824552186362,0.0019742394985029204
14:05,0.0018267944632038497,0.001970333726219152
14:10,0.00185629399657026,0.001925728575006364
14:15,0.0016649659011582667,0.001978517474659993
14:20,0.0017438316108822941,0.002036177093126636
14:25,0.0016799379676687158,0.001995102235115557
14:30,0.001421077535821397,0.0019957221270108876
14:35,0.0014993287770149841,0.0018876464406403673
14:40,0.0014824700382710828,0.0017748266631398741
14:45,0.0015368777472105197,0.0018212839574233933
14:50,0.001653553949335041,0.0018987632687493543
14:55,0.001709012541754023,0.002001874353504256
15:00,0.0016843916347299471,0.0020451808151508277
