model,feature,treated_weighted_mean,control_weighted_mean,standardized_mean_difference
PRIOR_STATE,prior_return_1d,0.5696409919961973,0.49176939823247817,0.13704536479460683
PRIOR_STATE,prior_return_5d,0.10596243466691714,0.09509302769979075,0.009811204451705717
PRIOR_STATE,prior_volatility_20d,-0.09462932363796445,-0.08085534025266396,-0.014306819824097695
PRIOR_STATE,prior_trend_60d,0.05390594078943577,0.05965716806213534,-0.0054819927106582005
PRIOR_STATE,prior_amount_ratio_20d,0.12997448096097938,0.12344940399843271,0.004719618414699334
PRIOR_STATE,year_2022,0.15966218372548174,0.1652305590596734,-0.015096614088152287
PRIOR_STATE,year_2023,0.19675095909448598,0.19553494528482,0.0030624094089173027
PRIOR_STATE,year_2024,0.14837115679486895,0.15614946756062406,-0.02165140690502577
PRIOR_STATE,year_2025,0.1810723379307981,0.18488810224978056,-0.009868893710561186
PRIOR_STATE,year_2026,0.09762430209375421,0.10946482800848081,-0.03887093573270853
PRIOR_STATE_PLUS_OPENING_GAP,prior_return_1d,0.5675648986751366,0.4873064199042682,0.14063544933180136
PRIOR_STATE_PLUS_OPENING_GAP,prior_return_5d,0.09244494245307885,0.0825861835760285,0.009014550191327212
PRIOR_STATE_PLUS_OPENING_GAP,prior_volatility_20d,-0.09162514659676387,-0.07939263870215482,-0.012778866752644662
PRIOR_STATE_PLUS_OPENING_GAP,prior_trend_60d,0.04136158222884099,0.04731066766133512,-0.005700940070450515
PRIOR_STATE_PLUS_OPENING_GAP,prior_amount_ratio_20d,0.12337384246892212,0.11660244255110691,0.004970869124583073
PRIOR_STATE_PLUS_OPENING_GAP,opening_gap,0.06851111702296896,0.05536952466751924,0.014914702994610944
PRIOR_STATE_PLUS_OPENING_GAP,year_2022,0.16036044146831493,0.16576766581517616,-0.014637293858292101
PRIOR_STATE_PLUS_OPENING_GAP,year_2023,0.19595166664213046,0.19550943458992306,0.001114602951550403
PRIOR_STATE_PLUS_OPENING_GAP,year_2024,0.14723702963332358,0.15456206537749978,-0.020464869429139606
PRIOR_STATE_PLUS_OPENING_GAP,year_2025,0.18091590517555392,0.18516143893414233,-0.010979098073072813
PRIOR_STATE_PLUS_OPENING_GAP,year_2026,0.09937240610637504,0.11153726875403559,-0.03961484839642811
