model,effect_11_30,lower_90,upper_90,positive_probability,maximum_absolute_smd,treated_effective_sample_size,control_effective_sample_size,observations
PRIOR_STATE,0.0018415740264312562,0.0004892396504677908,0.003165971100658572,0.984,0.13704536479460683,176.67012190693464,303.4726334483221,1311
PRIOR_STATE_PLUS_OPENING_GAP,0.0018642532175687382,0.00037264112324653337,0.0032390116878915844,0.986,0.14063544933180136,175.27985020198628,293.8800431505595,1311
