mechanism_id,variant,year,episodes,mean_return,median_return,win_rate,profit_factor,cumulative_return,annualized_return
VWAP_DEVIATION_REVERSION,PRIMARY,2021,65,-0.0012323561880188973,-0.001199280431741001,0.4,0.6428086959927312,-0.0788470064329716,-0.0788470064329716
VWAP_DEVIATION_REVERSION,PRIMARY,2022,58,-0.0005356043854680673,-0.003890425611029924,0.39655172413793105,0.9015593670442666,-0.03648837893200174,-0.03648837893200174
VWAP_DEVIATION_REVERSION,PRIMARY,2023,62,-0.0020177865569448667,-0.0018911980312786292,0.4032258064516129,0.4582274021358515,-0.11906571108572139,-0.11906571108572139
VWAP_DEVIATION_REVERSION,PRIMARY,2024,67,-0.0037715848098212675,-0.0023645479379039713,0.417910447761194,0.5528819354696366,-0.23239761224804711,-0.23239761224804711
VWAP_DEVIATION_REVERSION,PRIMARY,2025,62,-0.0023880464963179117,-0.0018772565486897541,0.3709677419354839,0.5307193745489626,-0.14043902652023266,-0.14043902652023266
VWAP_DEVIATION_REVERSION,PRIMARY,2026,56,-0.001969030525188798,-0.004398088409026835,0.39285714285714285,0.6911484027050654,-0.10916823095321149,-0.10916823095321149
VWAP_DEVIATION_REVERSION,OPPOSITE,2021,65,-0.0011054536102283626,-0.001199280431741001,0.4,0.6723825321431535,-0.0712083873907593,-0.0712083873907593
VWAP_DEVIATION_REVERSION,OPPOSITE,2022,58,-0.0016537933943169825,0.0014991736112889287,0.5172413793103449,0.7165132220837777,-0.09699689479803775,-0.09699689479803775
VWAP_DEVIATION_REVERSION,OPPOSITE,2023,62,-0.00033035181793127403,-0.0005068555739395353,0.43548387096774194,0.8829476618370875,-0.021786935289712872,-0.021786935289712872
VWAP_DEVIATION_REVERSION,OPPOSITE,2024,67,0.0017188368980430775,-3.265185890966027e-05,0.47761194029850745,1.3049073999326697,0.10924919425039081,0.10924919425039081
VWAP_DEVIATION_REVERSION,OPPOSITE,2025,62,9.079615277216999e-05,-0.0005208437468082194,0.46774193548387094,1.0243829251838006,0.002536710198252301,0.002536710198252301
VWAP_DEVIATION_REVERSION,OPPOSITE,2026,56,-0.00024212611163504174,0.0020098065829661227,0.5535714285714286,0.954640370928257,-0.01862471140754296,-0.01862471140754296
DIRECTIONAL_EFFICIENCY_CONTINUATION,PRIMARY,2021,64,-0.0008269718877574692,-0.00043211607495635684,0.46875,0.7307878052642512,-0.05310688535496666,-0.05310688535496666
DIRECTIONAL_EFFICIENCY_CONTINUATION,PRIMARY,2022,58,-0.0004547536075469986,-7.307102564463319e-05,0.4827586206896552,0.9007651693902715,-0.03066569353450055,-0.03066569353450055
DIRECTIONAL_EFFICIENCY_CONTINUATION,PRIMARY,2023,64,0.00038204755332598567,-0.0003066121215609674,0.453125,1.1711627904072206,0.02341503291334246,0.02341503291334246
DIRECTIONAL_EFFICIENCY_CONTINUATION,PRIMARY,2024,66,0.0008629157197515743,-6.576376583489196e-05,0.48484848484848486,1.173471143370542,0.04866073436782248,0.04866073436782248
DIRECTIONAL_EFFICIENCY_CONTINUATION,PRIMARY,2025,69,0.00025001285247524976,-0.0008535550182524609,0.463768115942029,1.0740349818618353,0.014337500408730719,0.014337500408730719
