step,rounds,enter,exit,spec_id,win_count,min_return_delta,median_return_delta,mean_return_delta,mean_active_factors,weight_shift,2022H1_return,2022H1_return_delta,2022H1_sharpe,2022H1_win,2022H2_return,2022H2_return_delta,2022H2_sharpe,2022H2_win,2023H1_return,2023H1_return_delta,2023H1_sharpe,2023H1_win,2023H2_return,2023H2_return_delta,2023H2_sharpe,2023H2_win,2024H1_return,2024H1_return_delta,2024H1_sharpe,2024H1_win,2024H2_return,2024H2_return_delta,2024H2_sharpe,2024H2_win,2025H1_return,2025H1_return_delta,2025H1_sharpe,2025H1_win,2025H2_return,2025H2_return_delta,2025H2_sharpe,2025H2_win
0.025,1,0.15,0.025,step0.025_r1_en+0.150_ex+0.025,6,-0.01652201736056491,0.011821032059971204,0.022356391976170592,15.875,0.22533180470850725,0.0489793682004207,0.0026714245370127454,0.7572727431792993,True,0.014646242613518545,-0.01652201736056491,0.3187889314805502,False,0.10010805003263723,0.08051551073974461,1.373292475409909,True,-0.05294810929209692,0.01567272623424376,-1.2011531876119157,True,-0.04020162383281167,-0.007979321417066698,-0.5406359233230692,False,0.3086292787793381,0.04624736979979338,1.5550881325484753,True,0.09300893869497417,0.0502761053905032,1.3363122746902345,True,0.381082859270226,0.007969337885698646,2.8371094604762574,True
0.025,1,0.15,0.05,step0.025_r1_en+0.150_ex+0.050,5,-0.013726010766754282,0.00406392063531591,0.01691952590112103,15.875,0.22533180470850725,0.0489793682004207,0.0026714245370127454,0.7572727431792993,True,0.017442249207329175,-0.013726010766754282,0.36430733740270593,False,0.10010805003263723,0.08051551073974461,1.373292475409909,True,-0.06316441879272161,0.005456416733619074,-1.4591199922717328,True,-0.032222302415744974,0.0,-0.4131995599473113,False,0.3086292787793381,0.04624736979979338,1.5550881325484753,True,0.05692432947002368,0.014191496165552708,0.8818998260950702,True,0.37311352138452736,0.0,2.792914609533737,False
0.025,2,0.15,0.025,step0.025_r2_en+0.150_ex+0.025,5,-0.01652201736056491,0.004630184879886312,0.014320779735647576,16.125,0.25506596294616346,0.0489793682004207,0.0026714245370127454,0.7572727431792993,True,0.014646242613518545,-0.01652201736056491,0.3187889314805502,False,0.08958070027155984,0.06998816097866722,1.2497818847469888,True,-0.059077894992471514,0.00954294053386917,-1.3471255733847263,True,-0.04020162383281167,-0.007979321417066698,-0.5406359233230692,False,0.2623819089795447,0.0,1.3922634383082284,False,0.09300893869497417,0.0502761053905032,1.3363122746902345,True,0.37970246660728724,0.006588945222759879,2.8284594936460628,True
0.025,1,0.125,0.025,step0.025_r1_en+0.125_ex+0.025,5,-0.06971372804027065,0.006921787483396502,0.010953595951169626,15.875,0.22533180470850725,0.0489793682004207,0.0026714245370127454,0.7572727431792993,True,-0.018906670308084572,-0.05007493028216803,-0.1942130036449302,False,0.09719508821894429,0.07760254892605167,1.3270687500018783,True,-0.057448685096560426,0.011172150429780259,-1.2405709502333093,True,-0.10193603045601562,-0.06971372804027065,-1.335761137073843,False,0.25576480956552494,-0.006617099414019778,1.356264785516783,False,0.07074666675930064,0.028013833454829662,1.0407932725495332,True,0.4676880893826685,0.09457456799814112,3.265992828751555,True
0.025,2,0.15,0.05,step0.025_r2_en+0.150_ex+0.050,4,-0.023204710500987824,0.0013357122685063727,0.006922097143388706,16.125,0.25506596294616346,0.0489793682004207,0.0026714245370127454,0.7572727431792993,True,0.017442249207329175,-0.013726010766754282,0.36430733740270593,False,0.08958070027155984,0.06998816097866722,1.2497818847469888,True,-0.06316441879272161,0.005456416733619074,-1.4591199922717328,True,-0.032222302415744974,0.0,-0.4131995599473113,False,0.2623819089795447,0.0,1.3922634383082284,False,0.05692432947002368,0.014191496165552708,0.8818998260950702,True,0.34990881088353953,-0.023204710500987824,2.6590099259891997,False
0.025,2,0.2,0.05,step0.025_r2_en+0.200_ex+0.050,4,-0.03981761787817284,0.002728208366809537,-0.0018107526070852142,16.125,0.25506596294616346,0.054688063235222684,0.008380119571814726,0.8157972248151985,True,-0.008649357904089383,-0.03981761787817284,-0.05455862186430679,False,0.05798541582933869,0.038392876536446074,0.8801264958836897,True,-0.06316441879272161,0.005456416733619074,-1.4591199922717328,True,-0.032222302415744974,0.0,-0.4131995599473113,False,0.2623819089795447,0.0,1.3922634383082284,False,0.052874810966307084,0.01014197766183611,0.8273003427730181,True,0.3360737279023025,-0.03703979348222486,2.580099171396632,False
0.025,1,0.175,0.05,step0.025_r1_en+0.175_ex+0.050,4,-0.04028574819586139,0.002728208366809537,0.0057937950072396716,15.875,0.22533180470850725,0.05738088382220585,0.011072940158797895,0.8463431931500763,True,-0.009117488221777936,-0.04028574819586139,-0.057066017830841496,False,0.08958070027155984,0.06998816097866722,1.2497818847469888,True,-0.06316441879272161,0.005456416733619074,-1.4591199922717328,True,-0.032222302415744974,0.0,-0.4131995599473113,False,0.2623819089795447,0.0,1.3922634383082284,False,0.05692432947002368,0.014191496165552708,0.8818998260950702,True,0.3590406156016692,-0.014072905782858136,2.714529696763296,False
0.025,2,0.175,0.05,step0.025_r2_en+0.175_ex+0.050,4,-0.04028574819586139,0.002728208366809537,0.0029229340448188312,16.125,0.25506596294616346,0.05738088382220585,0.011072940158797895,0.8463431931500763,True,-0.009117488221777936,-0.04028574819586139,-0.057066017830841496,False,0.08958070027155984,0.06998816097866722,1.2497818847469888,True,-0.06316441879272161,0.005456416733619074,-1.4591199922717328,True,-0.032222302415744974,0.0,-0.4131995599473113,False,0.2623819089795447,0.0,1.3922634383082284,False,0.05692432947002368,0.014191496165552708,0.8818998260950702,True,0.3360737279023025,-0.03703979348222486,2.580099171396632,False
0.025,1,0.2,0.05,step0.025_r1_en+0.200_ex+0.050,4,-0.04028574819586139,0.002728208366809537,0.0012290453775799792,15.875,0.22533180470850725,0.054688063235222684,0.008380119571814726,0.8157972248151985,True,-0.009117488221777936,-0.04028574819586139,-0.057066017830841496,False,0.08127121923993719,0.06167867994704457,1.16843705898064,True,-0.06316441879272161,0.005456416733619074,-1.4591199922717328,True,-0.05368847933070009,-0.021466176914955115,-0.7497725835365051,False,0.2623819089795447,0.0,1.3922634383082284,False,0.052874810966307084,0.01014197766183611,0.8273003427730181,True,0.3590406156016692,-0.014072905782858136,2.714529696763296,False
0.025,2,0.2,0.025,step0.025_r2_en+0.200_ex+0.025,4,-0.0425419228048044,0.004190059785907363,0.006064913474678704,16.125,0.25506596294616346,0.054688063235222684,0.008380119571814726,0.8157972248151985,True,-0.011373662830720943,-0.0425419228048044,-0.09521007480252287,False,0.05798541582933869,0.038392876536446074,0.8801264958836897,True,-0.059077894992471514,0.00954294053386917,-1.3471255733847263,True,-0.04020162383281167,-0.007979321417066698,-0.5406359233230692,False,0.2623819089795447,0.0,1.3922634383082284,False,0.09300893869497417,0.0502761053905032,1.3363122746902345,True,0.3655620313711949,-0.00755149001333244,2.750268102978993,False
0.025,1,0.175,0.025,step0.025_r1_en+0.175_ex+0.025,4,-0.043008766665737164,0.005536470079398947,0.011229574977502974,15.875,0.22533180470850725,0.05738088382220585,0.011072940158797895,0.8463431931500763,True,-0.011840506691653707,-0.043008766665737164,-0.0968403945432924,False,0.08958070027155984,0.06998816097866722,1.2497818847469888,True,-0.05294810929209692,0.01567272623424376,-1.2011531876119157,True,-0.04020162383281167,-0.007979321417066698,-0.5406359233230692,False,0.2623819089795447,0.0,1.3922634383082284,False,0.09300893869497417,0.0502761053905032,1.3363122746902345,True,0.3669282765251429,-0.006185244859384431,2.758926918088799,False
