factor,endpoint,pass
state__raw__30m__byi_fx_num_V230628__di_1__joint::向上|满足|任意,return_20,True
state__raw__30m__byi_fx_num_V230628__di_1__joint::向下|满足|任意,return_20,False
state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::否|向下|任意,return_20,False
state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向上|3笔,max_drawdown_20,True
state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|3笔,return_20,False
state__raw__30m__cxt_bi_base_V230228__di_1__v2::中继,return_20,True
state__raw__30m__cxt_bi_base_V230228__di_1__joint::向上|中继|任意,return_20,True
state__raw__30m__cxt_bi_base_V230228__di_1__joint::向下|中继|任意,return_20,True
state__raw__30m__cxt_bi_end_V230222__di_1__v1::新低,return_20,True
state__raw__30m__cxt_bi_end_V230222__di_1__v1::新高,return_20,True
state__raw__30m__cxt_bi_end_V230222__di_1__v1::新高,max_drawdown_20,True
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第2次,return_20,True
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第1次|任意,return_20,True
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第1次|任意,max_drawdown_20,True
state__raw__30m__cxt_bi_end_V230312__di_1__v1::看空,return_20,True
state__raw__30m__cxt_bi_end_V230322__di_1__v1::看多,return_20,True
state__raw__30m__cxt_bi_end_V230322__di_1__v1::看多,max_drawdown_20,True
state__raw__30m__cxt_bi_end_V230322__di_1__v2::反向分型,max_drawdown_20,True
state__raw__30m__cxt_bi_end_V230618__di_1__v1::看多,return_20,True
state__raw__30m__cxt_bi_status_V230101__di_1__v2::底分,return_20,True
state__raw__30m__cxt_bi_status_V230101__di_1__v2::延伸,return_20,True
state__raw__30m__cxt_bi_status_V230101__di_1__v2::顶分,return_20,True
state__raw__30m__cxt_bi_status_V230101__di_1__joint::向上|延伸|任意,return_20,True
state__raw__30m__cxt_bi_status_V230101__di_1__joint::向下|延伸|任意,return_20,True
state__raw__30m__cxt_bi_status_V230102__di_1__v1::向上,return_20,True
state__raw__30m__cxt_bi_status_V230102__di_1__v2::底分,return_20,True
state__raw__30m__cxt_bi_status_V230102__di_1__joint::向上|延伸|任意,return_20,True
state__raw__30m__cxt_bi_trend_V230824__di_1__v1::向上,return_20,True
state__raw__30m__cxt_bi_trend_V230824__di_1__v1::向下,return_20,True
state__raw__30m__cxt_bi_trend_V230824__di_1__v1::横盘,return_20,True
state__raw__30m__cxt_bi_trend_V230913__di_1__v1::下降趋势,return_20,True
state__raw__30m__cxt_bi_trend_V230913__di_1__joint::下降趋势|强|任意,return_20,True
state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第1层,max_drawdown_20,True
state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第2层,max_drawdown_20,True
state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第3层,max_drawdown_20,False
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第1层|任意,max_drawdown_20,True
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第1层|任意,max_drawdown_20,True
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第2层|任意,max_drawdown_20,True
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第4层|任意,return_20,True
state__raw__30m__cxt_decision_V240526__di_1__v1::开多,return_20,True
state__raw__30m__cxt_decision_V240526__di_1__v1::开多,max_drawdown_20,True
state__raw__30m__cxt_decision_V240612__di_1__v1::开多,return_20,True
state__raw__30m__cxt_decision_V240612__di_1__v1::开空,max_drawdown_20,True
state__raw__30m__cxt_fx_power_V221107__di_1__v1::弱顶,max_drawdown_20,True
state__raw__30m__cxt_fx_power_V221107__di_1__v1::强顶,return_20,False
state__raw__30m__cxt_fx_power_V221107__di_1__joint::中顶|有中枢|任意,return_20,True
state__raw__30m__cxt_fx_power_V221107__di_1__joint::弱顶|有中枢|任意,max_drawdown_20,True
state__raw__30m__cxt_fx_power_V221107__di_1__joint::强顶|有中枢|任意,max_drawdown_20,True
state__raw__30m__cxt_overlap_V240526__di_1__v1::顶重合0次,return_20,True
state__raw__30m__cxt_overlap_V240526__di_1__v1::顶重合1次,return_20,True
state__raw__30m__cxt_overlap_V240526__di_1__v2::底重合2次,max_drawdown_20,True
state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合0次|底重合0次|任意,return_20,True
state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合1次|底重合0次|任意,return_20,True
state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合1次|底重合0次|任意,max_drawdown_20,True
state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::3笔震荡,return_20,False
state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::3笔震荡,max_drawdown_20,True
state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::6笔震荡,max_drawdown_20,True
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::3笔震荡|向上|任意,return_20,True
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::3笔震荡|向上|任意,max_drawdown_20,True
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::3笔震荡|向下|任意,max_drawdown_20,True
state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下奔走型,max_drawdown_20,True
state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下收敛,return_20,False
state__raw__30m__cxt_ubi_end_V230816__di_1__v1::新高,return_20,True
state__raw__30m__zdy_bi_end_V230406__di_1__joint::看多|任意|任意,return_20,False
state__raw__30m__zdy_bi_end_V230407__di_1__joint::看多|任意|任意,return_20,True
state__raw__daily__byi_fx_num_V230628__di_1__v1::向上,max_drawdown_20,True
state__raw__daily__byi_fx_num_V230628__di_1__joint::向上|其他|任意,max_drawdown_20,True
state__raw__daily__byi_fx_num_V230628__di_1__joint::向下|其他|任意,max_drawdown_20,True
state__raw__daily__byi_fx_num_V230628__di_1__joint::向下|满足|任意,return_20,False
state__raw__daily__byi_fx_num_V230628__di_1__joint::向下|满足|任意,max_drawdown_20,True
state__raw__daily__byi_symmetry_zs_V221107__di_1__v2::向上,max_drawdown_20,True
state__raw__daily__byi_symmetry_zs_V221107__di_1__v2::向下,return_20,False
state__raw__daily__byi_symmetry_zs_V221107__di_1__v2::向下,max_drawdown_20,True
state__raw__daily__byi_symmetry_zs_V221107__di_1__joint::否|向下|任意,max_drawdown_20,True
state__raw__daily__cxt_bi_base_V230228__di_1__v1::向上,max_drawdown_20,True
state__raw__daily__cxt_bi_base_V230228__di_1__v1::向下,max_drawdown_20,True
state__raw__daily__cxt_bi_base_V230228__di_1__v2::转折,max_drawdown_20,True
state__raw__daily__cxt_bi_base_V230228__di_1__joint::向上|中继|任意,max_drawdown_20,True
state__raw__daily__cxt_bi_base_V230228__di_1__joint::向下|转折|任意,max_drawdown_20,True
state__raw__daily__cxt_bi_end_V230222__di_1__v1::新高,max_drawdown_20,True
state__raw__daily__cxt_bi_end_V230222__di_1__v2::第1次,max_drawdown_20,True
state__raw__daily__cxt_bi_end_V230222__di_1__v2::第2次,return_20,True
state__raw__daily__cxt_bi_end_V230222__di_1__v2::第3次,max_drawdown_20,True
state__raw__daily__cxt_bi_end_V230222__di_1__joint::新低|第2次|任意,return_20,True
state__raw__daily__cxt_bi_end_V230222__di_1__joint::新低|第2次|任意,max_drawdown_20,True
state__raw__daily__cxt_bi_end_V230222__di_1__joint::新高|第1次|任意,max_drawdown_20,True
state__raw__daily__cxt_bi_end_V230324__di_1__v1::看多,max_drawdown_20,True
state__raw__daily__cxt_bi_end_V230324__di_1__v1::看空,max_drawdown_20,True
state__raw__daily__cxt_bi_end_V230618__di_1__v1::看多,return_20,False
state__raw__daily__cxt_bi_end_V230618__di_1__v1::看空,return_20,True
state__raw__daily__cxt_bi_end_V230618__di_1__v1::看空,max_drawdown_20,True
state__raw__daily__cxt_bi_end_V230618__di_1__joint::看多|其他|任意,max_drawdown_20,True
state__raw__daily__cxt_bi_end_V230618__di_1__joint::看空|其他|任意,max_drawdown_20,True
state__raw__daily__cxt_bi_status_V230101__di_1__joint::向下|延伸|任意,return_20,False
state__raw__daily__cxt_bi_status_V230102__di_1__v1::向下,max_drawdown_20,True
state__raw__daily__cxt_bi_status_V230102__di_1__joint::向下|延伸|任意,max_drawdown_20,True
state__raw__daily__cxt_bi_stop_V230815__di_1__v1::向上,max_drawdown_20,True
state__raw__daily__cxt_bi_stop_V230815__di_1__v1::向下,return_20,False
state__raw__daily__cxt_bi_stop_V230815__di_1__v1::向下,max_drawdown_20,True
state__raw__daily__cxt_bi_stop_V230815__di_1__joint::向上|阈值外|任意,max_drawdown_20,True
state__raw__daily__cxt_bi_stop_V230815__di_1__joint::向下|阈值外|任意,return_20,False
state__raw__daily__cxt_bi_stop_V230815__di_1__joint::向下|阈值外|任意,max_drawdown_20,False
state__raw__daily__cxt_bi_trend_V230824__di_1__v1::向下,return_20,True
state__raw__daily__cxt_bi_trend_V230824__di_1__v1::横盘,return_20,False
state__raw__daily__cxt_bi_trend_V230913__di_1__v1::上升趋势,max_drawdown_20,True
state__raw__daily__cxt_bi_trend_V230913__di_1__v1::下降趋势,return_20,False
state__raw__daily__cxt_bi_trend_V230913__di_1__v2::强,return_20,False
state__raw__daily__cxt_bi_trend_V230913__di_1__joint::上升趋势|强|任意,max_drawdown_20,True
state__raw__daily__cxt_bi_trend_V230913__di_1__joint::下降趋势|强|任意,return_20,False
state__raw__daily__cxt_bi_zdf_V230601__di_1__v1::向上,max_drawdown_20,True
state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层,return_20,True
state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层,max_drawdown_20,True
state__raw__daily__cxt_bi_zdf_V230601__di_1__joint::向上|第1层|任意,max_drawdown_20,True
state__raw__daily__cxt_bi_zdf_V230601__di_1__joint::向下|第2层|任意,return_20,True
state__raw__daily__cxt_fx_power_V221107__di_1__v1::中底,max_drawdown_20,True
state__raw__daily__cxt_fx_power_V221107__di_1__joint::弱底|有中枢|任意,max_drawdown_20,False
state__raw__daily__cxt_fx_power_V221107__di_1__joint::强底|有中枢|任意,max_drawdown_20,True
state__raw__daily__cxt_overlap_V240526__di_1__v1::顶重合1次,max_drawdown_20,True
state__raw__daily__cxt_overlap_V240526__di_1__v2::底重合0次,return_20,False
state__raw__daily__cxt_range_oscillation_V230620__di_1__v1::2笔震荡,return_20,True
state__raw__daily__cxt_range_oscillation_V230620__di_1__v2::向上,return_20,False
state__raw__daily__cxt_range_oscillation_V230620__di_1__joint::2笔震荡|向上|任意,return_20,True
state__raw__daily__cxt_range_oscillation_V230620__di_1__joint::2笔震荡|向上|任意,max_drawdown_20,False
