cell_id,late_window_minutes,threshold_lookback_sessions,threshold_quantile,is_center,closed_trades,rolling_60_median,rolling_60_p10,stress_mean_return,stress_profit_factor,positive_years,recent_252_trades,recent_252_mean_return,viable,check_sample,check_density_median,check_density_p10,check_mean_return,check_profit_factor,check_positive_years,check_recent_mean
LW45-LB100-Q0.70,45,100,0.7,False,303,15.0,11.0,0.0013960180100881982,1.1937890079420972,5,65,0.0028063885069286444,True,True,True,True,True,True,True,True
LW45-LB100-Q0.75,45,100,0.75,False,253,12.0,7.0,0.00184889600156756,1.2494096362904776,6,55,0.00312408384648749,False,True,True,False,True,True,True,True
LW45-LB100-Q0.80,45,100,0.8,False,221,10.0,6.0,0.001561999752739411,1.2046456548344069,6,49,0.0017476923681888855,False,True,False,False,True,True,True,True
LW45-LB120-Q0.70,45,120,0.7,False,303,14.0,10.0,0.0014702694989646304,1.2067252335024468,6,64,0.0031577265872260035,True,True,True,True,True,True,True,True
LW45-LB120-Q0.75,45,120,0.75,False,257,12.0,8.0,0.001917221277309725,1.2643583117419175,5,58,0.003218069154271354,True,True,True,True,True,True,True,True
LW45-LB120-Q0.80,45,120,0.8,False,222,11.0,6.0,0.0022216888145605274,1.3094406104667362,6,49,0.0037822590734991795,False,True,False,False,True,True,True,True
LW45-LB140-Q0.70,45,140,0.7,False,300,14.0,9.0,0.0014703508292455167,1.2074281046036328,6,64,0.0031577265872260035,True,True,True,True,True,True,True,True
LW45-LB140-Q0.75,45,140,0.75,False,262,13.0,7.0,0.002203910502539573,1.3042061694603408,6,59,0.003743424916381976,False,True,True,False,True,True,True,True
LW45-LB140-Q0.80,45,140,0.8,False,219,11.0,6.0,0.001845053601891969,1.2488138519280212,5,48,0.003519696985885249,False,True,False,False,True,True,True,True
LW60-LB100-Q0.70,60,100,0.7,False,300,14.0,10.0,0.001785103369338014,1.25566245353987,4,66,0.003008200853004411,True,True,True,True,True,True,True,True
LW60-LB100-Q0.75,60,100,0.75,False,259,12.0,8.0,0.0022618182622729304,1.3218656394271806,5,55,0.003597799069810273,True,True,True,True,True,True,True,True
LW60-LB100-Q0.80,60,100,0.8,False,225,11.0,6.0,0.0026273700486938523,1.3692679813394015,5,48,0.004786240650007216,False,True,False,False,True,True,True,True
LW60-LB120-Q0.70,60,120,0.7,False,308,15.0,10.0,0.0013078403555822605,1.1820360096551967,3,68,0.0005664135969041496,False,True,True,True,True,True,False,True
LW60-LB120-Q0.75,60,120,0.75,True,262,13.0,8.0,0.0022034433640084187,1.3166879132567406,5,58,0.003647017445891706,True,True,True,True,True,True,True,True
LW60-LB120-Q0.80,60,120,0.8,False,221,10.0,6.0,0.0017662912149083233,1.2311143505456723,3,48,0.002267921127140827,False,True,False,False,True,True,False,True
LW60-LB140-Q0.70,60,140,0.7,False,309,15.0,11.0,0.0010022858508076465,1.1332735621091035,3,69,0.0010540606334533366,False,True,True,True,True,True,False,True
LW60-LB140-Q0.75,60,140,0.75,False,259,13.0,8.0,0.002045638746827773,1.288562387512188,5,59,0.003589081067548061,True,True,True,True,True,True,True,True
LW60-LB140-Q0.80,60,140,0.8,False,219,10.0,6.0,0.0017009764477364342,1.223107894120273,4,50,0.003525515690657337,False,True,False,False,True,True,True,True
LW75-LB100-Q0.70,75,100,0.7,False,302,15.0,10.0,0.0014159654994161492,1.2007963979597513,5,66,0.0028843534638846287,True,True,True,True,True,True,True,True
LW75-LB100-Q0.75,75,100,0.75,False,266,13.0,8.0,0.001814805269541291,1.2556757565374286,5,62,0.0036422052944511413,True,True,True,True,True,True,True,True
LW75-LB100-Q0.80,75,100,0.8,False,220,10.0,6.0,0.0022837891459498603,1.3094269376607781,5,53,0.0034280218402395176,False,True,False,False,True,True,True,True
LW75-LB120-Q0.70,75,120,0.7,False,304,15.0,10.0,0.0014280035221929692,1.2024818328610363,5,67,0.003351961010972889,True,True,True,True,True,True,True,True
LW75-LB120-Q0.75,75,120,0.75,False,268,13.0,8.0,0.0021226812844151923,1.3005949041263047,5,62,0.004614061251582419,True,True,True,True,True,True,True,True
LW75-LB120-Q0.80,75,120,0.8,False,221,11.0,6.0,0.00237860191740461,1.325635962069932,5,55,0.0030477831915130993,False,True,False,False,True,True,True,True
LW75-LB140-Q0.70,75,140,0.7,False,299,15.0,10.0,0.001573351992312306,1.2241512438871327,5,68,0.003390107863677845,True,True,True,True,True,True,True,True
LW75-LB140-Q0.75,75,140,0.75,False,266,13.0,8.0,0.0016904236615510077,1.2305631438868696,5,61,0.004296180694771285,True,True,True,True,True,True,True,True
LW75-LB140-Q0.80,75,140,0.8,False,218,11.0,6.0,0.00237753798191358,1.3228713977863804,5,56,0.003825509380250207,False,True,False,False,True,True,True,True
