family,configuration,cost_bps_one_way,period,annualized_return,max_drawdown,calmar,entries,exposure,annual_turnover,positive_years,evaluated_years,worst_year,top2_positive_year_concentration
BUY_HOLD,always_long,10,FULL,0.07337368580363557,0.22846975088967936,0.3211527369286858,1,1.0,0.08756892831455286,9,12,-0.09322912505017011,0.4076670346195883
BUY_HOLD,always_long,10,P1,0.007415362210318577,0.22846975088967936,0.032456647680677936,1,1.0,0.22644141351518907,3,5,-0.09322912505017011,0.9547544854049801
BUY_HOLD,always_long,10,P2,0.07383476874370332,0.21240345297592012,0.3476156705986972,0,1.0,0.0,3,4,-0.07159353348729935,0.906110451402845
BUY_HOLD,always_long,10,P3,0.17881948278921156,0.10899653979238766,1.6405977944787964,0,1.0,0.0,3,3,0.10088446655610883,0.8132924417858476
BUY_HOLD,always_long,30,FULL,0.0731861225621917,0.22846975088967936,0.32033178255414174,1,1.0,0.08756892831455286,9,12,-0.09503691922345758,0.4076670346195883
BUY_HOLD,always_long,30,P1,0.006960215927974467,0.22846975088967936,0.03046449650717801,1,1.0,0.22644141351518907,3,5,-0.09503691922345758,0.9547544854049801
BUY_HOLD,always_long,30,P2,0.07383476874370332,0.21240345297592012,0.3476156705986972,0,1.0,0.0,3,4,-0.07159353348729935,0.906110451402845
BUY_HOLD,always_long,30,P3,0.17881948278921156,0.10899653979238766,1.6405977944787964,0,1.0,0.0,3,3,0.10088446655610883,0.8132924417858476
DONCHIAN,entry=60;exit=20,10,FULL,0.02013506575702939,0.18028907646811831,0.11168211713919343,21,0.3540842029507017,3.6778949892112203,6,12,-0.09057520722019963,0.5552504271208336
DONCHIAN,entry=60;exit=20,10,P1,-0.011024133735007768,0.10970781826969023,-0.10048630907878957,8,0.1933395004625347,3.623062616243025,1,5,-0.05478358876761502,1.0
DONCHIAN,entry=60;exit=20,10,P2,0.007046083646299772,0.18028907646811954,0.03908214398971492,8,0.37410071942446044,4.005483207676491,2,4,-0.09057520722019963,1.0
DONCHIAN,entry=60;exit=20,10,P3,0.08677339966537301,0.06868469055374582,1.2633586752126773,5,0.5668965517241379,3.3478460128322642,3,3,0.04692706940471525,0.819761256292519
DONCHIAN,entry=60;exit=20,30,FULL,0.012648243058431152,0.18683752195140135,0.06769648262473268,21,0.3540842029507017,3.6778949892112203,5,12,-0.09784035217032949,0.5908139077710312
DONCHIAN,entry=60;exit=20,30,P1,-0.018194995655605672,0.1256339266095987,-0.14482549536277514,8,0.1933395004625347,3.623062616243025,1,5,-0.06234441217741116,1.0
DONCHIAN,entry=60;exit=20,30,P2,-0.0009874905344167129,0.18683752195140102,-0.00528529025702649,8,0.37410071942446044,4.005483207676491,1,4,-0.09784035217032949,1.0
DONCHIAN,entry=60;exit=20,30,P3,0.07952568497929224,0.07054918566775248,1.1272374617308,5,0.5668965517241379,3.3478460128322642,3,3,0.04068582634856566,0.8295851646283646
DONCHIAN,entry=60;exit=40,10,FULL,0.04241209156490866,0.19598730056597824,0.21640224362716207,14,0.5152932709607773,2.364361064492927,6,12,-0.09433834429377119,0.6191781806962802
DONCHIAN,entry=60;exit=40,10,P1,0.018264253899143323,0.10646015394210595,0.17155952929652535,4,0.36725254394079554,1.8115313081215125,1,5,-0.038338683613544644,1.0
DONCHIAN,entry=60;exit=40,10,P2,0.006435552287406887,0.1959873005659779,0.032836578027362534,7,0.4779033915724563,3.504797806716929,2,4,-0.09433834429377119,1.0
DONCHIAN,entry=60;exit=40,10,P3,0.13140846751026602,0.07275136689228312,1.8062680211195423,3,0.7862068965517242,1.6739230064161321,3,3,0.02691864917332265,0.933717854314528
DONCHIAN,entry=60;exit=40,30,FULL,0.03749038661444137,0.2027265018875758,0.18493086135937017,14,0.5152932709607773,2.364361064492927,6,12,-0.10157342657514157,0.6388300941970286
DONCHIAN,entry=60;exit=40,30,P1,0.01457065120409995,0.11360659873130341,0.1282553246626256,4,0.36725254394079554,1.8115313081215125,1,5,-0.04219470710395412,1.0
DONCHIAN,entry=60;exit=40,30,P2,-0.0005962694108628819,0.20241033724752466,-0.0029458446587819903,7,0.4779033915724563,3.504797806716929,2,4,-0.10157342657514157,1.0
DONCHIAN,entry=60;exit=40,30,P3,0.12763096818201736,0.0764623844773793,1.669199424715506,3,0.7862068965517242,1.6739230064161321,3,3,0.020796686072275472,0.9474268212140454
DONCHIAN,entry=90;exit=20,10,FULL,0.023397785238386648,0.13578503673407427,0.17231490156172077,16,0.3076646275638719,2.8022057060656915,6,12,-0.05497055054183697,0.583342958719022
DONCHIAN,entry=90;exit=20,10,P1,-0.018462442449939442,0.1272850166058207,-0.14504804212042002,6,0.1572617946345976,2.717296962182269,1,5,-0.05497055054183697,1.0
DONCHIAN,entry=90;exit=20,10,P2,0.027026460989507894,0.1357850367340745,0.19903858068276942,5,0.28263103802672146,2.503427004797807,2,4,-0.021255599589733,1.0
DONCHIAN,entry=90;exit=20,10,P3,0.0836227617863523,0.06868469055374582,1.2174876397079701,5,0.5655172413793104,3.3478460128322642,3,3,0.03788726629702377,0.8492473956206463
DONCHIAN,entry=90;exit=20,30,FULL,0.017681770176764422,0.1426857279474103,0.12392108468817144,16,0.3076646275638719,2.8022057060656915,6,12,-0.058752119559424054,0.6266806896261755
DONCHIAN,entry=90;exit=20,30,P1,-0.023774595542729093,0.1410667274433931,-0.16853439484707194,6,0.1572617946345976,2.717296962182269,1,5,-0.058752119559424054,1.0
DONCHIAN,entry=90;exit=20,30,P2,0.021894265815885383,0.14268572794741097,0.15344397881163596,5,0.28263103802672146,2.503427004797807,2,4,-0.029070799709028927,1.0
DONCHIAN,entry=90;exit=20,30,P3,0.07639708757789831,0.07054918566775248,1.0828911326870052,5,0.5655172413793104,3.3478460128322642,3,3,0.03170285935824313,0.8620192011700207
DONCHIAN,entry=90;exit=40,10,FULL,0.042370876620231535,0.1412957152855534,0.29987375437819586,11,0.4426052536883771,1.8389474946056101,6,12,-0.08567824995558693,0.5978381167645987
DONCHIAN,entry=90;exit=40,10,P1,-0.005147634969751236,0.1412957152855534,-0.03643164238454122,4,0.33024976873265494,1.8115313081215125,1,5,-0.08567824995558693,1.0
DONCHIAN,entry=90;exit=40,10,P2,0.034779609810700496,0.12332657382961254,0.28201229249060183,4,0.31243576567317577,2.0027416038382455,2,4,-0.017108786187659097,1.0
DONCHIAN,entry=90;exit=40,10,P3,0.1281284292102125,0.07275136689228312,1.7611824311139277,3,0.7848275862068965,1.6739230064161321,3,3,0.0180516108977522,0.9545591504645038
DONCHIAN,entry=90;exit=40,30,FULL,0.03854768046376589,0.14644409962665672,0.26322453797755596,11,0.4426052536883771,1.8389474946056101,6,12,-0.0893369410197189,0.612051386256039
DONCHIAN,entry=90;exit=40,30,P1,-0.008734325185504654,0.14644409962665672,-0.0596427251611493,4,0.33024976873265494,1.8115313081215125,1,5,-0.0893369410197189,1.0
DONCHIAN,entry=90;exit=40,30,P2,0.030636707286837206,0.12681238537499795,0.24159081304433433,4,0.31243576567317577,2.0027416038382455,2,4,-0.024957098298790448,1.0
DONCHIAN,entry=90;exit=40,30,P3,0.12436295578928513,0.07646238447737974,1.6264592928837587,3,0.7848275862068965,1.6739230064161321,3,3,0.011985397686625099,0.9690111369308909
DONCHIAN,entry=90;exit=60,10,FULL,0.03407582669472209,0.1527207682902907,0.22312503450710103,11,0.47247211227060093,1.8389474946056101,6,12,-0.09105209735299336,0.6151873180087578
DONCHIAN,entry=90;exit=60,10,P1,-0.015658257773641715,0.1527207682902907,-0.1025286734013713,4,0.3580018501387604,1.8115313081215125,1,5,-0.09105209735299336,1.0
DONCHIAN,entry=90;exit=60,10,P2,0.023628377436433423,0.15017681554699192,0.15733705199681675,4,0.3658787255909558,2.0027416038382455,2,4,-0.021622062169450396,1.0
