family,configuration,qualifies,full_calmar_10bp,buyhold_calmar_10bp,full_max_drawdown_10bp,buyhold_max_drawdown_10bp,positive_all_internal_periods_10bp,full_annualized_return_30bp,entries,top2_positive_year_concentration
DONCHIAN,entry=60;exit=20,False,0.11168211713919343,0.3211527369286858,0.18028907646811831,0.22846975088967936,False,0.012648243058431152,21,0.5552504271208336
DONCHIAN,entry=60;exit=40,False,0.21640224362716207,0.3211527369286858,0.19598730056597824,0.22846975088967936,True,0.03749038661444137,14,0.6191781806962802
DONCHIAN,entry=90;exit=20,False,0.17231490156172077,0.3211527369286858,0.13578503673407427,0.22846975088967936,False,0.017681770176764422,16,0.583342958719022
DONCHIAN,entry=90;exit=40,False,0.29987375437819586,0.3211527369286858,0.1412957152855534,0.22846975088967936,False,0.03854768046376589,11,0.5978381167645987
DONCHIAN,entry=90;exit=60,False,0.22312503450710103,0.3211527369286858,0.1527207682902907,0.22846975088967936,False,0.030283055028909267,11,0.6151873180087578
DONCHIAN,entry=90;exit=80,False,0.32556492603065795,0.3211527369286858,0.17655667744385783,0.22846975088967936,False,0.05508266411098739,7,0.5020896660756338
DONCHIAN,entry=120;exit=20,False,0.19917378987206263,0.3211527369286858,0.14605951173178278,0.22846975088967936,False,0.024416231384766007,13,0.6345559187667601
DONCHIAN,entry=120;exit=40,True,0.39702411625599365,0.3211527369286858,0.1337491649454895,0.22846975088967936,True,0.05033905704254371,8,0.5918648685212587
DONCHIAN,entry=120;exit=60,False,0.28666860061024724,0.3211527369286858,0.16028018962899004,0.22846975088967936,True,0.04320347859433893,8,0.6419176489644115
DONCHIAN,entry=120;exit=80,False,0.568820299298088,0.3211527369286858,0.13153504789194947,0.22846975088967936,True,0.0735030422621965,4,0.5224548428924789
DONCHIAN,entry=150;exit=20,False,0.18264819077516023,0.3211527369286858,0.14605951173178322,0.22846975088967936,False,0.022010239454395064,13,0.6530222498800193
DONCHIAN,entry=150;exit=40,True,0.378556434024446,0.3211527369286858,0.1337491649454895,0.22846975088967936,True,0.04787218154997075,8,0.617696642262415
DONCHIAN,entry=150;exit=60,False,0.27136255030903433,0.3211527369286858,0.16028018962899004,0.22846975088967936,True,0.040753362055440334,8,0.6558175040824771
DONCHIAN,entry=150;exit=80,False,0.5421471248124479,0.3211527369286858,0.13335647325511668,0.22846975088967936,True,0.0709817627492586,4,0.5396700048524412
DONCHIAN,entry=150;exit=120,False,0.3720983490672043,0.3211527369286858,0.19093839682316716,0.22846975088967936,True,0.07011003147107786,3,0.5499641679604174
DONCHIAN,entry=180;exit=20,False,0.17007557400986156,0.3211527369286858,0.14605951173178278,0.22846975088967936,False,0.020543811240059773,12,0.6646694880584693
DONCHIAN,entry=180;exit=40,False,0.3051633048764053,0.3211527369286858,0.1519985551230334,0.22846975088967936,True,0.043641611606535013,8,0.628436858213558
DONCHIAN,entry=180;exit=60,False,0.2450438168691037,0.3211527369286858,0.16028018962899004,0.22846975088967936,True,0.03655153289195501,8,0.6676019936379883
DONCHIAN,entry=180;exit=80,False,0.40089362707522247,0.3211527369286858,0.16953128641817938,0.22846975088967936,True,0.06665789259101773,4,0.5459130298122388
DONCHIAN,entry=180;exit=120,False,0.2969080240132916,0.3211527369286858,0.22470966658878733,0.22846975088967936,True,0.06578968074985347,3,0.5826711854780867
DONCHIAN,entry=210;exit=20,False,0.15887246640492372,0.3211527369286858,0.14605951173178278,0.22846975088967936,False,0.018916296721710024,12,0.6700032230137245
DONCHIAN,entry=210;exit=40,False,0.2758590190640324,0.3211527369286858,0.1620888234394905,0.22846975088967936,True,0.041977261819552414,8,0.6487590564924377
DONCHIAN,entry=210;exit=60,False,0.22500320826942563,0.3211527369286858,0.1671811807531648,0.22846975088967936,True,0.03489849002381051,8,0.6676285591199982
DONCHIAN,entry=210;exit=80,False,0.36930915547272497,0.3211527369286858,0.1794129348506054,0.22846975088967936,True,0.06495683753861914,4,0.5595228748954844
