constraint,passing_trials,pass_rate,median_violation
full_drawdown_loss,2,0.002296211251435132,0.1001124968066169
s001_drawdown_loss,28,0.03214695752009185,0.0847786958007722
full_cagr_shortfall,35,0.040183696900114814,0.0983540190189283
confirmation_drawdown_loss,164,0.18828932261768083,0.0262854368622294
discovery_cagr_shortfall,327,0.37543053960964407,0.0115999764750304
frequency_median_shortfall,670,0.7692307692307693,0.0
frequency_p10_shortfall,857,0.983926521239954,-2.0
confirmation_cagr_shortfall,871,1.0,-0.3457896193076404
