prototype_id,window,entry_signal_date,entry_date,exit_signal_date,exit_date,size,entry_price,exit_price,entry_fees,exit_fees,net_return
P-A00-NO-FILTER,2021_2026YTD,2023-03-06,2023-03-07,2023-03-13,2023-03-14,173821.7673586225,6.4,6.242,556.2296555475332,542.4977359262608,-0.02566232508745636
P-A00-NO-FILTER,2021_2026YTD,2023-03-20,2023-03-21,2023-03-27,2023-03-28,174852.55986567057,6.199,6.321,541.9555093036033,552.6215154554518,0.018661422635996017
P-A00-NO-FILTER,2021_2026YTD,2023-03-29,2023-03-30,2023-04-06,2023-04-07,175846.20803079082,6.279,6.426,552.0691701127216,564.993866402931,0.02238847131618149
P-A00-NO-FILTER,2021_2026YTD,2023-05-11,2023-05-12,2023-05-18,2023-05-19,183018.53271474817,6.168,6.145,564.4291548922192,562.3244417660637,-0.004724696665934336
P-A00-NO-FILTER,2021_2026YTD,2023-07-10,2023-07-11,2023-07-17,2023-07-18,184517.128706194,6.089,6.111,561.7623983458616,563.7920867617757,0.0026099612371512926
P-A00-NO-FILTER,2021_2026YTD,2023-07-18,2023-07-19,2023-07-25,2023-07-26,184846.92367252376,6.094,6.117,563.2285764301196,565.3543160524139,0.0027709315673636326
P-A00-NO-FILTER,2021_2026YTD,2023-09-15,2023-09-18,2023-09-22,2023-09-25,194754.91181801778,5.8,5.8,564.7892442722805,564.7892442722515,-0.0009995002498751626
P-A00-NO-FILTER,2021_2026YTD,2023-10-11,2023-10-12,2023-10-18,2023-10-19,196047.51121663468,5.756,5.605,564.2247372814454,549.4231501846187,-0.027206775347558887
P-A00-NO-FILTER,2021_2026YTD,2023-11-02,2023-11-03,2023-11-09,2023-11-10,197259.29976953176,5.565,5.68,548.8740016086958,560.2164113454701,0.0196447149291481
P-A00-NO-FILTER,2021_2026YTD,2023-12-15,2023-12-18,2023-12-22,2023-12-25,202774.08510954576,5.52,5.408,559.6564749022946,548.3011261362118,-0.021269075607123766
P-A00-NO-FILTER,2021_2026YTD,2024-03-14,2024-03-15,2024-03-21,2024-03-22,200531.97840879805,5.463,5.547,547.7530990235973,556.1754421168014,0.014361298208666051
P-A00-NO-FILTER,2021_2026YTD,2024-06-03,2024-06-04,2024-06-11,2024-06-12,210103.8172143813,5.289,5.245,555.6195446234196,550.997260644715,-0.009310338213385227
P-A00-NO-FILTER,2021_2026YTD,2024-11-26,2024-11-27,2024-12-03,2024-12-04,190400.0479920512,5.782,6.02,550.44653874496,573.1041444560741,0.04012158569625601
P-A00-NO-FILTER,2021_2026YTD,2025-01-23,2025-01-24,2025-02-07,2025-02-10,205613.69248356466,5.569,5.843,572.531326720491,600.7004025907341,0.048152257144905786
P-A00-NO-FILTER,2021_2026YTD,2025-03-25,2025-03-26,2025-04-01,2025-04-02,202292.26441538674,5.933,5.879,600.100002388237,594.6381112490293,-0.010092038086805255
P-A00-NO-FILTER,2021_2026YTD,2025-04-24,2025-04-25,2025-05-06,2025-05-07,211780.3102703211,5.61,5.798,594.0437703081407,613.9511194736608,0.03247859136385456
