prototype_id,window,signal_date,execution_date,side,size,price,fees
P-A00-NO-FILTER,2021,2021-03-10,2021-03-11,Buy,148912.43293728583,6.712,499.75012493750546
P-A00-NO-FILTER,2021,2021-03-17,2021-03-18,Sell,148912.43293728583,6.895,513.3756125512929
P-A00-NO-FILTER,2021,2021-05-21,2021-05-24,Buy,141342.8396026645,7.257,512.8624934982508
P-A00-NO-FILTER,2021,2021-05-28,2021-05-31,Sell,141342.8396026645,7.43,525.0886491238986
P-A00-NO-FILTER,2022,2022-08-04,2022-08-05,Buy,141833.4397438715,7.047,499.75012493750546
P-A00-NO-FILTER,2022,2022-08-11,2022-08-12,Sell,141833.4397438715,7.37,522.6562254561666
P-A00-NO-FILTER,2022,2022-10-25,2022-10-26,Buy,177596.54096198108,5.88,522.1338304281235
P-A00-NO-FILTER,2022,2022-11-01,2022-11-02,Sell,177596.54096198108,5.95,528.3497093618937
P-A00-NO-FILTER,2022,2022-12-02,2022-12-05,Buy,169826.777250761,6.216,527.8216236953158
P-A00-NO-FILTER,2022,2022-12-09,2022-12-12,Sell,169826.777250761,6.195,526.0384425342322
P-A00-NO-FILTER,2023,2023-02-17,2023-02-20,Buy,159105.42022844037,6.282,499.75012493750546
P-A00-NO-FILTER,2023,2023-02-24,2023-02-27,Sell,159105.42022844037,6.341,504.44373483427023
P-A00-NO-FILTER,2023,2023-03-06,2023-03-07,Buy,157481.1072485173,6.4,503.93954319518525
P-A00-NO-FILTER,2023,2023-03-13,2023-03-14,Sell,157481.1072485173,6.242,491.49853572262253
P-A00-NO-FILTER,2023,2023-03-20,2023-03-21,Buy,158414.9968747716,6.199,491.0072828133125
P-A00-NO-FILTER,2023,2023-03-27,2023-03-28,Sell,158414.9968747716,6.321,500.67059762271566
P-A00-NO-FILTER,2023,2023-03-29,2023-03-30,Buy,159315.23402939533,6.279,500.17017723526806
P-A00-NO-FILTER,2023,2023-04-06,2023-04-07,Sell,159315.23402939533,6.426,511.8798469364472
P-A00-NO-FILTER,2023,2023-05-11,2023-05-12,Buy,165813.30184874457,6.168,511.3682229014812
P-A00-NO-FILTER,2023,2023-05-18,2023-05-19,Sell,165813.30184874457,6.145,509.4613699302676
P-A00-NO-FILTER,2023,2023-07-10,2023-07-11,Buy,167171.0176264479,6.089,508.95216316368897
P-A00-NO-FILTER,2023,2023-07-17,2023-07-18,Sell,167171.0176264479,6.111,510.7910443576115
P-A00-NO-FILTER,2023,2023-07-18,2023-07-19,Buy,167469.8091831776,6.094,510.28050858108327
P-A00-NO-FILTER,2023,2023-07-25,2023-07-26,Sell,167469.8091831776,6.117,512.2064113867486
P-A00-NO-FILTER,2023,2023-09-15,2023-09-18,Buy,176446.36584502758,5.8,511.694460950559
P-A00-NO-FILTER,2023,2023-09-22,2023-09-25,Sell,176446.36584502758,5.8,511.69446095058
P-A00-NO-FILTER,2023,2023-10-11,2023-10-12,Buy,177617.4503853371,5.756,511.1830222089775
P-A00-NO-FILTER,2023,2023-10-18,2023-10-19,Sell,177617.4503853371,5.605,497.7729047049073
P-A00-NO-FILTER,2023,2023-11-02,2023-11-03,Buy,178715.320956792,5.565,497.275380562176
P-A00-NO-FILTER,2023,2023-11-09,2023-11-10,Sell,178715.320956792,5.68,507.55151151728927
P-A00-NO-FILTER,2023,2023-12-15,2023-12-18,Buy,183711.67161402295,5.52,507.04421365458984
P-A00-NO-FILTER,2023,2023-12-22,2023-12-25,Sell,183711.67161402295,5.408,496.7563600443181
P-A00-NO-FILTER,2024,2024-03-14,2024-03-15,Buy,182958.12737965633,5.463,499.75012493750546
P-A00-NO-FILTER,2024,2024-03-21,2024-03-22,Sell,182958.12737965633,5.547,507.4343662874768
P-A00-NO-FILTER,2024,2024-06-03,2024-06-04,Buy,191691.12706053216,5.289,506.92718551156577
P-A00-NO-FILTER,2024,2024-06-11,2024-06-12,Sell,191691.12706053216,5.245,502.7099807162456
P-A00-NO-FILTER,2024,2024-11-26,2024-11-27,Buy,173714.1203614338,5.782,502.2075219647959
P-A00-NO-FILTER,2024,2024-12-03,2024-12-04,Sell,173714.1203614338,6.02,522.8795022879157
P-A00-NO-FILTER,2025,2025-01-23,2025-01-24,Buy,179475.71375023568,5.569,499.75012493750546
P-A00-NO-FILTER,2025,2025-02-07,2025-02-10,Sell,179475.71375023568,5.843,524.3382977213136
P-A00-NO-FILTER,2025,2025-03-25,2025-03-26,Buy,176576.51153268904,5.933,523.8142214616528
P-A00-NO-FILTER,2025,2025-04-01,2025-04-02,Sell,176576.51153268904,5.879,519.0466556503394
P-A00-NO-FILTER,2025,2025-04-24,2025-04-25,Buy,184858.4201027879,5.61,518.5278683882207
P-A00-NO-FILTER,2025,2025-05-06,2025-05-07,Sell,184858.4201027879,5.798,535.9045598779821
P-A00-NO-FILTER,2025,2025-11-20,2025-11-21,Buy,150850.64050055647,7.098,535.3689231364988
P-A00-NO-FILTER,2025,2025-11-27,2025-11-28,Sell,150850.64050055647,7.048,531.5976571239611
P-A00-NO-FILTER,2026YTD,2026-04-02,2026-04-03,Buy,129855.82043329382,7.697,499.75012493750546
P-A00-NO-FILTER,2026YTD,2026-04-10,2026-04-13,Sell,129855.82043329382,7.985,518.4493630799255
P-A00-NO-FILTER,2026YTD,2026-08-03,2026-08-04,Buy,138669.6580487228,7.47,517.9311728118919
P-A00-NO-FILTER,2026YTD,2026-08-10,2026-08-11,Sell,138669.6580487228,7.993,554.1932883917208
P-A00-NO-FILTER,2026YTD,2026-09-03,2026-09-04,Buy,141487.18938448612,7.826,553.6393720614724
P-A00-NO-FILTER,2021_2026YTD,2021-03-10,2021-03-11,Buy,148912.43293728583,6.712,499.75012493750546
P-A00-NO-FILTER,2021_2026YTD,2021-03-17,2021-03-18,Sell,148912.43293728583,6.895,513.3756125512929
P-A00-NO-FILTER,2021_2026YTD,2021-05-21,2021-05-24,Buy,141342.8396026645,7.257,512.8624934982508
P-A00-NO-FILTER,2021_2026YTD,2021-05-28,2021-05-31,Sell,141342.8396026645,7.43,525.0886491238986
P-A00-NO-FILTER,2021_2026YTD,2022-08-04,2022-08-05,Buy,148875.78342213502,7.047,524.5638228878379
P-A00-NO-FILTER,2021_2026YTD,2022-08-11,2022-08-12,Sell,148875.78342213502,7.37,548.6072619105676
P-A00-NO-FILTER,2021_2026YTD,2022-10-25,2022-10-26,Buy,186414.6016378247,5.88,548.0589288151823
P-A00-NO-FILTER,2021_2026YTD,2022-11-01,2022-11-02,Sell,186414.6016378247,5.95,554.5834398725285
P-A00-NO-FILTER,2021_2026YTD,2022-12-02,2022-12-05,Buy,178259.05199028293,6.216,554.0291335857473
P-A00-NO-FILTER,2021_2026YTD,2022-12-09,2022-12-12,Sell,178259.05199028293,6.195,552.1574135399014
P-A00-NO-FILTER,2021_2026YTD,2023-02-17,2023-02-20,Buy,175614.62338971597,6.282,551.6055320671294
