prototype_id,action,count
P-A00-NO-FILTER,ENTER,26
P-A00-NO-FILTER,EXIT_TIME,25
P-A00-NO-FILTER,HOLD_CASH,1224
P-A00-NO-FILTER,HOLD_POSITION,103
P-A01-STRUCTURE-PRESSURE,BLOCK_ENTRY_RISK,2
P-A01-STRUCTURE-PRESSURE,ENTER,24
P-A01-STRUCTURE-PRESSURE,EXIT_RISK,2
P-A01-STRUCTURE-PRESSURE,EXIT_TIME,21
P-A01-STRUCTURE-PRESSURE,HOLD_CASH,1237
P-A01-STRUCTURE-PRESSURE,HOLD_POSITION,92
P-A10-TOP-DIVERGENCE,ENTER,26
P-A10-TOP-DIVERGENCE,EXIT_RISK,1
P-A10-TOP-DIVERGENCE,EXIT_TIME,24
P-A10-TOP-DIVERGENCE,HOLD_CASH,1225
P-A10-TOP-DIVERGENCE,HOLD_POSITION,102
P-A11-BOTH-FILTERS,BLOCK_ENTRY_RISK,2
P-A11-BOTH-FILTERS,ENTER,24
P-A11-BOTH-FILTERS,EXIT_RISK,2
P-A11-BOTH-FILTERS,EXIT_TIME,21
P-A11-BOTH-FILTERS,HOLD_CASH,1238
P-A11-BOTH-FILTERS,HOLD_POSITION,91
