year,sessions,annual_return,maximum_drawdown,expansion,contraction,shock
2003,245,0.19624959586162305,-0.13182598162915105,True,False,False
2004,249,0.0637837837837838,-0.12174971736672757,False,False,False
2005,241,0.1310128726287263,-0.07773395482251688,True,False,False
2006,242,0.1931111943092474,-0.21877863418315102,True,False,True
2007,242,0.22398644408183754,-0.08484143148094259,True,False,False
2008,246,-0.022458083371788895,-0.311571557001584,False,False,True
2009,244,0.3195908733280881,-0.11623301865070235,True,False,False
2010,242,0.19961841163844496,-0.07349052845086734,True,False,False
2011,244,0.05964214711729632,-0.19818033953441094,False,False,True
2012,243,0.045966228893058014,-0.13255608354514303,False,False,False
