step,rounds,allow_sign_flip,enter,exit,spec_id,factor_count,win_count,min_return_delta,median_return_delta,mean_return_delta,weight_shift,2022H1_return,2022H1_return_delta,2022H1_sharpe,2022H1_win,2022H2_return,2022H2_return_delta,2022H2_sharpe,2022H2_win,2023H1_return,2023H1_return_delta,2023H1_sharpe,2023H1_win,2023H2_return,2023H2_return_delta,2023H2_sharpe,2023H2_win,2024H1_return,2024H1_return_delta,2024H1_sharpe,2024H1_win,2024H2_return,2024H2_return_delta,2024H2_sharpe,2024H2_win,2025H1_return,2025H1_return_delta,2025H1_sharpe,2025H1_win,2025H2_return,2025H2_return_delta,2025H2_sharpe,2025H2_win
0.0125,1,False,0.175,0.025,step0.0125_r1_keep_en+0.175_ex+0.025,12,6,-0.08513827550036601,0.03476473465154234,0.029694175602291664,0.03978640902707858,0.04630794366340796,0.11108496881591734,0.7254985472584836,True,-0.011753702330092763,-0.007240746274830179,-0.09609244479061987,False,0.057785187184133946,0.0068367831679514435,0.8636426523168939,True,-0.04606147860137311,0.06025879066192097,-1.0397972628359193,True,-0.054612242411436696,0.04024312599823998,-0.8136527413010883,True,0.2623819089795447,0.08222241464465507,1.3922634383082284,True,0.0641209418056694,0.029286343304844697,0.9744626175221014,True,0.381082859270226,-0.08513827550036601,2.8371094604762574,False
0.0125,2,False,0.175,0.025,step0.0125_r2_keep_en+0.175_ex+0.025,12,6,-0.08513827550036601,0.03476473465154234,0.029694175602291664,0.04218642210115691,0.04630794366340796,0.11108496881591734,0.7254985472584836,True,-0.011753702330092763,-0.007240746274830179,-0.09609244479061987,False,0.057785187184133946,0.0068367831679514435,0.8636426523168939,True,-0.04606147860137311,0.06025879066192097,-1.0397972628359193,True,-0.054612242411436696,0.04024312599823998,-0.8136527413010883,True,0.2623819089795447,0.08222241464465507,1.3922634383082284,True,0.0641209418056694,0.029286343304844697,0.9744626175221014,True,0.381082859270226,-0.08513827550036601,2.8371094604762574,False
0.0125,2,True,0.175,0.0,step0.0125_r2_flip_en+0.175_ex+0.000,12,6,-0.08513827550036601,0.03336950779238945,0.014138085400857509,0.16649816587620644,0.027819561956318184,0.09259658710882757,0.4834228878577988,True,0.028137801744743562,0.03265075780000615,0.5461974282850272,True,-0.012886109711241822,-0.06383451372742432,-0.06792026517906326,False,-0.097813820714994,0.008506448548300072,-2.51960879276684,True,-0.06076711062490392,0.03408825778477276,-0.9193270528810674,True,0.22984117420075578,0.049681679865866135,1.2635087605199542,True,0.07938833982770244,0.04455374132687773,1.158831614598502,True,0.381082859270226,-0.08513827550036601,2.8371094604762574,False
0.0125,1,False,0.125,0.025,step0.0125_r1_keep_en+0.125_ex+0.025,12,6,-0.08513827550036601,0.008155036720731035,0.024538337531009605,0.03978640902707858,0.03063302122572198,0.09541004637823136,0.5204841369105536,True,-0.004425508008791157,8.744804647142779e-05,0.02880859594405892,True,0.060992003675887085,0.010043599659704583,0.8939750883282142,True,-0.045032759965844105,0.06128750929744997,-0.9599462489589611,True,-0.10844540395070978,-0.013590035541033108,-1.477625846934073,False,0.3020994284607508,0.12193993412586113,1.5309841151748593,True,0.041101072282582196,0.006266473781757487,0.668733466412392,True,0.381082859270226,-0.08513827550036601,2.8371094604762574,False
0.0125,2,False,0.125,0.025,step0.0125_r2_keep_en+0.125_ex+0.025,12,6,-0.08513827550036601,0.008155036720731035,0.024538337531009605,0.04218642210115691,0.03063302122572198,0.09541004637823136,0.5204841369105536,True,-0.004425508008791157,8.744804647142779e-05,0.02880859594405892,True,0.060992003675887085,0.010043599659704583,0.8939750883282142,True,-0.045032759965844105,0.06128750929744997,-0.9599462489589611,True,-0.10844540395070978,-0.013590035541033108,-1.477625846934073,False,0.3020994284607508,0.12193993412586113,1.5309841151748593,True,0.041101072282582196,0.006266473781757487,0.668733466412392,True,0.381082859270226,-0.08513827550036601,2.8371094604762574,False
0.0125,2,True,0.175,0.025,step0.0125_r2_flip_en+0.175_ex+0.025,12,6,-0.08850749915481126,0.03341466591012321,0.015002833244548153,0.16649816587620644,0.027819561956318184,0.09259658710882757,0.4834228878577988,True,0.028228117980211076,0.03274107403547366,0.548617005417677,True,-0.03755909513862876,-0.08850749915481126,-0.4326573196244495,False,-0.09603354588286583,0.010286723380428242,-2.5024539988009193,True,-0.06076711062490392,0.03408825778477276,-0.9193270528810674,True,0.2554362038407305,0.07527670950584087,1.3645863110290186,True,0.08351368729704411,0.048679088796219405,1.2128720517143976,True,0.381082859270226,-0.08513827550036601,2.8371094604762574,False
0.05,1,False,0.175,0.025,step0.0500_r1_keep_en+0.175_ex+0.025,12,6,-0.10476601893401072,0.048494754536952955,0.024032603254597967,0.3324075301888406,0.04050525684367767,0.10528228199618705,0.6438944708224106,True,0.05825651268064358,0.06276946873590616,1.0219004579211304,True,0.09482173832866225,0.04387333431247975,1.4551587698301003,True,-0.16400683236592084,-0.057686563102626764,-4.361098498805489,False,-0.04065626193886618,0.0541991064708105,-0.5936453519634949,True,0.2332756690963158,0.05311617476142616,1.278027879422716,True,0.0703076402974363,0.03547304179661159,1.0683918368604937,True,0.3614551158365813,-0.10476601893401072,2.725911974690872,False
0.0125,1,True,0.175,0.025,step0.0125_r1_flip_en+0.175_ex+0.025,12,6,-0.12292573962064024,0.03341466591012321,0.016187307394969694,0.1575807397871014,0.027819561956318184,0.09259658710882757,0.4834228878577988,True,0.028228117980211076,0.03274107403547366,0.548617005417677,True,-0.012191219056573721,-0.06313962307275622,-0.04813293398368796,False,-0.07413816464127432,0.03218210462201976,-1.9042384486713755,True,-0.06076711062490392,0.03408825778477276,-0.9193270528810674,True,0.2554362038407305,0.07527670950584087,1.3645863110290186,True,0.08351368729704411,0.048679088796219405,1.2128720517143976,True,0.3432953951499518,-0.12292573962064024,2.6157776572259688,False
0.025,1,True,0.175,0.025,step0.0250_r1_flip_en+0.175_ex+0.025,12,6,-0.12292573962064024,0.030734223963432228,0.006302189420201276,0.20917938568547179,0.03132672622139321,0.09610375137390259,0.5172593667416329,True,0.00881245766251637,0.013325413717778956,0.23009151875303746,True,-0.0621257895241939,-0.1130741935403764,-0.7754619384846518,False,-0.07413816464127432,0.03218210462201976,-1.9042384486713755,True,-0.054612242411436696,0.04024312599823998,-0.8136527413010883,True,0.2554362038407305,0.07527670950584087,1.3645863110290186,True,0.0641209418056694,0.029286343304844697,0.9744626175221014,True,0.3432953951499518,-0.12292573962064024,2.6157776572259688,False
0.0125,1,False,0.175,0.0,step0.0125_r1_keep_en+0.175_ex+0.000,12,6,-0.1318596171536217,0.03780212998757482,0.022286830308883232,0.03978640902707858,0.04630794366340796,0.11108496881591734,0.7254985472584836,True,-0.011840506691653707,-0.0073275506363911225,-0.0968403945432924,False,0.057785187184133946,0.0068367831679514435,0.8636426523168939,True,-0.06316441879272161,0.043155850470572465,-1.4591199922717328,True,-0.06240695890509951,0.03244840950457717,-0.9446876874115361,True,0.2554362038407305,0.07527670950584087,1.3645863110290186,True,0.08351368729704411,0.048679088796219405,1.2128720517143976,True,0.3343615176169703,-0.1318596171536217,2.522507734479344,False
