scope,tier,count,return_5,max_drawdown_5,win_rate_5,return_10,max_drawdown_10,win_rate_10,return_20,max_drawdown_20,win_rate_20,return_20_ci_low,return_20_ci_high,max_drawdown_20_ci_low,max_drawdown_20_ci_high
all,0,489,-0.0034851923997804516,-0.028653612072028364,0.4212678936605317,-0.003036098549042918,-0.04805516172126858,0.3946830265848671,-0.0025179735790425433,-0.07902215185918385,0.38445807770961143,-0.011195540716788379,0.007215405811987778,-0.08328055695474242,-0.07487125930663803
all,1,63,0.00028143857127777445,-0.024837534446322963,0.4444444444444444,-0.0055694666464681224,-0.04417601376985612,0.4126984126984127,-0.01599675529257215,-0.07541148733782073,0.36507936507936506,-0.03431492021915102,0.0036202554325387055,-0.0842143128033299,-0.06689616857086644
all,2,91,0.001925419634767269,-0.02244611238472034,0.5164835164835165,0.0006925405598814062,-0.037224039881653556,0.3626373626373626,-0.010003606495297319,-0.06544699942536568,0.3956043956043956,-0.022167855175065462,0.0022743474680629464,-0.07272476823718295,-0.05937039140624501
all,3,74,0.005288466643310944,-0.024675078375134732,0.5540540540540541,0.005007901507687039,-0.04070605277558469,0.5135135135135135,0.013123558099540501,-0.06618681886945334,0.4864864864864865,-0.008170936970242139,0.03534145510400095,-0.07462879412726285,-0.05782773126846881
all,4,495,0.004457653048309992,-0.027874554668796656,0.4868686868686869,0.006529628615519741,-0.045909191195793196,0.498989898989899,0.01151305350247427,-0.06817327576455341,0.46060606060606063,0.0033701338462353687,0.0191835552803851,-0.07115948778908243,-0.06502386094667781
held,0,24,0.012639960934163655,-0.016017474709492482,0.6666666666666666,0.002412610302203961,-0.03711522699871115,0.4166666666666667,0.0003747895850208869,-0.058587089636159,0.4166666666666667,-0.026817390476164243,0.026027119770672756,-0.0742722094725199,-0.04631002865059708
held,1,32,0.0075528693965150814,-0.021625574002629006,0.46875,0.0077574792319483,-0.03808327867742565,0.40625,0.011371620404346775,-0.06835972561198543,0.46875,-0.017579457288930685,0.04058654485372767,-0.07861801671946282,-0.05713250089080985
held,2,38,0.010610381750743456,-0.018021852305461595,0.6052631578947368,0.018946040989193537,-0.03419036743216849,0.5263157894736842,0.010962477559434218,-0.062405157808075075,0.42105263157894735,-0.012728307685046476,0.03773542527200981,-0.07205181558374205,-0.05347895194349558
held,3,41,0.0040304933123160944,-0.026896886363552707,0.4634146341463415,0.008542672768319756,-0.04139478844548052,0.4878048780487805,0.00798921230489862,-0.06693919097227845,0.4634146341463415,-0.02342448298236918,0.037129319645855245,-0.07952067580714217,-0.05678155332138001
held,4,495,0.004457653048309992,-0.027874554668796656,0.4868686868686869,0.006529628615519741,-0.045909191195793196,0.498989898989899,0.01151305350247427,-0.06817327576455341,0.46060606060606063,0.004341273496621939,0.0191255932730332,-0.07063458684791656,-0.06558315999798649
