signal_id,frequency,namespace,name,coarse_family,opportunity_states,opportunity_state_count,best_rolling_60_median,best_rolling_60_p10,maximum_year_share
SIG-30M-1DD7B73BA2D00606,30m,bar,bar_volatility_V241013,TREND_MOMENTUM,中波动|低波动|高波动,3,13.0,10.0,0.2096069868995633
SIG-30M-719684AE3B754EB0,30m,bar,bar_weekday_V230328,TREND_MOMENTUM,周一|周三|周二|周五|周四,5,12.0,12.0,0.1845018450184501
SIG-30M-AEBAB3F5E7699053,30m,bar,bar_window_ps_V230731,TREND_MOMENTUM,压力N2|压力N3|压力N4|压力N5,4,9.0,7.0,0.2181818181818181
SIG-30M-87BBC4E47781EFF4,30m,bar,bar_zdt_V230331,TREND_MOMENTUM,涨停,1,8.0,5.0,0.2154696132596685
SIG-30M-45AA63C5B6F16771,30m,bar,bar_zfzd_V241013,TREND_MOMENTUM,满足,1,14.0,11.0,0.196078431372549
SIG-30M-B6F3EB1D1F1B380C,30m,bar,bar_zfzd_V241014,TREND_MOMENTUM,满足,1,12.0,10.0,0.2058823529411764
SIG-30M-0BE44721879919A1,30m,cci,cci_decision_V240620,TREND_MOMENTUM,开多|开空,2,11.0,8.0,0.2267206477732793
SIG-30M-B2E77F23E0A17066,30m,dema,dema_up_dw_line_V230605,TREND_MOMENTUM,看多|看空,2,15.0,13.0,0.1852941176470588
SIG-30M-A7271D31A8FD954E,30m,tas,tas_boll_power_V221112,TREND_MOMENTUM,多头|空头,2,12.0,9.0,0.1846153846153846
SIG-30M-1BCB885FB8958A9F,30m,tas,tas_double_ma_V221203,TREND_MOMENTUM,多头|空头,2,15.0,13.0,0.1884057971014492
SIG-30M-5DFFC57AC894B9C0,30m,tas,tas_kdj_base_V221101,TREND_MOMENTUM,多头|空头,2,17.0,14.0,0.1932114882506527
SIG-30M-E5AE9A83EB877E10,30m,tas,tas_ma_base_V221101,TREND_MOMENTUM,多头|空头,2,16.0,14.0,0.1876750700280112
SIG-30M-68FE774111288F07,30m,tas,tas_ma_base_V230313,TREND_MOMENTUM,看多|看空,2,15.0,13.0,0.1929260450160771
SIG-30M-5AB8F67776EBF508,30m,tas,tas_ma_system_V230513,TREND_MOMENTUM,多头排列|空头排列,2,11.0,9.0,0.2039215686274509
SIG-30M-FCF161C964C5C292,30m,tas,tas_macd_base_V221028,TREND_MOMENTUM,多头|空头,2,13.0,11.0,0.1938775510204081
SIG-30M-D1EB221902EBDE31,30m,tas,tas_macd_change_V221105,TREND_MOMENTUM,3次|4次,2,9.0,7.0,0.2095238095238095
SIG-30M-039F9079025E17D2,30m,tas,tas_macd_direct_V221106,TREND_MOMENTUM,向上|向下|模糊,3,15.0,13.0,0.1969696969696969
SIG-30M-DBCF1773F1530589,30m,tas,tas_macd_power_V221108,TREND_MOMENTUM,弱势|强势|超弱|超强,4,9.0,6.0,0.2169312169312169
SIG-30M-791D6B8746F45A30,30m,tas,tas_sar_base_V230425,TREND_MOMENTUM,看多|看空,2,8.0,5.0,0.2456140350877192
SIG-30M-0EBDC289C363AE05,30m,tas,tas_slope_V231019,TREND_MOMENTUM,看空,1,7.0,6.0,0.2151162790697674
SIG-30M-AB6ADC510F2D5223,30m,emv,emv_up_dw_line_V230605,VOLUME_FLOW,看多|看空,2,15.0,13.0,0.188953488372093
SIG-30M-F5690EDBCA698E49,30m,vol,vol_double_ma_V230214,VOLUME_FLOW,看多|看空,2,9.0,4.0,0.2397959183673469
SIG-30M-127D37392E480BB4,30m,vol,vol_gao_di_V221218,VOLUME_FLOW,高量柱,1,13.0,8.0,0.2076124567474048
SIG-30M-B6510599451AAC42,30m,vol,vol_single_ma_V230214,VOLUME_FLOW,多头|空头,2,13.0,10.0,0.1937716262975778
SIG-30M-235C2987D2CC329A,30m,vol,vol_ti_suo_V221216,VOLUME_FLOW,梯量,1,13.0,9.0,0.2054794520547945
SIG-30M-127EE8AD547D57A8,30m,vol,vol_window_V230731,VOLUME_FLOW,高量N7|高量N8|高量N9,3,10.0,6.0,0.2247706422018348
SIG-30M-0B67F732F0848D8E,30m,vol,vol_window_V230801,VOLUME_FLOW,先放后缩|先缩后放,2,12.0,10.0,0.1830985915492957
