left_signal_id,left_name,left_family,right_signal_id,right_name,right_family,nmi,near_redundant
SIG-30M-0556412A129AF090,cxt_bi_base_V230228,STRUCTURE,SIG-30M-B0420C9CADFCFB03,cxt_bi_end_V230618,STRUCTURE,0.3465836133225358,False
SIG-30M-37DE76F11A7573E6,bar_section_momentum_V221112,TREND_MOMENTUM,SIG-30M-5AB8F67776EBF508,tas_ma_system_V230513,TREND_MOMENTUM,0.34625580876945544,False
SIG-30M-A7271D31A8FD954E,tas_boll_power_V221112,TREND_MOMENTUM,SIG-30M-1BCB885FB8958A9F,tas_double_ma_V221203,TREND_MOMENTUM,0.3411521703755412,False
SIG-30M-60939B2E4DA16C0D,bar_eight_V230702,TREND_MOMENTUM,SIG-30M-1BCB885FB8958A9F,tas_double_ma_V221203,TREND_MOMENTUM,0.3409910554987203,False
SIG-30M-4D26215BA9B6CE1A,bar_classify_V240607,TREND_MOMENTUM,SIG-30M-D9D10E2B1B6B6E74,bar_single_V230214,TREND_MOMENTUM,0.3404718868124231,False
SIG-30M-F2AEB6424AC435E2,cxt_decision_V240526,STRUCTURE,SIG-30M-4280E17AC005EE54,cxt_decision_V240612,STRUCTURE,0.3393747284776799,False
SIG-30M-8794C6C4D68E5FB6,cxt_bi_status_V230101,STRUCTURE,SIG-30M-CD672B8912E30577,cxt_bi_status_V230102,STRUCTURE,0.33913878189579183,False
SIG-30M-D5D7A8AC665E6603,bar_bpm_V230227,TREND_MOMENTUM,SIG-30M-0D20B698553AEE56,bar_polyfit_V240428,TREND_MOMENTUM,0.3354530178039204,False
SIG-30M-757887E0D0A362BB,zdy_macd_V230519,OTHER_TECHNICAL,SIG-30M-FCF161C964C5C292,tas_macd_base_V221028,TREND_MOMENTUM,0.3304035184721746,False
SIG-30M-0BE44721879919A1,cci_decision_V240620,TREND_MOMENTUM,SIG-30M-A7271D31A8FD954E,tas_boll_power_V221112,TREND_MOMENTUM,0.33024905188347253,False
SIG-30M-4D26215BA9B6CE1A,bar_classify_V240607,TREND_MOMENTUM,SIG-30M-AB6ADC510F2D5223,emv_up_dw_line_V230605,VOLUME_FLOW,0.3294267426614107,False
SIG-30M-757887E0D0A362BB,zdy_macd_V230519,OTHER_TECHNICAL,SIG-30M-EDA4CA09BFFD9B6B,zdy_macd_dif_iqr_V230521,OTHER_TECHNICAL,0.3292522823970246,False
SIG-30M-F4D660C3603EB1FE,ntmdk_V230824,OTHER_TECHNICAL,SIG-30M-0BE44721879919A1,cci_decision_V240620,TREND_MOMENTUM,0.3287824653566822,False
SIG-30M-37DE76F11A7573E6,bar_section_momentum_V221112,TREND_MOMENTUM,SIG-30M-0BE44721879919A1,cci_decision_V240620,TREND_MOMENTUM,0.3283152265450248,False
