factor,type,origin_weight,raw_signal,primary,factor_kind,coverage,active_days,active_ratio,status,canonical_factor,independent_events,years,half_year_windows
state__raw__daily__cxt_five_bi_V230619__di_1::aAb式顶背驰,state,0.0,raw__daily__cxt_five_bi_V230619__di_1,aAb式顶背驰,event,0.9759229534510433,24.0,0.019261637239165328,candidate,state__raw__daily__cxt_five_bi_V230619__di_1::aAb式顶背驰,6.0,"[2021, 2022, 2023, 2025]","['2021H2', '2022H1', '2023H1', '2025H2']"
state__raw__daily__cxt_five_bi_V230619__di_1::上颈线突破,state,0.0,raw__daily__cxt_five_bi_V230619__di_1,上颈线突破,state,0.9759229534510433,72.0,0.05778491171749599,candidate,state__raw__daily__cxt_five_bi_V230619__di_1::上颈线突破,,,
state__raw__daily__cxt_five_bi_V230619__di_1::下颈线突破,state,0.0,raw__daily__cxt_five_bi_V230619__di_1,下颈线突破,state,0.9759229534510433,92.0,0.0738362760834671,candidate,state__raw__daily__cxt_five_bi_V230619__di_1::下颈线突破,,,
state__raw__daily__cxt_five_bi_V230619__di_1::其他,state,0.0,raw__daily__cxt_five_bi_V230619__di_1,其他,state,0.9759229534510433,856.0,0.6869983948635634,candidate,state__raw__daily__cxt_five_bi_V230619__di_1::其他,,,
state__raw__daily__cxt_five_bi_V230619__di_1::类三买,state,0.0,raw__daily__cxt_five_bi_V230619__di_1,类三买,event,0.9759229534510433,27.0,0.021669341894060994,candidate,state__raw__daily__cxt_five_bi_V230619__di_1::类三买,6.0,"[2021, 2022, 2023, 2024, 2025]","['2021H2', '2022H2', '2023H1', '2024H2', '2025H2']"
state__raw__daily__cxt_five_bi_V230619__di_1::类三卖,state,0.0,raw__daily__cxt_five_bi_V230619__di_1,类三卖,event,0.9759229534510433,51.0,0.040930979133226325,candidate,state__raw__daily__cxt_five_bi_V230619__di_1::类三卖,15.0,"[2021, 2022, 2023, 2024]","['2021H1', '2021H2', '2022H1', '2022H2', '2023H2', '2024H1']"
state__raw__daily__cxt_five_bi_V230619__di_1::类趋势底背驰,state,0.0,raw__daily__cxt_five_bi_V230619__di_1,类趋势底背驰,event,0.9759229534510433,17.0,0.013643659711075442,candidate,state__raw__daily__cxt_five_bi_V230619__di_1::类趋势底背驰,4.0,"[2022, 2023]","['2022H1', '2023H1', '2023H2']"
state__raw__daily__cxt_five_bi_V230619__di_1::类趋势顶背驰,state,0.0,raw__daily__cxt_five_bi_V230619__di_1,类趋势顶背驰,event,0.9759229534510433,13.0,0.01043338683788122,candidate,state__raw__daily__cxt_five_bi_V230619__di_1::类趋势顶背驰,5.0,"[2021, 2025]","['2021H2', '2025H2']"
state__raw__daily__cxt_fx_power_V221107__di_1::中底,state,0.0,raw__daily__cxt_fx_power_V221107__di_1,中底,state,0.9759229534510433,189.0,0.15168539325842698,candidate,state__raw__daily__cxt_fx_power_V221107__di_1::中底,,,
state__raw__daily__cxt_fx_power_V221107__di_1::中顶,state,0.0,raw__daily__cxt_fx_power_V221107__di_1,中顶,state,0.9759229534510433,272.0,0.21829855537720708,candidate,state__raw__daily__cxt_fx_power_V221107__di_1::中顶,,,
