mean_block_length,metric,point,lower_90,upper_90,lower_95,upper_95,probability_above_zero
10,cagr,0.0010476562873540374,-0.0624205096027771,0.06675251275876161,-0.07465370918174155,0.07951265680194083,0.512
10,max_drawdown,-0.17287272046267266,-0.37997196363043556,-0.10888682380269778,-0.4159904297189071,-0.09693359414169757,0.0
10,calmar,0.006060275354897601,-0.17953524066471027,0.5430595839469117,-0.19483284404762644,0.6936324530329948,0.512
21,cagr,0.0010476562873540374,-0.06087428032180102,0.06530971137056854,-0.07318089127536287,0.07878528461146042,0.5249
21,max_drawdown,-0.17287272046267266,-0.3749485591968005,-0.10749752166036253,-0.40867934096692066,-0.09587134289427113,0.0
21,calmar,0.006060275354897601,-0.17642839350948486,0.5360185974673155,-0.19179210396997126,0.7032423241832282,0.5249
42,cagr,0.0010476562873540374,-0.059565799554562184,0.06355920759098124,-0.07165562122099399,0.07460286676395236,0.5202
42,max_drawdown,-0.17287272046267266,-0.37156426336241916,-0.10997155663295316,-0.4038791993411008,-0.0954882157718799,0.0
42,calmar,0.006060275354897601,-0.17484069940227523,0.5112964872473836,-0.19056161789791987,0.6784860643696633,0.5202
