feature,path_id,hypothesis_id,information_family,financial_role,horizon_sessions,orientation,raw_primary_discovery_ic,discovery_observations,confirmation_observations,discovery_ic,confirmation_ic,confirmation_residual_ic,hac_coefficient,hac_one_sided_pvalue,positive_confirmation_years,annual_ics,top_minus_bottom_return,bootstrap_positive_probability,bootstrap_ic_lower_90,bootstrap_ic_median,bootstrap_ic_upper_90,identifiable,global_bh_qvalue,positive_horizon_count,evidence_label,evidence_rank
currency_usdcnh_return_20d,currency_usdcnh_return_20d:H252,H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,OPPORTUNITY,252,POSITIVE,0.0929371960395566,1051,1203,0.0929204635333732,0.2703425532199962,0.2394594699768034,0.0362625927874867,0.0136045271737534,4,"{""2019"": 0.19922655861976382, ""2020"": 0.441811567523197, ""2021"": 0.15888954494995647, ""2022"": 0.27782278163859286, ""2023"": -0.1348920365737812}",0.0953220754168678,0.96,0.0086727157261451,0.2560679017851234,0.4660177453710846,True,0.1411469694276925,2,NOMINAL_SUPPORT,2
risk_sse_return_20d,risk_sse_return_20d:H252,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,RISK_CONTEXT,252,NEGATIVE,-0.1657416796916227,1052,1203,0.1656801076856142,0.119809170493855,0.0975418370331869,0.0159573865135886,0.1160000464032477,4,"{""2019"": 0.06714020718215688, ""2020"": 0.06492242774604931, ""2021"": 0.276054092935785, ""2022"": -0.13464037183305272, ""2023"": 0.2912469370382347}",0.0405754279123624,0.915,-0.0087050360687123,0.1234391088232618,0.2358613005640885,True,0.7115999547738052,2,DIRECTIONALLY_STABLE,1
risk_sse_drawdown_60,risk_sse_drawdown_60:H252,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_STRESS,RISK_CONTEXT,252,NEGATIVE,-0.3865096514528574,1013,1203,0.3865083257641653,0.1533677242746506,0.2767108153720349,0.0194955609806589,0.0313939401350224,4,"{""2019"": 0.3399859157661472, ""2020"": 0.27198111047970125, ""2021"": 0.4605236627198183, ""2022"": -0.2787717187269834, ""2023"": 0.5035455012857615}",0.0539946844351306,0.93,-0.0171829700080308,0.1484069897583927,0.273466914201544,True,0.2895218923563185,2,NOMINAL_SUPPORT,2
risk_sse_turnover_z20,risk_sse_turnover_z20:H252,H03-SAFE-HAVEN-RISK-APPETITE,LIQUIDITY_PRESSURE,RISK_CONTEXT,252,NEGATIVE,-0.1100964103801223,1053,1203,0.1101342952141065,0.043140533506108,0.1455161045789577,0.0054704851213739,0.2252796077302111,4,"{""2019"": 0.27176345076232883, ""2020"": -0.08688970622968448, ""2021"": 0.1253566686339639, ""2022"": 0.18495547518234273, ""2023"": 0.06975121969535807}",0.0098679485570131,0.87,-0.0271224601513288,0.0558462791912067,0.1607009250928074,True,0.8459005544776689,2,DIRECTIONALLY_STABLE,1
