cluster_id,feature,representative,selected,reason,absolute_correlation_with_representative,hypothesis_id,information_family,financial_role,evidence_label,global_bh_qvalue,confirmation_residual_ic
L001,currency_usdcnh_return_20d,currency_usdcnh_return_20d,True,REPRESENTATIVE,1.0,H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,OPPORTUNITY,NOMINAL_SUPPORT,0.1411469694276925,0.2394594699768034
L002,risk_sse_drawdown_60,risk_sse_drawdown_60,True,REPRESENTATIVE,1.0,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_STRESS,RISK_CONTEXT,NOMINAL_SUPPORT,0.2895218923563185,0.2767108153720349
L003,risk_sse_return_20d,risk_sse_return_20d,True,REPRESENTATIVE,1.0,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,RISK_CONTEXT,DIRECTIONALLY_STABLE,0.7115999547738052,0.0975418370331869
L004,risk_sse_turnover_z20,risk_sse_turnover_z20,True,REPRESENTATIVE,1.0,H03-SAFE-HAVEN-RISK-APPETITE,LIQUIDITY_PRESSURE,RISK_CONTEXT,DIRECTIONALLY_STABLE,0.8459005544776689,0.1455161045789577
