,risk_sse_return_20d,risk_sse_turnover_z20,currency_usdcnh_return_20d,risk_sse_drawdown_60
risk_sse_return_20d,1.0,0.22245704609904457,0.36671872517419113,0.6553806212030994
risk_sse_turnover_z20,0.22245704609904457,1.0,0.11805088182237705,0.20063157930261658
currency_usdcnh_return_20d,0.36671872517419113,0.11805088182237705,1.0,0.32006324084573945
risk_sse_drawdown_60,0.6553806212030994,0.20063157930261658,0.32006324084573945,1.0
