path_id,entry_quantile,entry_threshold,selected_components,information_families,weights_json,hard_gates_pass,full_total_return,full_cagr,full_maximum_drawdown,full_calmar,full_closed_trades,full_rolling_60_closed_trades_median,full_rolling_60_closed_trades_p10,full_exposure_ratio,full_profit_factor,full_positive_years,full_annual_returns_json,discovery_total_return,discovery_cagr,discovery_maximum_drawdown,discovery_calmar,discovery_closed_trades,discovery_rolling_60_closed_trades_median,discovery_rolling_60_closed_trades_p10,discovery_exposure_ratio,discovery_profit_factor,discovery_positive_years,discovery_annual_returns_json,confirmation_total_return,confirmation_cagr,confirmation_maximum_drawdown,confirmation_calmar,confirmation_closed_trades,confirmation_rolling_60_closed_trades_median,confirmation_rolling_60_closed_trades_p10,confirmation_exposure_ratio,confirmation_profit_factor,confirmation_positive_years,confirmation_annual_returns_json
DISCOVERY_CROSSYEAR:H1:POSITIVE_RIDGE_A10:S1:Q50,0.5,-0.0006062968500047108,144,11,"{""CALENDAR_SEASONALITY"": 0.0007853063247037003, ""FUNDAMENTAL_EXPECTATION"": 0.0006400855753792305, ""FUND_FLOW"": 0.00152783952906008, ""MARKET_BREADTH"": 0.0023562573988605796, ""MARKET_MICROSTRUCTURE"": 0.0, ""MARKET_STRUCTURE"": 0.002503053181798141, ""POSITION_VALUATION"": 0.0004290434870768574, ""TREND_MOMENTUM"": 0.002658659679228081, ""TREND_REGIME"": 0.0003147126766497894, ""VOLATILITY_RISK"": 0.0021417807561211655, ""VOLUME_LIQUIDITY"": 0.0015005619448646029}",True,4.405996087628776,0.3525960003572117,-0.18286439062280369,1.9281829510728266,307,14.0,10.0,0.4758522727272727,1.819931316742553,6,"{""2020"": -0.041376902317880715, ""2021"": 0.1331902475629767, ""2022"": 0.8033334063184592, ""2023"": 0.45747717458351844, ""2024"": 0.45785839066074585, ""2025"": 0.2041610495451034, ""2026"": 0.0785674358852202}",1.9681367745389524,0.4580656917491064,-0.102803217265787,4.455752494251471,156,14.0,10.0,0.5006877579092159,2.5075679946888774,3,"{""2021"": 0.1331902475629767, ""2022"": 0.8033334063184592, ""2023"": 0.45246291824894214}",0.8924612114998287,0.2820330709253456,-0.1828643906228039,1.542307225396867,150,14.0,11.0,0.4714064914992272,1.5031643329678008,3,"{""2024"": 0.45711929036036314, ""2025"": 0.2041610495451034, ""2026"": 0.0785674358852202}"
DISCOVERY_CROSSYEAR:H1:POSITIVE_RIDGE_A10:S1:Q55,0.55,0.00015227092762313356,144,11,"{""CALENDAR_SEASONALITY"": 0.0007853063247037003, ""FUNDAMENTAL_EXPECTATION"": 0.0006400855753792305, ""FUND_FLOW"": 0.00152783952906008, ""MARKET_BREADTH"": 0.0023562573988605796, ""MARKET_MICROSTRUCTURE"": 0.0, ""MARKET_STRUCTURE"": 0.002503053181798141, ""POSITION_VALUATION"": 0.0004290434870768574, ""TREND_MOMENTUM"": 0.002658659679228081, ""TREND_REGIME"": 0.0003147126766497894, ""VOLATILITY_RISK"": 0.0021417807561211655, ""VOLUME_LIQUIDITY"": 0.0015005619448646029}",False,2.649316767298915,0.26073291701011403,-0.21061097563325548,1.2379835202137695,295,13.0,10.0,0.42329545454545453,1.658829890361646,6,"{""2020"": -0.041376902317880715, ""2021"": 0.18975549716458828, ""2022"": 0.768824391480361, ""2023"": 0.5211808301380974, ""2024"": 0.1185468570269379, ""2025"": 0.036953569148528986, ""2026"": 0.025243202890662175}",2.1902636373019524,0.49500070805442764,-0.09244565392059256,5.354504912471225,150,13.0,10.0,0.4497936726272352,2.8564392728964627,3,"{""2021"": 0.18975549716458828, ""2022"": 0.768824391480361, ""2023"": 0.5159474098509249}",0.18975514856946774,0.07001526721669316,-0.21061097563325526,0.33243883423536935,143,13.0,11.0,0.4142194744976816,1.1690092156269587,3,"{""2024"": 0.11910641023205293, ""2025"": 0.036953569148528986, ""2026"": 0.025243202890662175}"
DISCOVERY_CROSSYEAR:H1:POSITIVE_RIDGE_A10:S1:Q60,0.6,0.0008788232494178187,144,11,"{""CALENDAR_SEASONALITY"": 0.0007853063247037003, ""FUNDAMENTAL_EXPECTATION"": 0.0006400855753792305, ""FUND_FLOW"": 0.00152783952906008, ""MARKET_BREADTH"": 0.0023562573988605796, ""MARKET_MICROSTRUCTURE"": 0.0, ""MARKET_STRUCTURE"": 0.002503053181798141, ""POSITION_VALUATION"": 0.0004290434870768574, ""TREND_MOMENTUM"": 0.002658659679228081, ""TREND_REGIME"": 0.0003147126766497894, ""VOLATILITY_RISK"": 0.0021417807561211655, ""VOLUME_LIQUIDITY"": 0.0015005619448646029}",False,2.4344110476806105,0.2471117708134336,-0.2528874790203195,0.9771609562115893,285,13.0,10.0,0.37073863636363635,1.6534580085909718,5,"{""2020"": -0.041376902317880715, ""2021"": 0.17611427455501305, ""2022"": 0.8438064018394213, ""2023"": 0.5188808044045463, ""2024"": 0.018790466726027022, ""2025"": 0.06934927360615295, ""2026"": -0.0015843055487277935}",2.2824024238168796,0.5098283125702392,-0.0681472852364986,7.481271055786435,147,12.0,10.0,0.40027510316368636,3.0097043961608674,3,"{""2021"": 0.17611427455501305, ""2022"": 0.8438064018394213, ""2023"": 0.5136552970499435}",0.08826096568796538,0.03349208445169194,-0.25288747902031994,0.1324386821421111,136,13.0,10.0,0.3554868624420402,1.1052622090622184,2,"{""2024"": 0.01930011678441934, ""2025"": 0.06934927360615295, ""2026"": -0.0015843055487277935}"
DISCOVERY_CROSSYEAR:H1:POSITIVE_RIDGE_A10:S1:Q75,0.75,0.0034360117786164756,144,11,"{""CALENDAR_SEASONALITY"": 0.0007853063247037003, ""FUNDAMENTAL_EXPECTATION"": 0.0006400855753792305, ""FUND_FLOW"": 0.00152783952906008, ""MARKET_BREADTH"": 0.0023562573988605796, ""MARKET_MICROSTRUCTURE"": 0.0, ""MARKET_STRUCTURE"": 0.002503053181798141, ""POSITION_VALUATION"": 0.0004290434870768574, ""TREND_MOMENTUM"": 0.002658659679228081, ""TREND_REGIME"": 0.0003147126766497894, ""VOLATILITY_RISK"": 0.0021417807561211655, ""VOLUME_LIQUIDITY"": 0.0015005619448646029}",False,2.2306092790239864,0.2335317701688404,-0.12154244170742945,1.9214010092950558,190,8.0,4.0,0.2002840909090909,2.136191072766395,5,"{""2020"": 0.0, ""2021"": 0.12976467662380164, ""2022"": 0.8089714318512846, ""2023"": 0.3999332225435248, ""2024"": 0.08905056343056228, ""2025"": -0.060239184225936104, ""2026"": 0.10329598816848695}",1.8512172631559398,0.4378949245294341,-0.05902423528669509,7.418900429670487,114,10.0,7.0,0.25034387895460797,3.600087367327964,3,"{""2021"": 0.12976467662380164, ""2022"": 0.8089714318512846, ""2023"": 0.3951169385210127}",0.12972988479636527,0.04865608496609175,-0.12154244170742967,0.40032176647573053,75,6.0,3.0,0.1545595054095827,1.220123602952172,2,"{""2024"": 0.0895953611111171, ""2025"": -0.060239184225936104, ""2026"": 0.10329598816848695}"
DISCOVERY_CROSSYEAR:H1:POSITIVE_RIDGE_A10:S1:Q65,0.65,0.0016482419217067677,144,11,"{""CALENDAR_SEASONALITY"": 0.0007853063247037003, ""FUNDAMENTAL_EXPECTATION"": 0.0006400855753792305, ""FUND_FLOW"": 0.00152783952906008, ""MARKET_BREADTH"": 0.0023562573988605796, ""MARKET_MICROSTRUCTURE"": 0.0, ""MARKET_STRUCTURE"": 0.002503053181798141, ""POSITION_VALUATION"": 0.0004290434870768574, ""TREND_MOMENTUM"": 0.002658659679228081, ""TREND_REGIME"": 0.0003147126766497894, ""VOLATILITY_RISK"": 0.0021417807561211655, ""VOLUME_LIQUIDITY"": 0.0015005619448646029}",False,1.8255257213431828,0.20430507418523458,-0.27060699025841406,0.7549881619470917,260,11.0,8.0,0.3096590909090909,1.633461950803518,3,"{""2020"": 0.0, ""2021"": 0.2727306016248592, ""2022"": 0.8283480068274744, ""2023"": 0.4670048185558515, ""2024"": -0.03080497177285768, ""2025"": -0.0678573609447427, ""2026"": -0.08382418397539482}",2.401967661372845,0.528669586891837,-0.052189990990344826,10.129712170091025,137,12.0,9.0,0.35075653370013754,3.5064482953822567,3,"{""2021"": 0.2727306016248592, ""2022"": 0.8283480068274744, ""2023"": 0.46195778362962714}",-0.17188704798678933,-0.0708267182401301,-0.27060699025841395,-0.26173277405914275,122,11.0,8.0,0.2797527047913447,0.888814560037472,0,"{""2024"": -0.03032013183877713, ""2025"": -0.0678573609447427, ""2026"": -0.08382418397539482}"
DISCOVERY_CROSSYEAR:H1:POSITIVE_RIDGE_A10:S1:Q70,0.7,0.0024823315647270025,144,11,"{""CALENDAR_SEASONALITY"": 0.0007853063247037003, ""FUNDAMENTAL_EXPECTATION"": 0.0006400855753792305, ""FUND_FLOW"": 0.00152783952906008, ""MARKET_BREADTH"": 0.0023562573988605796, ""MARKET_MICROSTRUCTURE"": 0.0, ""MARKET_STRUCTURE"": 0.002503053181798141, ""POSITION_VALUATION"": 0.0004290434870768574, ""TREND_MOMENTUM"": 0.002658659679228081, ""TREND_REGIME"": 0.0003147126766497894, ""VOLATILITY_RISK"": 0.0021417807561211655, ""VOLUME_LIQUIDITY"": 0.0015005619448646029}",False,1.8223313997181831,0.20406128444586935,-0.17954503120786725,1.1365465425195673,230,10.0,6.0,0.2571022727272727,1.7366781207466417,4,"{""2020"": 0.0, ""2021"": 0.25142638086548574, ""2022"": 0.8003543167648539, ""2023"": 0.3972747752925745, ""2024"": -0.052826486312389065, ""2025"": 0.038188440078624764, ""2026"": -0.08828906373419976}",2.1372447465086406,0.48634136808446593,-0.052129280668142375,9.329523865493936,127,11.0,8.0,0.2998624484181568,3.5897930804899754,3,"{""2021"": 0.25142638086548574, ""2022"": 0.8003543167648539, ""2023"": 0.39246763730418244}",-0.10302549350158308,-0.04146423209364025,-0.1795450312078667,-0.23094057136917034,102,9.0,6.0,0.22256568778979907,0.9346363903439284,1,"{""2024"": -0.052352662643710635, ""2025"": 0.038188440078624764, ""2026"": -0.08828906373419976}"
