eligible_rank,candidate_id,lookback,stress_quantile,pressure_position,full_champion_return,full_challenger_return,full_return_delta,full_champion_max_drawdown,full_challenger_max_drawdown,max_drawdown_improvement,worst_annual_return_delta,median_annual_return_delta,full_champion_sharpe,full_challenger_sharpe,full_champion_exposure,full_challenger_exposure,full_trade_count,2021_champion_return,2021_challenger_return,2021_return_delta,2021_challenger_max_drawdown,2021_challenger_sharpe,2022_champion_return,2022_challenger_return,2022_return_delta,2022_challenger_max_drawdown,2022_challenger_sharpe,2023_champion_return,2023_challenger_return,2023_return_delta,2023_challenger_max_drawdown,2023_challenger_sharpe,2024_champion_return,2024_challenger_return,2024_return_delta,2024_challenger_max_drawdown,2024_challenger_sharpe,2025_champion_return,2025_challenger_return,2025_return_delta,2025_challenger_max_drawdown,2025_challenger_sharpe,eligible
,dv_L10_Q70_P0.25,10,0.7,0.25,0.7699865045469618,0.5443045743406125,-0.2256819302063493,-0.2551487317445502,-0.3331631167113748,-0.07801438496682456,-0.1546583270098888,-0.02323581909139505,0.7342490225522434,0.6267470862174582,0.5363036303630363,0.46637788778877887,166,-0.00619914062358029,-0.0021234023076139863,0.004075738315966304,-0.17793219166751095,0.08353260920120807,0.07661831985256495,-0.07804000715732384,-0.1546583270098888,-0.11368402588641813,-0.6041779558198211,-0.050372752649808894,-0.07360857174120394,-0.02323581909139505,-0.16957665212063577,-0.6532111559789155,0.22170505734424073,0.31890607165203,0.09720101430778927,-0.11960940064999737,1.1976980493730216,0.4311143133322253,0.3788616459365195,-0.052252667395705776,-0.13241068904845,1.9369414921607266,False
,dv_L10_Q70_P0.50,10,0.7,0.5,0.7699865045469618,0.6193774323061951,-0.1506090722407667,-0.2551487317445502,-0.2981498856515765,-0.0430011539070263,-0.10458700812815813,-0.015472778235679385,0.7342490225522434,0.6730511078610688,0.5363036303630363,0.48968646864686466,166,-0.00619914062358029,-0.003481981746269347,0.0027171588773109434,-0.17905141264549973,0.0733091170004463,0.07661831985256495,-0.02796868827559318,-0.10458700812815813,-0.08242030787677346,-0.14065731351961758,-0.050372752649808894,-0.06584553088548828,-0.015472778235679385,-0.16261781141844545,-0.5506477492910056,0.22170505734424073,0.28615876889910385,0.06445371155486312,-0.13397183753544684,1.0912768756807045,0.4311143133322253,0.3965433970820065,-0.0345709162502188,-0.13528319088294638,1.976043112762427,False
,dv_L10_Q70_P0.75,10,0.7,0.75,0.7699865045469618,0.6946792740347325,-0.07530723051222932,-0.2551487317445502,-0.26240796412682843,-0.0072592323822782134,-0.053019171883278204,-0.007725885978486113,0.7342490225522434,0.7088440193090415,0.5363036303630363,0.5129950495049505,166,-0.00619914062358029,-0.00484056118492493,0.0013585794386553607,-0.18017063362348795,0.06312960415101189,0.07661831985256495,0.02359914796928675,-0.053019171883278204,-0.08391728125158626,0.2773017723803211,-0.050372752649808894,-0.05809863862829501,-0.007725885978486113,-0.15567344642580916,-0.44603437592883594,0.22170505734424073,0.2537467005866112,0.032041643242370466,-0.1525783956244302,0.9795831715097254,0.4311143133322253,0.4139522742392927,-0.01716203909293257,-0.13815674127600797,1.9800862161907151,False
,dv_L10_Q80_P0.25,10,0.8,0.25,0.7699865045469618,0.506261734217311,-0.2637247703296508,-0.2551487317445502,-0.3144863241613588,-0.05933759241680858,-0.15810594416500878,0.0,0.7342490225522434,0.5915499991892462,0.5363036303630363,0.4861798679867987,154,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.05300635265283405,0.07661831985256495,-0.08148762431244383,-0.15810594416500878,-0.11368402588641813,-0.6367524396927355,-0.050372752649808894,-0.049669157950928744,0.00070359469888015,-0.15026842387968187,-0.3500841452507184,0.22170505734424073,0.3246283412922011,0.10292328394796035,-0.1245429903824028,1.2090434276490585,0.4311143133322253,0.31562536745479663,-0.11548894587742864,-0.13241068904844977,1.6208722812293201,False
,dv_L10_Q80_P0.50,10,0.8,0.5,0.7699865045469618,0.5936343014343601,-0.1763522031126017,-0.2551487317445502,-0.2851633868256128,-0.030014655081062602,-0.10699584946775786,0.0,0.7342490225522434,0.6492193464844601,0.5363036303630363,0.5028877887788779,154,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.05300635265283405,0.07661831985256495,-0.03037752961519291,-0.10699584946775786,-0.08242030787677346,-0.1610932686958633,-0.050372752649808894,-0.04985303819754483,0.000519714452264064,-0.15043283909684724,-0.3493580627495535,0.22170505734424073,0.2897037881797122,0.06799873083547148,-0.13727236241170016,1.0981268199854874,0.4311143133322253,0.3545371254609486,-0.07657718787127665,-0.1352831908829466,1.7626805011244553,False
,dv_L10_Q80_P0.75,10,0.8,0.75,0.7699865045469618,0.6816297675752159,-0.08835673697174595,-0.2551487317445502,-0.2556461527150167,-0.0004974209704664556,-0.05427915246598625,0.0,0.7342490225522434,0.6969581510942955,0.5363036303630363,0.5195957095709571,154,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.05300635265283405,0.07661831985256495,0.022339167386578707,-0.05427915246598625,-0.08391728125158626,0.26777908976095743,-0.050372752649808894,-0.05008777697739575,0.0002849756724131458,-0.15064272911046572,-0.3475245472303515,0.22170505734424073,0.25538877754552547,0.03368372020128474,-0.1525783956244302,0.9827604001899297,0.4311143133322253,0.3930263888951304,-0.038087924437094856,-0.1381567412760082,1.87419792153813,False
,dv_L10_Q90_P0.25,10,0.9,0.25,0.7699865045469618,0.5978233897835927,-0.1721631147633691,-0.2551487317445502,-0.25419123249375475,0.0009574992507954683,-0.10015262346287801,-0.003949466370680499,0.7342490225522434,0.6492112646455769,0.5363036303630363,0.5115511551155115,142,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.05300635265283405,0.07661831985256495,0.008759332914964668,-0.06785898693760029,-0.08290014042209026,0.16490528617197972,-0.050372752649808894,-0.05432221902048939,-0.003949466370680499,-0.15442892540344255,-0.3807472616299862,0.22170505734424073,0.270919791871324,0.04921473452708325,-0.15624088385489066,1.0543142369883889,0.4311143133322253,0.33096168986934726,-0.10015262346287801,-0.14102529516436313,1.640179643637327,False
,dv_L10_Q90_P0.50,10,0.9,0.5,0.7699865045469618,0.6556158392690601,-0.11437066527790174,-0.2551487317445502,-0.25233510248926416,0.0028136292552860542,-0.06655425338590981,-0.002632977580453555,0.7342490225522434,0.6838180682913501,0.5363036303630363,0.5198019801980198,142,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.05300635265283405,0.07661831985256495,0.03144306981899936,-0.045175250033565595,-0.08290014042209082,0.33149136594540063,-0.050372752649808894,-0.05300573023026245,-0.002632977580453555,-0.15325179629727503,-0.3687615863733647,0.22170505734424073,0.25446912956030543,0.0327640722160647,-0.15829421931051912,0.9966290985563976,0.4311143133322253,0.36456005994631546,-0.06655425338590981,-0.14102529516436335,1.7601350042128505,False
,dv_L10_Q90_P0.75,10,0.9,0.75,0.7699865045469618,0.7130367509316771,-0.05694975361528476,-0.2551487317445502,-0.25329004676786526,0.0018586849766849545,-0.03317282417875389,-0.001316488790226611,0.7342490225522434,0.7123100910921736,0.5363036303630363,0.528052805280528,142,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.05300635265283405,0.07661831985256495,0.05407778098231231,-0.022540538870252647,-0.08313579054272868,0.4896316769411438,-0.050372752649808894,-0.051689241440035505,-0.001316488790226611,-0.1520746671911074,-0.35672383460569435,0.22170505734424073,0.23805524411503964,0.016350186770798913,-0.16034755476614793,0.9336129326476776,0.4311143133322253,0.3979414891534714,-0.03317282417875389,-0.14102529516436335,1.8654582132343636,False
,dv_L20_Q70_P0.25,20,0.7,0.25,0.7699865045469618,0.46907955862859896,-0.30090694591836287,-0.2551487317445502,-0.3080965410045229,-0.05294780925997267,-0.1708752481577176,-0.026133935936704544,0.7342490225522434,0.576453297389826,0.5363036303630363,0.43915016501650167,152,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.05300635265283405,0.07661831985256495,-0.021855858885542534,-0.09847417873810749,-0.07853962266736636,-0.10965301839042399,-0.050372752649808894,0.006699327524245957,0.05707208017405485,-0.09986694274595598,0.14368419614092717,0.22170505734424073,0.19557112140753619,-0.026133935936704544,-0.15263392369777196,0.8606835269495567,0.4311143133322253,0.2602390651745077,-0.1708752481577176,-0.15686974764528738,1.4444869390696964,False
