cycle_id,entry_date,exit_date,entry_regime,entry_factor_score,prior_loss_streak,prior_loss_streak_group,net_return,holding_sessions,maximum_favorable_excursion_close,maximum_adverse_excursion_close,maximum_peak_to_later_close_giveback,final_close_return
CYC-BBDADBA699F45AAD5E95,2021-01-13,2021-01-29,warmup,0.2026505340557762,0,0,0.0143268672497782,13,0.06485355648535562,0.002789400278939924,0.05230125523012541,0.012552301255230214
CYC-CF0EAF75941A0E08B6AD,2021-03-29,2021-04-13,trend,0.3037795592828951,0,0,-0.0119175384985101,11,0.03669008587041378,-0.00936768149882905,0.04605776736924283,-0.00936768149882905
CYC-DE996E9369A95592A75C,2021-04-19,2021-05-10,trend,0.31995656568568,1,1,-0.0048418098642986,13,0.03846153846153855,-0.015384615384615441,0.05384615384615399,-0.015384615384615441
CYC-4F144CAA4FA98E6A146F,2021-05-17,2021-06-17,range,0.307741442170465,2,2+,0.0856408145851659,23,0.13499245852187025,0.010558069381598756,0.03770739064856721,0.13499245852187025
CYC-1B5254F1DB7E952944E4,2021-06-18,2021-07-07,trend,0.4493726169079591,0,0,0.0335174605388337,14,0.08039867109634558,0.015946843853820614,0.037209302325581284,0.06644518272425248
CYC-22609A59BB50DB293C7F,2021-07-08,2021-07-15,trend,0.4331956105051742,0,0,-0.0091062458783094,6,0.028714107365792607,-0.0024968789013732895,0.031210986267165897,-0.0024968789013732895
CYC-77996E3679858ADA7E1F,2021-07-30,2021-08-10,trend,0.3519036256739297,1,1,-0.0145161121776133,8,0.012915129151291671,-0.012915129151291449,0.021525215252152563,0.0
CYC-E721CF1844E55D6AB3B2,2021-08-25,2021-08-30,trend,0.2390715336717556,2,2+,-0.0584204189623359,4,-0.020395550061804824,-0.06922126081582203,0.048825710754017204,-0.06922126081582203
CYC-2E7E233BBD6EF7D3A1F9,2021-10-18,2021-10-28,trend,0.2390715336717556,3,2+,-0.0060016486749472,9,0.011444921316166035,-0.007868383404864066,0.014306151645207543,-0.0021459227467810482
CYC-AAA1E0141682FF940D11,2021-11-01,2021-11-19,trend,0.5140806425190987,4,2+,0.0164533386695888,15,0.03424178895877006,0.0013976240391335715,0.015373864430468176,0.03424178895877006
CYC-B08604DDE5B6CA48AA91,2021-11-22,2021-12-03,range,0.4534371458525831,0,0,-0.0084245039642341,10,0.025675675675675746,-0.009459459459459474,0.03513513513513522,0.002702702702702675
CYC-9EF586CDEB8AE14B1775,2021-12-06,2021-12-16,range,0.5416385598038577,1,1,-0.01380719896462,9,0.002024291497975783,-0.030364372469635525,0.014844804318488558,-0.011470985155195623
CYC-5EB4458A3A64F1C4262D,2021-12-17,2021-12-24,range,0.2821005662037895,2,2+,-0.0344359923863204,6,-0.015710382513661192,-0.04371584699453557,0.028005464480874376,-0.04371584699453557
CYC-619165BDB229AD971F0A,2022-01-04,2022-01-06,range,0.17559230918943,3,2+,-0.045554226371135,3,-0.02160278745644606,-0.05017421602787464,0.02857142857142858,-0.05017421602787464
CYC-056EA59E00E0457514E7,2022-01-14,2022-01-21,range,0.2738492945371473,4,2+,0.0072505038771903,6,0.035285285285285184,-0.0030030030030030463,0.03828828828828823,-0.0030030030030030463
CYC-7F5B7D497D1B7B485C36,2022-02-24,2022-03-04,trend,0.449372616907959,0,0,-0.0168692460759292,7,0.019062748212867353,-0.015091342335186608,0.03415409054805396,-0.015091342335186608
CYC-03586D99D23356B0DA4D,2022-03-22,2022-03-25,trend,0.3850715441141396,1,1,-0.0103280278366757,4,-0.000848896434634927,-0.032258064516129115,0.03140916808149419,-0.032258064516129115
CYC-E261F76F93A556241368,2022-05-06,2022-06-23,trend,0.2390715336717556,2,2+,0.1454508347920282,34,0.21256544502617802,0.017801047120418856,0.06492146596858617,0.16753926701570676
CYC-27A48D7980E9B6F02874,2022-06-27,2022-07-12,range,0.307741442170465,0,0,-0.0247224672624108,12,0.014072119613016687,-0.0474934036939314,0.06156552330694809,-0.0474934036939314
CYC-4D9447AD4A02039570A4,2022-07-22,2022-08-17,trend,0.2390715336717556,1,1,0.0370155630149529,19,0.07345132743362859,-0.01946902654867244,0.038938053097345326,0.03451327433628326
CYC-8F9D9FD659A646FD372D,2022-08-18,2022-08-23,range,0.2632563145606794,0,0,-0.0257822329211787,4,0.011976047904191711,-0.023096663815226792,0.0350727117194185,-0.022241231822070162
CYC-A88EFC9F89EAE577F3B3,2022-10-18,2022-11-22,trend,0.2390715336717556,1,1,0.070645990136245,26,0.11515151515151523,-0.013131313131313105,0.056565656565656486,0.05858585858585874
CYC-2B921BB003B4F676271E,2022-12-05,2022-12-08,range,0.2668738534159479,0,0,-0.0144475839003574,4,-0.005769230769230749,-0.013461538461538525,0.007692307692307776,-0.013461538461538525
CYC-7165796AC88DC8DC306D,2022-12-13,2022-12-16,range,0.3234001644685077,1,1,-0.0184917268991963,4,-0.013618677042801619,-0.026264591439688845,0.012645914396887226,-0.026264591439688845
CYC-0B7A2704CE043F949618,2022-12-28,2023-01-12,range,0.2668738534159479,2,2+,0.0121986770842221,11,0.030487804878048808,-0.0030487804878048808,0.018292682926829285,0.012195121951219523
CYC-85365FD95FC0A00AC91B,2023-01-13,2023-02-09,range,0.2632563145606794,0,0,0.035108951548322,15,0.06726907630522083,0.004016064257028162,0.02510040160642557,0.06726907630522083
