cycle_id,entry_date,exit_date,entry_regime,entry_factor_score,prior_loss_streak,prior_loss_streak_group,net_return,holding_sessions,maximum_favorable_excursion_close,maximum_adverse_excursion_close,maximum_peak_to_later_close_giveback,final_close_return
CYC-C8D5E7C0A280B95E411C,2023-02-10,2023-02-20,range,0.4431743354224605,0,0,-0.0499147789570375,7,-0.011299435028248594,-0.048022598870056665,0.03672316384180807,-0.03766478342749535
CYC-5344E176408944F292D0,2023-02-22,2023-02-28,range,0.1784127579822232,1,1,-0.0009995002498749,5,0.003948667324777944,-0.001974333662388972,0.005923000987166915,0.001974333662388972
CYC-3B3321CF170C22DD9DFC,2023-03-02,2023-03-08,range,0.4092857968271055,2,2+,-0.0068875189124494,5,0.012770137524557912,-0.005893909626719096,0.015717092337917515,-0.0009823182711199419
CYC-646BBAEA3DBE6B7FF0FF,2023-03-10,2023-03-17,range,0.3138492602721814,3,2+,0.0019503043753712,6,0.02066929133858264,-0.0019685039370078705,0.019685039370078705,0.02066929133858264
CYC-A78D19E73249C391ACEC,2023-03-20,2023-04-24,range,0.2480296017728377,0,0,0.0943727750396739,25,0.145612343297975,0.009643201542912205,0.06653809064609462,0.0790742526518804
CYC-3A0D450BB90EA1F2BC80,2023-05-17,2023-05-24,range,0.1914332726043683,0,0,-0.0095868970958645,6,0.017191977077363862,-0.010506208213944546,0.027698185291308408,-0.010506208213944546
CYC-287E89B7EC5CFE23688A,2023-05-29,2023-06-07,range,0.4351833538507526,1,1,-0.0141195818601018,8,0.012195121951219523,-0.019699812382739323,0.031894934333958846,-0.019699812382739323
CYC-76C1930C58A85AD4AA19,2023-06-12,2023-06-27,range,0.2423564327553284,2,2+,-0.0180764318695354,10,0.02279202279202286,-0.017094017094017144,0.03988603988604,-0.01614434947768273
CYC-4E007E948BF934266B09,2023-06-28,2023-07-06,range,0.2139090218767268,3,2+,-0.0077495036265651,7,0.0028957528957527234,-0.009652509652509633,0.012548262548262357,-0.009652509652509633
CYC-2D3FC9458D53BD8F250E,2023-08-01,2023-08-09,trend,0.3037795592828951,4,2+,-0.0060297142466027,7,0.007049345417925457,-0.012084592145015116,0.019133937562940573,-0.012084592145015116
CYC-48D9651C042B8251B360,2023-08-31,2023-09-08,trend,0.3846645912968195,5,2+,-0.0447513469542599,7,0.007299270072992803,-0.03962460896767461,0.046923879040667416,-0.037539103232533844
CYC-3F32A7088BA61B62FF4B,2023-09-28,2023-10-17,trend,0.3850715441141396,6,2+,-0.0087436901704187,8,0.019933554817275656,-0.008859357696566983,0.02879291251384264,0.0
CYC-8929EDE9C5667EAEF4CC,2023-10-30,2023-11-22,trend,0.2394784864890756,7,2+,0.0273811957657534,18,0.05113636363636376,0.002272727272727204,0.03750000000000009,0.013636363636363669
CYC-6B032AD84CC964AD7661,2023-12-11,2023-12-14,trend,0.3041865121002152,0,0,0.0057964215171326,4,0.01927437641723362,-0.005668934240362855,0.024943310657596474,-0.005668934240362855
CYC-A0683CBCD546FB3F3128,2023-12-25,2023-12-28,range,0.2066317365980317,0,0,-0.0172057655992398,4,0.009269988412514474,-0.022016222479721903,0.016222479721900385,0.009269988412514474
CYC-1F21A8ACAB130B0096B9,2023-12-29,2024-01-04,range,0.3527594857745457,1,1,-0.0239914565157005,4,0.0034522439585731313,-0.028768699654775576,0.03222094361334871,-0.028768699654775576
CYC-29FB32C9F945C4154ED7,2024-02-19,2024-03-08,trend,0.2228945272689707,2,2+,0.0560862425929891,15,0.08831168831168834,0.0025974025974027093,0.033766233766233666,0.0662337662337662
CYC-2FF3EB669AEEB2611D77,2024-03-11,2024-03-15,range,0.4093840637371934,0,0,0.003891567068363,5,0.025703794369644983,0.008567931456548328,0.017135862913096656,0.01346389228886169
CYC-744CCE297293D023F925,2024-04-19,2024-04-26,range,0.2668738534159479,0,0,-0.0115291497861081,6,0.015810276679841806,-0.01844532279314892,0.006587615283267456,0.015810276679841806
CYC-C559190BB91CEC6433F7,2024-04-29,2024-05-14,range,0.1776027235028375,1,1,0.0132534251680904,9,0.03242542153048,0.0077821011673151474,0.024643320363164856,0.0077821011673151474
CYC-1B3F883ACFE7B85F49D9,2024-06-03,2024-06-26,range,0.1751566378929571,0,0,-0.0364436704118374,17,0.02365308804205002,-0.03416557161629441,0.05781865965834443,-0.01708278580814715
CYC-A5B08E3B1ACBDBC72EA4,2024-07-12,2024-07-24,range,0.2071620130183205,1,1,0.0085537832176807,9,0.051912568306010876,-0.002732240437158473,0.05464480874316935,-0.002732240437158473
CYC-26105522ED113F38F253,2024-08-01,2024-08-06,trend,0.3365405249057849,0,0,-0.0442065991905751,4,-0.006553079947575369,-0.053735255570118046,0.04718217562254268,-0.04062909567496731
CYC-8D9BC752629049DA7687,2024-09-25,2024-10-31,trend,0.2228945272689707,1,1,0.4327770325363635,22,0.6038011695906431,-0.0014619883040936088,0.2923976608187133,0.45175438596491224
CYC-79E504685ABD3B4FBB5A,2024-11-06,2024-11-18,trend,0.3684875848940346,0,0,-0.0059013672751455,9,0.07850834151128572,-0.025515210991167714,0.10402355250245343,-0.025515210991167714
CYC-B8C451D0283F922034A6,2024-12-03,2024-12-06,trend,0.3037795592828951,1,1,-0.0115557014960335,4,-0.0009606147934677622,-0.01729106628242072,0.00672430355427478,-0.0009606147934677622
CYC-88D4650CAB245A8F16BD,2024-12-11,2024-12-16,trend,0.4331956105051742,2,2+,-0.0212886786780692,4,0.0009671179883945502,-0.03384912959381048,0.03481624758220503,-0.03384912959381048
CYC-95CD200A8757421803A4,2024-12-23,2025-01-02,trend,0.3684875848940346,3,2+,-0.0251299471037428,8,0.01642512077294689,-0.05314009661835739,0.06956521739130428,-0.05314009661835739
CYC-06465B64AB8791C30CEF,2025-01-08,2025-01-14,range,0.2161826407943579,4,2+,-0.000999500249875,5,0.025510204081632626,-0.005102040816326481,0.015306122448979442,0.025510204081632626
CYC-431ED0FD9EA4116F77A8,2025-01-15,2025-03-12,range,0.3623103899708719,5,2+,0.1296083495178559,35,0.15269461077844304,-0.021956087824351322,0.06686626746506974,0.11676646706586835
CYC-E68289EDF899100EE6D8,2025-04-14,2025-04-24,range,0.2668738534159479,0,0,-3.428237572034032e-05,9,0.006763285024154797,-0.008695652173912993,0.01545893719806779,-0.008695652173912993
CYC-9913C7D0CB0EDE92F2F4,2025-05-09,2025-05-16,range,0.269059648930894,1,1,-0.0258312526337213,6,-0.007648183556405397,-0.027724665391969494,0.020076481835564097,-0.027724665391969494
CYC-0154161DB24CBDC583A9,2025-06-06,2025-06-11,trend,0.2876025528801103,2,2+,-0.016624141497189,4,0.003910068426197455,-0.016617790811339073,0.020527859237536528,-0.016617790811339073
CYC-1A0A96E5DECB08154D24,2025-06-25,2025-07-10,trend,0.3684875848940346,3,2+,0.0039805620619401,12,0.025922233300099684,0.0009970089730808596,0.024925224327018825,0.003988035892322994
CYC-230BEE47CE8A8D73EB40,2025-07-14,2025-09-09,range,0.269059648930894,0,0,0.2536476859609411,42,0.37549019607843137,-0.0009803921568628526,0.14803921568627443,0.2519607843137255
CYC-A37BBA90FBB784BFAC3F,2025-09-11,2025-10-15,trend,0.3041865121002152,0,0,0.1210573701476109,19,0.23035019455252925,0.05914396887159534,0.10116731517509714,0.14163424124513635
CYC-D38D888866893624A4E1,2025-10-27,2025-10-31,trend,0.3037795592828951,0,0,-0.0070459054265739,5,0.01882985877605914,-0.03026227303295237,0.04909213180901151,-0.03026227303295237
CYC-4A411629F932A4D2E395,2025-12-02,2025-12-05,range,0.1751566378929571,1,1,-0.0054231186989529,4,-0.002952029520295163,-0.01623616236162362,0.0073800738007380184,-0.002952029520295163
CYC-76DD9BB67B8C475A8339,2025-12-09,2025-12-12,range,0.3904415451839953,2,2+,-0.0127008238194228,4,0.004392386530014614,-0.01171303074670571,0.015373352855051259,0.004392386530014614
CYC-13A161118CF3AF629B07,2025-12-18,2025-12-25,range,0.1973383891512478,3,2+,0.0243482736243818,6,0.028358208955223674,-0.006716417910447858,0.0014925373134326847,0.02686567164179099
CYC-154EF24A8BE6FC9708E9,2025-12-26,2026-01-30,range,0.2727789699628273,0,0,0.1153324356744478,24,0.15502183406113534,-0.0014556040756914523,0.03566229985443958,0.11935953420669576
CYC-7213674A24793F81B09F,2026-02-26,2026-03-03,trend,0.2228945272689707,0,0,-0.0056521971881655,4,0.010645375914837052,-0.055222887558216915,0.06586826347305397,-0.055222887558216915
CYC-F31C4EEE1F6E698FB71B,2026-04-02,2026-06-02,range,0.1751566378929571,1,1,0.2923337269149946,40,0.4688922610015174,-0.025037936267071403,0.17754172989377848,0.3103186646433991
CYC-776879255E0EB79615FC,2026-06-10,2026-06-15,range,0.1879636621785496,0,0,0.0185076101002754,4,0.05798816568047349,0.0005917159763313418,0.0,0.05798816568047349
CYC-75B1325F2F626AE6C7AC,2026-06-17,2026-07-14,trend,0.320363518503,0,0,0.1439712103293355,19,0.28345567476002276,0.06041784302653874,0.13382269904009036,0.16600790513833985
CYC-9AE04700F46C25EEFD8C,2026-08-05,2026-08-17,range,0.1914332726043683,0,0,0.0650350991878228,9,0.10976349302607646,0.04972710733778052,0.019405700424499628,0.10976349302607646
CYC-9E39B48B4BBAE4D155C3,2026-08-24,2026-08-27,range,0.1752272286371557,0,0,-0.0086750360044564,4,0.023640661938534313,-0.03014184397163122,0.0,0.023640661938534313
