prior_loss_streak_group,trade_count,win_rate,mean_net_return,compound_net_return,worst_net_return
0,30,0.4,0.019903332885029438,0.7075009582117602,-0.0499147789570375
1,17,0.35294117647058826,0.04180435492891402,0.8170155081694443,-0.0258312526337213
2+,26,0.4230769230769231,0.00757521205475455,0.18308234979613625,-0.0584204189623359
