candidate_id,year,cycle_count,return,max_drawdown,calmar
fixed_00,2021,14,-0.09318293613625606,-0.12454602228448608,-0.7745102748935633
fixed_00,2022,11,0.13837879660237085,-0.06765323476457963,2.1357712701077225
fixed_00,2023,14,-0.07905888563159524,-0.09975061735565682,-0.8239324591231746
fixed_00,2024,12,-0.2095488774366301,-0.2567868901356892,-0.8458083510917696
fixed_00,2025,13,0.17795149015559053,-0.1076265146115466,1.720007722592648
fixed_01,2021,14,-0.1258112872492534,-0.1537618488489796,-0.8464641516512194
fixed_01,2022,11,0.11400591981044883,-0.07475066812431097,1.5917836402509238
fixed_01,2023,14,0.010060851135823778,-0.08490706793474723,0.123414455708687
fixed_01,2024,12,-0.20776109434888124,-0.28753226535827126,-0.7489550902396215
fixed_01,2025,13,0.1895128167420066,-0.11454963307422772,1.7213769054660868
fixed_02,2021,14,-0.1272837840292348,-0.16459629136685006,-0.7999772805153548
fixed_02,2022,11,0.17974466549453227,-0.06735644832659038,2.7886044521271898
fixed_02,2023,14,-0.0372734545886787,-0.12398978932713267,-0.3127953245951259
fixed_02,2024,12,-0.22268210227073792,-0.2851980484264486,-0.8090220038211707
fixed_02,2025,13,0.456431724968277,-0.11510995305887062,4.142606053570085
fixed_03,2021,14,-0.14458488433898564,-0.17142322432507562,-0.8722175054617796
fixed_03,2022,11,0.16527940116557382,-0.07152079843190884,2.4142362812826175
fixed_03,2023,14,-0.030384838656029367,-0.12436335033188317,-0.2542577955770711
fixed_03,2024,12,-0.17229508883023692,-0.2809815407124838,-0.6361185271354841
fixed_03,2025,13,0.5280028831747319,-0.12042179352450533,4.585427275263929
fixed_04,2021,14,-0.058134214962250574,-0.12896236003678951,-0.4669671384107039
fixed_04,2022,11,0.15449302328688175,-0.07894864391359524,2.0439484596432353
fixed_04,2023,14,-0.0690483159286851,-0.1497293825212035,-0.47950931015798937
fixed_04,2024,12,-0.14721705256863227,-0.25531089576865895,-0.598526909651185
fixed_04,2025,13,0.582160621050887,-0.13295777395190522,4.582468728600371
fixed_05,2021,14,-0.006778648521722719,-0.14572580316532102,-0.04823322332603334
fixed_05,2022,11,0.11605596575959276,-0.08629746960507123,1.403648058645517
fixed_05,2023,14,-0.07985038711208603,-0.15643262586634332,-0.5306384414613126
fixed_05,2024,12,-0.17112431467860467,-0.2612547359280307,-0.6795201776676726
fixed_05,2025,13,0.5087995303471216,-0.14091457523056428,3.7750555071602823
fixed_06,2021,14,-0.04277019919471958,-0.16050524764791352,-0.27611967968239826
fixed_06,2022,11,0.0908608945888274,-0.09356832351666378,1.0130368352079586
fixed_06,2023,14,-0.07222916520766465,-0.1534969091446473,-0.4892535678806415
fixed_06,2024,12,0.2925229129951934,-0.1823154056517774,1.6800589689855172
fixed_06,2025,13,0.4780865884583241,-0.14577289399936222,3.4274769628115838
fixed_07,2021,14,-0.04618794141366378,-0.1691939019119999,-0.2828530732569389
fixed_07,2022,11,0.064629455509577,-0.10155521565053405,0.663561801476005
fixed_07,2023,14,-0.007891064450999186,-0.14694371172082077,-0.05591119413141799
fixed_07,2024,12,0.2640907206872951,-0.18231540565177762,1.5160082231149887
fixed_07,2025,13,0.486940446058165,-0.1371124338737464,3.7119164003969396
fixed_08,2021,14,-0.019359038449594523,-0.1639065435996706,-0.12244048958960674
fixed_08,2022,11,0.04471684372905238,-0.10866485118438196,0.42890655253737076
fixed_08,2023,14,-0.005137114096810169,-0.13856688720571297,-0.038601017419753116
fixed_08,2024,12,0.23517013218114924,-0.18231540565177762,1.3492958674322757
fixed_08,2025,13,0.46721078475036903,-0.13941193438307642,3.5017932795788793
fixed_09,2021,14,-0.011788764436964305,-0.1650734570070692,-0.07404404363999066
fixed_09,2022,11,0.03674285490567608,-0.11180200182588862,0.3424792488825985
fixed_09,2023,14,-0.008037980828573987,-0.13939122511269353,-0.06003774731622476
fixed_09,2024,12,0.2422462280878963,-0.18231540565177773,1.3900711696204722
fixed_09,2025,13,0.4726758850678263,-0.13281148157683986,3.719111642140246
fixed_10,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_10,2022,11,0.028969172971488044,-0.11414143881329664,0.2644450371032349
fixed_10,2023,14,-0.008037980828574876,-0.1393912251126933,-0.060037747316231224
fixed_10,2024,12,0.23514271250091845,-0.18231540565177773,1.3491378829773517
fixed_10,2025,13,0.4655065061257151,-0.13453665767449907,3.6153651218394263
fixed_11,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_11,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_11,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_11,2024,12,0.22498571279040158,-0.18231540565177717,1.2906261148424643
fixed_11,2025,13,0.45882407387545787,-0.13682624323620673,3.5035019469017876
fixed_12,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_12,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_12,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_12,2024,12,0.2184665023808816,-0.18231540565177762,1.253081232689542
fixed_12,2025,13,0.4507979723062978,-0.13910374655220603,3.3854679473188694
fixed_13,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
