rule,rank,trial_number,win_count,min_return_delta,median_return_delta,mean_return_delta
robustness_first,1,3123,6,-0.002355895535425,0.0172468081642009,0.0237537571442965
robustness_first,2,2806,7,-0.0083569405079295,0.0196084221279894,0.0209731924167507
robustness_first,3,629,6,-0.0124234873778152,0.0191605293906664,0.0352123354278766
win_count_first,1,2385,7,-0.1396012503344621,0.0193983100312383,0.0224139335914136
win_count_first,2,2806,7,-0.0083569405079295,0.0196084221279894,0.0209731924167507
win_count_first,3,2478,7,-0.3318042653884463,0.0413710847971955,0.0043288737586306
mean_return_first,1,3384,4,-0.2019687869976628,0.0310596153370659,0.0736226116521994
mean_return_first,2,1192,5,-0.0416328763585639,0.0417369941752118,0.0553684665412226
mean_return_first,3,2214,6,-0.2015731135889213,0.0605031416097173,0.0486546242842588
