holding_sessions,closed_trades,mean_return,median_return,win_rate,return_std,minimum_return,maximum_return,largest_absolute_trade_share
3,25,0.0056807778469261504,0.00420269305103238,0.52,0.019011539077346113,-0.024526685932396042,0.04580775208112153,0.11082710831663624
4,25,0.009173293323812132,0.007013872742773319,0.56,0.023485997365819317,-0.029096389305347303,0.07014752329324003,0.1410021560254205
5,25,0.012318289124077514,0.010893362842388399,0.64,0.024387008816737426,-0.027206775347558887,0.06894390823329988,0.12976232660997086
6,24,0.012153520651901248,0.010446224293463091,0.5833333333333334,0.026475529430422286,-0.03831449459425951,0.06747282316003989,0.12548527948014046
7,23,0.009898151913421457,0.011892908199876429,0.6086956521739131,0.03383346028259619,-0.053702543638007305,0.08124752884601905,0.1264346452459731
