holding_sessions,window,start,end,max_drawdown,calmar,win_loss_ratio,win_loss_ratio_status,return,sharpe,closed_trades,exposure
3,2021,2021-01-04,2021-12-31,-0.0073111497752647026,4.740211143816209,,NO_LOSSES,0.033398226854733704,1.1552211490335973,2,0.024691358024691357
3,2022,2022-01-04,2022-12-30,-0.03924970974789388,0.0896759730180819,2.351037633776613,VALID,0.00337984729315699,0.10354416073908869,3,0.0371900826446281
3,2023,2023-01-03,2023-12-29,-0.04045397298121012,-0.09975028063079294,1.1718166234351055,VALID,-0.0038754750985932063,-0.05933208480978186,11,0.13636363636363635
3,2024,2024-01-02,2024-12-31,-0.017893755824790247,2.577919206139153,35.73897553731976,VALID,0.04425824394034272,1.1591614018610636,3,0.0371900826446281
3,2025,2025-01-02,2025-12-31,-0.047488294892676586,-0.3428067378734791,0.6322004534491592,VALID,-0.015702492894267617,-0.4236588280787591,4,0.04938271604938271
3,2026YTD,2026-01-05,2026-09-08,-0.02203089687884663,5.25380032471407,,NO_LOSSES,0.07481249324790795,1.3501021812619254,2,0.05421686746987952
3,2021_2026YTD,2021-01-04,2026-09-08,-0.04748829489267692,0.514387229376635,1.8894727221615049,VALID,0.14107377012236433,0.5323605360012303,25,0.05660377358490566
4,2021,2021-01-04,2021-12-31,-0.008615412498187647,5.024689808212545,,NO_LOSSES,0.041711914672893924,1.3791142777972227,2,0.03292181069958848
4,2022,2022-01-04,2022-12-30,-0.03474194087188909,0.41373587046537863,3.8114947759991753,VALID,0.01379967354251943,0.35011007112619275,3,0.049586776859504134
4,2023,2023-01-03,2023-12-29,-0.04108490436681522,-0.24556861586904669,1.0885467919541665,VALID,-0.009690745821503643,-0.1735179649137089,11,0.18181818181818182
4,2024,2024-01-02,2024-12-31,-0.02620941286113687,2.087532122785058,2.5605529032157466,VALID,0.05248585501516545,1.2606836882399024,3,0.049586776859504134
4,2025,2025-01-02,2025-12-31,-0.0340914030507633,0.5704123008128773,2.0483704697893232,VALID,0.018745181818631496,0.4467469543767662,4,0.06584362139917696
4,2026YTD,2026-01-05,2026-09-08,-0.020040197126072745,8.349294951501278,,NO_LOSSES,0.10728751370287282,1.8203737963594113,2,0.06626506024096386
4,2021_2026YTD,2021-01-04,2026-09-08,-0.048985366338316294,0.8243516051227302,2.129610013069369,VALID,0.24168905822441578,0.807812234099695,25,0.07474600870827286
5,2021,2021-01-04,2021-12-31,-0.006524575902566276,7.899025126619433,,NO_LOSSES,0.049652209598673336,1.6112935830483714,2,0.0411522633744856
5,2022,2022-01-04,2022-12-30,-0.03474194087188909,1.5467559505731976,6.364513985325096,VALID,0.051550846625930236,0.9937934507826136,3,0.06198347107438017
5,2023,2023-01-03,2023-12-29,-0.03636613898387009,-0.1999547171138961,0.7769462729207983,VALID,-0.0069840362714082005,-0.09693453897648828,11,0.22727272727272727
5,2024,2024-01-02,2024-12-31,-0.02285601118359737,2.0628616912485724,2.9259347327787317,VALID,0.045236125073543354,1.085480540091714,3,0.06198347107438017
5,2025,2025-01-02,2025-12-31,-0.02528307556562659,2.573204894934893,4.447681903027117,VALID,0.06266371659079795,1.2123164068992354,4,0.0823045267489712
5,2026YTD,2026-01-05,2026-09-08,-0.025892460492831337,6.129734002193633,,NO_LOSSES,0.10190223092637796,1.7079660537715378,2,0.0783132530120482
5,2021_2026YTD,2021-01-04,2026-09-08,-0.0363661389838702,1.5177090960302675,2.11364814844673,VALID,0.3414832610103573,1.000697147096774,25,0.09288824383164006
6,2021,2021-01-04,2021-12-31,-0.010141016412323789,5.453487106391016,,NO_LOSSES,0.05327707517929814,1.5667162241473207,2,0.04938271604938271
6,2022,2022-01-04,2022-12-30,-0.03474194087188909,1.4239222247949694,4.067721042736823,VALID,0.04746088348118338,0.9014059296853901,3,0.0743801652892562
6,2023,2023-01-03,2023-12-29,-0.056424844354434955,-0.40915298654138726,1.184249677118968,VALID,-0.022180504462085193,-0.3784005868389725,10,0.24793388429752067
6,2024,2024-01-02,2024-12-31,-0.03787477702177722,0.7114560158611207,13.256923840535503,VALID,0.025863235211560864,0.5919028359314252,3,0.0743801652892562
6,2025,2025-01-02,2025-12-31,-0.028145362449158662,2.4435450564784302,1.7230653703506487,VALID,0.06623865292069042,1.2374188165267777,4,0.09876543209876543
6,2026YTD,2026-01-05,2026-09-08,-0.027233031359161664,6.7522349163939,,NO_LOSSES,0.11761161484101934,1.9448557651684186,2,0.09036144578313253
6,2021_2026YTD,2021-01-04,2026-09-08,-0.06653912500737247,0.7800723084824058,2.4080829947215365,VALID,0.3187847973555673,0.9236494662678367,24,0.10667634252539913
7,2021,2021-01-04,2021-12-31,-0.010284912179671757,5.56104059166455,,NO_LOSSES,0.055096894280942,1.6390937974723965,2,0.05761316872427984
7,2022,2022-01-04,2022-12-30,-0.03474194087188909,1.6357310058241008,2.811281350840567,VALID,0.054513015660444974,1.031981718107515,3,0.08677685950413223
7,2023,2023-01-03,2023-12-29,-0.08150788384598173,-0.8343470333258176,0.5451131012223083,VALID,-0.06539748828309366,-1.2009424041269732,9,0.2603305785123967
7,2024,2024-01-02,2024-12-31,-0.05284369100781938,0.1759074887422677,2.7378802719388466,VALID,0.008925086790465553,0.21164035190575362,3,0.08677685950413223
7,2025,2025-01-02,2025-12-31,-0.06406850299067679,0.3832460788449879,0.49674007583572166,VALID,0.023666779254415626,0.38604033060422877,4,0.11522633744855967
7,2026YTD,2026-01-05,2026-09-08,-0.020040197126072634,11.581495602306813,,NO_LOSSES,0.14738764914082036,2.3398931366917664,2,0.10240963855421686
7,2021_2026YTD,2021-01-04,2026-09-08,-0.10543665555822002,0.36923018128567253,1.3482536654693622,VALID,0.23225030426118254,0.6671429380451861,23,0.11901306240928883
