metric,minimum,maximum,median,holding_5,holding_4_delta_from_5,holding_6_delta_from_5
max_drawdown,-0.10543665555822002,-0.0363661389838702,-0.048985366338316294,-0.0363661389838702,-0.012619227354446094,-0.03017298602350227
calmar,0.36923018128567253,1.5177090960302675,0.7800723084824058,1.5177090960302675,-0.6933574909075373,-0.7376367875478617
win_loss_ratio,1.3482536654693622,2.4080829947215365,2.11364814844673,2.11364814844673,0.015961864622639155,0.29443484627480654
return,0.14107377012236433,0.3414832610103573,0.24168905822441578,0.3414832610103573,-0.09979420278594153,-0.022698463654790002
sharpe,0.5323605360012303,1.000697147096774,0.807812234099695,1.000697147096774,-0.192884912997079,-0.07704768082893731
closed_trades,23.0,25.0,25.0,25.0,0.0,-1.0
exposure,0.05660377358490566,0.11901306240928883,0.09288824383164006,0.09288824383164006,-0.018142235123367198,0.013788098693759077
