candidate_id,range_trend_multiplier,range_volume_multiplier,weight_l1_distance,range_days,range_transition_count,range_signal_density_per_100,range_to_range_count,range_to_range_loss_count,range_to_range_loss_rate,range_to_range_short_loss_count,range_to_range_compound_return,range_to_range_median_holding_sessions,range_to_range_fees,range_to_trend_count,range_to_trend_loss_count,range_to_trend_loss_rate,range_to_trend_short_loss_count,range_to_trend_compound_return,range_to_trend_median_holding_sessions,range_to_trend_fees,trend_to_range_count,trend_to_range_loss_count,trend_to_range_loss_rate,trend_to_range_short_loss_count,trend_to_range_compound_return,trend_to_range_median_holding_sessions,trend_to_range_fees,trend_to_trend_count,trend_to_trend_loss_count,trend_to_trend_loss_rate,trend_to_trend_short_loss_count,trend_to_trend_compound_return,trend_to_trend_median_holding_sessions,trend_to_trend_fees,strategy_return,max_drawdown,calmar,win_loss_ratio,win_loss_ratio_status,sharpe,exposure,trade_count,balanced_score
0,0.5,0.5,0.42342815468828576,592,71,11.993243243243242,28,22,0.7857142857142857,21,-0.1772884979586573,5.0,31580.761815942693,3,1,0.3333333333333333,1,0.17884970604155304,22.0,3189.9517146890225,11,7,0.6363636363636364,6,0.012621293066155559,10.0,11401.264363845567,19,13,0.6842105263157895,12,0.8284344643683783,7.0,22829.929529812667,0.8326688427247031,-0.2347602955633653,0.5717691800326086,4.475979923883671,VALID,0.6436600714041245,0.5132013201320133,125,0.732
1,0.5,0.75,0.3009123548746946,592,75,12.66891891891892,29,22,0.7586206896551724,19,-0.21926616783296127,5.0,29394.270568991316,5,3,0.6,2,0.12161205717221324,18.0,4797.306407572426,11,7,0.6363636363636364,5,-0.05740259521462843,14.0,10324.129076701456,19,13,0.6842105263157895,12,0.828434464368379,7.0,20310.898636799815,0.5257178714095498,-0.32770935667080825,0.28016476536250673,3.6210706609338295,VALID,0.47919517195368544,0.5651815181518152,131,0.5199999999999999
2,0.5,1.0,0.28664279613272586,592,71,11.993243243243242,28,23,0.8214285714285714,18,-0.36190563484960436,6.0,27224.85218588751,5,3,0.6,2,0.1201560629501972,22.0,4680.724436730916,9,4,0.4444444444444444,4,0.09939519351917103,14.0,8292.85215240266,20,14,0.7,13,0.8063726270678786,7.5,20502.453396189896,0.4349856135286998,-0.340830944883843,0.22880224800415022,3.569235951428346,VALID,0.42475304535103764,0.5874587458745875,127,0.43999999999999995
3,0.5,1.25,0.3218282147917403,592,45,7.601351351351352,16,13,0.8125,9,-0.3153191740564286,8.5,14528.084939509534,6,4,0.6666666666666666,2,0.06384403141307482,19.5,5055.999721066323,6,1,0.16666666666666666,1,0.28183490424718505,21.5,5121.302488808216,23,17,0.7391304347826086,14,0.3876716389736643,8.0,21234.649331939578,0.30980866457431655,-0.3694999191526075,0.1562060849789344,2.972009066806476,VALID,0.3450555322081605,0.6303630363036303,105,0.4640000000000001
4,0.5,1.5,0.35058389050668326,592,46,7.77027027027027,16,12,0.75,8,-0.2300132504705411,6.5,14234.652565730594,7,5,0.7142857142857143,2,-0.02706026349643731,18.0,5866.1383433767405,6,1,0.16666666666666666,1,0.28183490424718616,21.5,4959.813532748016,23,17,0.7391304347826086,14,0.3876716389736652,8.0,20764.332816534305,0.35008217194425906,-0.3944336935653372,0.1632703821141848,2.8171868107458997,VALID,0.3690225942711273,0.6361386138613861,107,0.528
5,0.75,0.5,0.3248682338232298,592,73,12.33108108108108,29,23,0.7931034482758621,22,-0.19232794757201643,4.0,35057.30201114358,2,0,0.0,0,0.18809575095390008,23.0,2168.6057728064357,12,6,0.5,6,0.14633222567305726,8.5,13435.998387032429,19,13,0.6842105263157895,12,0.6720442554051145,7.0,23776.83892099382,0.8771384319908393,-0.20792032203072897,0.6728389299420777,3.953812767580054,VALID,0.6660912970993731,0.49422442244224424,127,0.732
6,0.75,0.75,0.22463046665381847,592,74,12.5,29,23,0.7931034482758621,22,-0.19660581399833932,4.0,32703.096229900922,4,2,0.5,2,0.1655305027290388,16.0,4194.628581881014,11,7,0.6363636363636364,6,0.02166255461138844,10.0,11255.679938366735,19,13,0.6842105263157895,12,0.8284344643683776,7.0,22340.84971016532,0.7683251732919345,-0.25739175819880245,0.4888706967441201,4.502347241400366,VALID,0.6111610228131054,0.5214521452145214,129,0.612
7,0.75,1.0,0.15390987950349158,592,80,13.513513513513514,32,26,0.8125,23,-0.23371316703301703,4.0,35807.77281808961,5,3,0.6,2,0.12161205717221302,18.0,5152.075951257394,10,6,0.6,6,0.06866374192086289,8.5,10184.929564501925,19,13,0.6842105263157895,12,0.8284344643683781,7.0,21881.40766128454,0.6977644367648708,-0.2602175413402331,0.44708559830727285,4.524382570442886,VALID,0.5724497295671035,0.5561056105610561,135,0.38
8,0.75,1.25,0.1989025502571236,592,76,12.837837837837837,31,25,0.8064516129032258,20,-0.3266551095202601,4.0,29677.42087495482,5,3,0.6,2,0.12015606295019698,22.0,4660.543893244084,8,4,0.5,3,0.048459479019759666,16.5,7392.118627295096,21,15,0.7142857142857143,14,0.7242591946836421,7.0,20942.685919729913,0.378457021962725,-0.34624626052953245,0.19931599987995294,3.6214676529619876,VALID,0.3904071764548833,0.5891089108910891,133,0.312
9,0.75,1.5,0.23622188488788834,592,68,11.486486486486488,27,23,0.8518518518518519,18,-0.3972113967706751,5.0,25157.130320194752,5,3,0.6,2,0.12015606295019676,22.0,4537.24127608057,8,3,0.375,3,0.17795285016625706,19.0,7197.3905116258975,21,15,0.7142857142857143,14,0.7242591946836416,7.0,20468.69676250539,0.3864268185292563,-0.31957885030274324,0.2199600519819274,3.633558564485081,VALID,0.394063659318278,0.5981848184818482,125,0.42800000000000005
