candidate_id,range_trend_multiplier,range_volume_multiplier,weight_l1_distance,range_days,range_transition_count,range_signal_density_per_100,range_to_range_count,range_to_range_loss_count,range_to_range_loss_rate,range_to_range_short_loss_count,range_to_range_compound_return,range_to_range_median_holding_sessions,range_to_range_fees,range_to_trend_count,range_to_trend_loss_count,range_to_trend_loss_rate,range_to_trend_short_loss_count,range_to_trend_compound_return,range_to_trend_median_holding_sessions,range_to_trend_fees,trend_to_range_count,trend_to_range_loss_count,trend_to_range_loss_rate,trend_to_range_short_loss_count,trend_to_range_compound_return,trend_to_range_median_holding_sessions,trend_to_range_fees,trend_to_trend_count,trend_to_trend_loss_count,trend_to_trend_loss_rate,trend_to_trend_short_loss_count,trend_to_trend_compound_return,trend_to_trend_median_holding_sessions,trend_to_trend_fees,strategy_return,max_drawdown,calmar,win_loss_ratio,win_loss_ratio_status,sharpe,exposure,trade_count,balanced_score
10,1.0,0.5,0.34347909661208403,592,75,12.66891891891892,30,24,0.8,24,-0.21014477221171346,4.0,34939.567684810856,2,0,0.0,0,0.18809575095390008,23.0,2130.0039224446155,12,6,0.5,6,0.14633222567305637,8.5,13041.115475617737,19,13,0.6842105263157895,12,0.6720442554051127,7.0,23202.671338848708,0.8357297362625675,-0.20792032203072897,0.6474707189176052,3.935054431212391,VALID,0.6468960735267162,0.49174917491749176,129,0.568
11,1.0,0.75,0.182593450107573,592,69,11.655405405405405,26,22,0.8461538461538461,22,-0.2269510560117146,3.5,30038.355561698856,4,1,0.25,1,0.20113103601292703,17.0,4268.20843616144,12,6,0.5,5,0.11297335138098408,12.5,12945.968767529455,19,13,0.6842105263157895,12,0.6720442554051129,7.0,22894.083262740394,0.7635242980364056,-0.20826870161122224,0.6011228874939606,3.9075960737069577,VALID,0.610544334701187,0.5008250825082509,125,0.768
12,1.0,1.0,0.09326621394943078,592,76,12.837837837837837,30,24,0.8,23,-0.2293425932923916,3.5,34420.65100992982,4,1,0.25,1,0.2011310360129268,17.0,4212.215113660938,11,7,0.6363636363636364,6,0.021662554611388662,10.0,11379.709975695288,19,13,0.6842105263157895,12,0.828434464368379,7.0,22449.493624510265,0.7480809768849912,-0.22723365546046226,0.5419056830995681,4.174421990840767,VALID,0.6005662791154524,0.5181518151815182,131,0.5840000000000001
13,1.0,1.25,0.09269037054540585,592,84,14.18918918918919,34,28,0.8235294117647058,25,-0.25848125237753683,4.0,37283.41537137859,5,3,0.6,2,0.12161205717221302,18.0,5074.621331799262,10,6,0.6,6,0.06866374192086289,8.5,10056.22579898838,19,13,0.6842105263157895,12,0.8284344643683792,7.0,21480.06824845141,0.6428889349872051,-0.2707609938851795,0.40160610031354516,4.541656256224637,VALID,0.5444531035990594,0.5528052805280528,139,0.244
14,1.0,1.5,0.14572998648753785,592,88,14.864864864864865,37,31,0.8378378378378378,27,-0.34868502004527135,4.0,37068.58649170571,5,3,0.6,2,0.1439661435153219,22.0,4793.0719148643275,8,4,0.5,4,0.12634767291153426,14.0,7626.30485857967,21,15,0.7142857142857143,14,0.7242591946836443,7.0,21643.077456205225,0.4628580339158357,-0.32002549894544907,0.25717720836863633,4.312295570954133,VALID,0.44179045059557626,0.5833333333333334,145,0.16
15,1.25,0.5,0.38306161475531797,592,80,13.513513513513514,32,23,0.71875,23,-0.14505143269900966,4.0,40232.95838082109,2,0,0.0,0,0.1880957509539003,23.0,2188.423147880593,13,6,0.46153846153846156,6,0.13245045878103512,10.0,14726.81043998919,18,13,0.7222222222222222,12,0.6678289491664757,7.0,23334.293361899894,0.9580044980384967,-0.18962997789112834,0.7906831281552603,3.5751440503130714,VALID,0.705903795706931,0.4793729372937294,133,0.6679999999999999
16,1.25,0.75,0.23056124034246303,592,75,12.66891891891892,30,24,0.8,24,-0.20798973498887852,4.0,36233.22679508165,2,0,0.0,0,0.1880957509539003,23.0,2155.279229522508,12,6,0.5,6,0.14633222567305726,8.5,13330.261230258628,19,13,0.6842105263157895,12,0.672044255405114,7.0,23565.677622839798,0.8407383324882203,-0.1907920518446088,0.7089670911374707,3.9487100817891783,VALID,0.6498812260231864,0.4900990099009901,129,0.624
17,1.25,1.0,0.10507146823609922,592,73,12.33108108108108,28,24,0.8571428571428571,24,-0.24823208033533273,3.0,32166.327868621152,4,1,0.25,1,0.20113103601292703,17.0,4223.5047401516285,12,6,0.5,5,0.1129733513809843,12.5,12751.636347480522,19,13,0.6842105263157895,12,0.6720442554051123,7.0,22566.52657058295,0.7149767852642088,-0.22482152200690486,0.5279001409839659,3.957324183927295,VALID,0.5857806353162366,0.5024752475247525,129,0.58
18,1.25,1.25,0.0,592,73,12.33108108108108,29,25,0.8620689655172413,23,-0.2648254575866903,3.0,32724.559803482818,4,1,0.25,0,0.19540135215451482,20.0,4180.525435455045,10,6,0.6,6,0.06866374192086266,8.5,10315.229248227351,19,13,0.6842105263157895,12,0.8284344643683785,7.0,22299.70228899226,0.7525733759841478,-0.23072279847132016,0.5363090874476745,4.62788041699249,VALID,0.6020861784631962,0.5272277227722773,127,0.6000000000000001
19,1.25,1.5,0.08926160694432159,592,83,14.020270270270272,34,29,0.8529411764705882,25,-0.32487459387600504,3.5,35676.268978608394,5,2,0.4,1,0.16257182615961718,22.0,4927.305894845556,9,5,0.5555555555555556,5,0.0751465685021464,10.0,8743.221205944596,20,14,0.7,13,0.8063726270678788,7.5,21746.67367898637,0.5409984023827195,-0.2922503471137011,0.3219063089967377,4.283881813058152,VALID,0.4877356033648346,0.5618811881188119,139,0.23200000000000004
20,1.5,0.5,0.4164956702328373,592,80,13.513513513513514,32,23,0.71875,23,-0.14505143269900966,4.0,40232.95838082109,2,0,0.0,0,0.1880957509539003,23.0,2188.423147880593,13,6,0.46153846153846156,6,0.13245045878103512,10.0,14726.81043998919,18,13,0.7222222222222222,12,0.6678289491664757,7.0,23334.293361899894,0.9580044980384967,-0.18962997789112834,0.7906831281552603,3.5751440503130714,VALID,0.7058874459061844,0.47854785478547857,133,0.6679999999999999
21,1.5,0.75,0.2717508750250472,592,75,12.66891891891892,30,24,0.8,24,-0.19737090663127388,4.0,36115.70477741282,2,0,0.0,0,0.1880957509539003,23.0,2155.279229522508,12,6,0.5,6,0.14633222567305681,8.5,13261.052453335233,19,13,0.6842105263157895,12,0.6720442554051134,7.0,23569.64867810227,0.8654179171697147,-0.19994404548303057,0.692260560325555,4.014763818847368,VALID,0.66169059479864,0.4884488448844885,129,0.624
22,1.5,1.0,0.15098171021804566,592,74,12.5,29,24,0.8275862068965517,24,-0.23659793909979188,4.0,34860.951768417384,3,0,0.0,0,0.21055183957055923,22.0,3235.688929128087,12,6,0.5,6,0.14633222567305726,8.5,13242.64365980204,19,13,0.6842105263157895,12,0.6720442554051134,7.0,23349.45851797338,0.8077839377889422,-0.20527915066069014,0.638199858735579,3.9006785581622676,VALID,0.6337996468869412,0.49174917491749176,129,0.632
23,1.5,1.25,0.08159621028685848,592,76,12.837837837837837,30,26,0.8666666666666667,25,-0.27600947146024934,3.0,35795.184239329246,4,1,0.25,1,0.20113103601292703,17.0,4317.4058556362215,11,5,0.45454545454545453,5,0.1641752562786427,10.0,11936.518906172289,19,13,0.6842105263157895,12,0.6720442554051134,7.0,22844.49294056551,0.727591027371838,-0.2268487624865052,0.5307024135771754,4.051543341120765,VALID,0.5914588719231461,0.5107260726072608,131,0.44800000000000006
24,1.5,1.5,0.06964290076441099,592,75,12.66891891891892,30,26,0.8666666666666667,24,-0.28811984703771876,3.0,32695.76288421837,4,1,0.25,0,0.19540135215451437,20.0,4080.8715762643865,10,6,0.6,6,0.06866374192086355,8.5,10053.702768093726,19,13,0.6842105263157895,12,0.828434464368379,7.0,21729.251752200893,0.6970421729753129,-0.2550977484925524,0.4556714230960998,4.555999735014936,VALID,0.5733986431533843,0.5297029702970297,129,0.45200000000000007
