candidate_id,roles,range_trend_multiplier,range_volume_multiplier,research_range_to_range_compound_return,test_range_to_range_compound_return,research_range_to_range_loss_rate,test_range_to_range_loss_rate,research_range_to_range_short_loss_count,test_range_to_range_short_loss_count,research_range_signal_density_per_100,test_range_signal_density_per_100,research_range_to_trend_compound_return,test_range_to_trend_compound_return,research_strategy_return,test_strategy_return,research_max_drawdown,test_max_drawdown,research_calmar,test_calmar,research_win_loss_ratio,test_win_loss_ratio
4,fewest_short_losses,0.5,1.5,-0.2300132504705411,-0.022399704527569786,0.75,0.6,8,1,7.77027027027027,12.149532710280374,-0.02706026349643731,0.2782061101442055,0.35008217194425906,0.4204526820111205,-0.3944336935653372,-0.20582282500474547,0.1632703821141848,3.528609424368804,2.8171868107458997,2.5491786138547194
11,best_balanced,1.0,0.75,-0.2269510560117146,-0.05815898796014052,0.8461538461538461,0.6666666666666666,22,2,11.655405405405405,6.5420560747663545,0.20113103601292703,0.3826823258986638,0.7635242980364056,0.48035054154773804,-0.20826870161122224,-0.16009742823113648,0.6011228874939606,5.251932902336439,3.9075960737069577,3.384195485838618
15,best_pure_range_return,1.25,0.5,-0.14505143269900966,-0.0837192750125495,0.71875,0.6666666666666666,23,2,13.513513513513514,6.5420560747663545,0.1880957509539003,0.3826823258986638,0.9580044980384967,0.4401758365853805,-0.18962997789112834,-0.18289124433813808,0.7906831281552603,4.175692921257544,3.5751440503130714,3.211010918216129
18,active_control,1.25,1.25,-0.2648254575866903,0.0320776457957892,0.8620689655172413,0.3333333333333333,23,1,12.33108108108108,6.5420560747663545,0.19540135215451482,0.43303797964914637,0.7525733759841478,0.6812590298660464,-0.23072279847132016,-0.12086776859504123,0.5363090874476745,10.29071534772381,4.62788041699249,5.263540895394769
