signal_date,anchor,trade_number,entry_date,holding_sessions,net_return,score_margin,score_change_1d,score_change_3d,score_above_exit_count_3d,role_agreement_count,persistent_role_agreement_count_2d,maximum_positive_role_share,confirmation_role_contribution,year,durable
2021-03-08,EX12_PLATFORM_MEDOID_REPRICED_10BP,1,2021-03-09,3,-0.007355374686663,0.21258959440580094,0.4469580355768509,,1.0,3,1,0.5890539167157788,-0.016065996426960445,2021,0
2021-03-23,EX12_PLATFORM_MEDOID_REPRICED_10BP,2,2021-03-24,1,-0.0138884150004084,0.06112748952888927,0.3007619483479121,0.21740011266707351,1.0,3,0,0.5658313371543461,0.012871107520617136,2021,0
2021-03-29,EX12_PLATFORM_MEDOID_REPRICED_10BP,3,2021-03-30,1,-0.0051363730609013,0.10027068670311867,0.16090218751319338,0.2186905355888016,2.0,3,1,0.7500076219457184,0.007229202782914199,2021,0
2021-04-02,EX12_PLATFORM_MEDOID_REPRICED_10BP,4,2021-04-06,2,-0.0065104450937154,0.12116875964660875,0.21803320599336237,0.22140171763440616,1.0,3,2,0.5983771356512794,0.0788939076826672,2021,0
2021-04-09,EX12_PLATFORM_MEDOID_REPRICED_10BP,5,2021-04-12,2,-0.0204937919223632,0.013875408768141098,0.021407022881752058,0.0007426500562501409,2.0,3,2,0.463244686858576,0.04331719288368954,2021,0
2021-04-26,EX12_PLATFORM_MEDOID_REPRICED_10BP,6,2021-04-27,2,0.0061945517169397,0.1358867682086805,0.2978453485001571,0.35615382667475454,2.0,3,1,0.7350774434964483,-0.011865070622876152,2021,0
2021-05-07,EX12_PLATFORM_MEDOID_REPRICED_10BP,7,2021-05-10,2,-0.0135578707007275,0.07387485561264473,0.21279019351616815,0.1440341608670779,1.0,3,3,0.4680094729353647,-0.05817554834071143,2021,0
2021-05-17,EX12_PLATFORM_MEDOID_REPRICED_10BP,8,2021-05-18,1,-0.0100938884124724,0.07309996722849743,0.09930152481212837,0.4402370028629233,2.0,2,1,0.9221808008179475,-0.05149374723099472,2021,0
2021-05-21,EX12_PLATFORM_MEDOID_REPRICED_10BP,9,2021-05-24,1,0.011418006937051,0.05717234482707387,0.20693149006472317,0.28009590608708856,1.0,2,1,0.6394088922476859,-0.03276084434850941,2021,0
2021-05-25,EX12_PLATFORM_MEDOID_REPRICED_10BP,10,2021-05-26,11,0.041610967828733,0.03772144524139828,0.1742127134271924,0.18748059047904758,2.0,3,1,0.7824667160042001,0.017333537117371654,2021,1
2021-06-11,EX12_PLATFORM_MEDOID_REPRICED_10BP,11,2021-06-15,3,0.0224595010163421,0.10299231425259175,0.1718379349601961,0.05007856030387506,2.0,4,3,0.6236379955179584,0.029738181190962738,2021,0
2021-06-22,EX12_PLATFORM_MEDOID_REPRICED_10BP,12,2021-06-23,6,0.0435406495817807,0.10636576716000815,0.2500292948146051,0.2687047419518999,2.0,2,1,0.562350148231197,0.08562336365787418,2021,1
2021-07-01,EX12_PLATFORM_MEDOID_REPRICED_10BP,13,2021-07-02,4,-0.0032423935167076,0.03314393182809931,0.15197429696342973,-0.039244240279588824,2.0,3,0,0.4959052938826873,0.01855661751695733,2021,1
2021-07-08,EX12_PLATFORM_MEDOID_REPRICED_10BP,14,2021-07-09,1,-0.0001634395016746,0.012484769324259473,0.17677895721795614,0.02018761232404384,2.0,3,1,0.7519296034596865,0.011817492605953828,2021,0
2021-07-12,EX12_PLATFORM_MEDOID_REPRICED_10BP,15,2021-07-13,3,-0.0166835004357994,0.04939135407817452,0.27524674755507,0.21368554197187117,2.0,1,0,1.0,-0.013256279546639632,2021,0
2021-07-21,EX12_PLATFORM_MEDOID_REPRICED_10BP,16,2021-07-22,11,0.0335558191808191,0.05497819950558666,0.3966974622066459,0.13736630940010333,1.0,2,0,0.9400950873304565,-0.03606127359970941,2021,1
2021-08-06,EX12_PLATFORM_MEDOID_REPRICED_10BP,17,2021-08-09,1,-0.0057172641023571,0.1180787720073587,0.2644750248981733,0.08865869746961953,2.0,4,1,0.3082106126781735,0.03831050747090922,2021,0
2021-08-17,EX12_PLATFORM_MEDOID_REPRICED_10BP,18,2021-08-18,1,0.0005741680999415,0.11064315295928728,0.1970712803163143,0.12853104736901572,3.0,4,3,0.38352674425165345,0.043779771705321324,2021,0
2021-08-30,EX12_PLATFORM_MEDOID_REPRICED_10BP,19,2021-08-31,2,-0.0266153846153844,0.12564536336989057,0.32184331967048707,0.238061569690085,2.0,3,2,0.5413998846321051,-0.031720232251654705,2021,0
2021-09-16,EX12_PLATFORM_MEDOID_REPRICED_10BP,20,2021-09-17,1,-0.0070239113404577,0.07682679023506114,0.27489849845677145,0.09307852702881664,2.0,4,2,0.401326851097219,0.039272002486796534,2021,0
2021-10-26,EX12_PLATFORM_MEDOID_REPRICED_10BP,21,2021-10-27,2,-0.0126075200490508,0.07988615831132168,0.19902400070361176,0.09349958750243648,2.0,4,1,0.7940845942648689,0.007515356261770308,2021,0
2021-10-29,EX12_PLATFORM_MEDOID_REPRICED_10BP,22,2021-11-01,7,0.0140201738247796,0.06989546072359767,0.2368760941152593,-0.009990697587724001,2.0,2,1,0.7594785677208675,0.05313172217875853,2021,1
2021-11-15,EX12_PLATFORM_MEDOID_REPRICED_10BP,23,2021-11-16,10,0.0306787346350785,0.1282303459123283,0.1682048366664736,0.17721599618347278,3.0,3,2,0.570801039359562,0.05276458809136766,2021,1
2021-11-30,EX12_PLATFORM_MEDOID_REPRICED_10BP,24,2021-12-01,1,-0.011263272536482,0.024628570927371807,0.17420137502136246,0.004816152262700005,2.0,2,0,0.91071226374695,-0.0002984284914750064,2021,0
2021-12-07,EX12_PLATFORM_MEDOID_REPRICED_10BP,25,2021-12-08,1,0.00633024833303,0.00017387416225173036,0.08373620162418871,0.1554657343108443,2.0,3,2,0.5336972106573419,0.031258881683327494,2021,0
2021-12-13,EX12_PLATFORM_MEDOID_REPRICED_10BP,26,2021-12-14,1,0.0020727063555072,0.030841818954137387,0.24012148414212464,0.14298230699808104,1.0,1,0,1.0,-0.000977520723769448,2021,0
2021-12-16,EX12_PLATFORM_MEDOID_REPRICED_10BP,27,2021-12-17,2,-0.0408546371661124,0.08660888151132276,0.16214916285664946,0.05576706255718537,2.0,2,1,0.72016951261131,0.053885369851388545,2021,0
2021-12-22,EX12_PLATFORM_MEDOID_REPRICED_10BP,28,2021-12-23,1,-0.0012922014336439,0.08320424435171955,0.41413160464648335,0.14670062137074627,1.0,2,0,0.7795417951824994,-0.035400740768160306,2021,0
2022-01-04,EX12_PLATFORM_MEDOID_REPRICED_10BP,29,2022-01-05,2,-0.0269302432043329,0.11971898084416738,0.39267421402319996,0.2908184827909932,1.0,4,0,0.6970749623616487,0.004433979573500415,2022,0
2022-01-18,EX12_PLATFORM_MEDOID_REPRICED_10BP,30,2022-01-19,1,-0.0157485733990445,0.03263452678125692,0.1116855363135729,0.1330190745107393,2.0,4,1,0.35894952323852436,0.020346578679503225,2022,0
2022-01-25,EX12_PLATFORM_MEDOID_REPRICED_10BP,31,2022-01-26,1,-0.0103526610375925,0.06631600593229547,0.29906155859709804,0.08894773404264113,1.0,4,2,0.5030657522893657,0.027014404111980445,2022,0
2022-02-10,EX12_PLATFORM_MEDOID_REPRICED_10BP,32,2022-02-11,1,-0.0159388680341844,0.039072449294450584,0.16142118315092038,0.09269101753109678,1.0,3,1,0.6429075168829436,-0.030582603473588592,2022,0
2022-02-24,EX12_PLATFORM_MEDOID_REPRICED_10BP,33,2022-02-25,4,0.005124930580918,0.011665614380325873,0.12712839438192844,0.056140679510817706,1.0,2,1,0.5850231949890424,0.08712181673599784,2022,1
2022-03-03,EX12_PLATFORM_MEDOID_REPRICED_10BP,34,2022-03-04,3,-0.0527438663031883,0.1560259069840267,0.38090369397533275,0.12055345155992714,2.0,4,2,0.3971066143986407,0.034226209289756115,2022,0
2022-03-10,EX12_PLATFORM_MEDOID_REPRICED_10BP,35,2022-03-11,1,0.0107750611163581,0.07065181825804737,0.14050101209307472,0.11068323771954254,2.0,2,1,0.824791863676789,-0.02871064592333587,2022,0
2022-03-16,EX12_PLATFORM_MEDOID_REPRICED_10BP,36,2022-03-17,4,-0.0011457372687089,0.09463303006635052,0.09625952614363849,0.27391817709775534,3.0,3,1,0.839388524398702,0.00705323892046527,2022,1
2022-03-25,EX12_PLATFORM_MEDOID_REPRICED_10BP,37,2022-03-28,4,-0.016129003739623,0.15093373601402305,0.4201957160271482,0.24587719476623257,2.0,4,0,0.3695584720023394,0.04506461748693642,2022,1
2022-04-20,EX12_PLATFORM_MEDOID_REPRICED_10BP,38,2022-04-21,2,-0.0409980800762364,0.14650349376271185,0.297335795796174,0.44567956801743147,1.0,3,1,0.5576996769228748,0.045761565224106474,2022,0
2022-04-26,EX12_PLATFORM_MEDOID_REPRICED_10BP,39,2022-04-27,1,0.0409025363776496,0.14115716104524836,0.1420093856968117,0.05989596635975303,2.0,3,2,0.5398550128713802,-0.035343417191056076,2022,0
2022-04-29,EX12_PLATFORM_MEDOID_REPRICED_10BP,40,2022-05-05,2,-0.008158508158508,0.08665276489310814,0.13676817016046772,-0.05450439615214023,2.0,2,2,0.819787518096461,-0.008181734385365208,2022,0
2022-05-11,EX12_PLATFORM_MEDOID_REPRICED_10BP,41,2022-05-12,1,0.0234163485877492,0.12974585595111116,0.31230952530149697,0.2698436850772087,1.0,4,2,0.42474936204512576,0.03002373809600599,2022,0
2022-05-16,EX12_PLATFORM_MEDOID_REPRICED_10BP,42,2022-05-17,1,0.0165740234300471,0.18527904344360674,0.3095919594526929,0.055533187492495584,1.0,4,1,0.34595684104929864,0.07931181903603753,2022,0
2022-05-18,EX12_PLATFORM_MEDOID_REPRICED_10BP,43,2022-05-19,1,0.0376897593192455,0.1222126053352911,0.23978863722380314,0.24652552134437727,2.0,4,2,0.5172393888145378,0.07174602159755725,2022,0
2022-05-24,EX12_PLATFORM_MEDOID_REPRICED_10BP,44,2022-05-25,1,0.0057761128841948,0.19348886039069407,0.36020676232823157,0.3796148603661191,1.0,4,1,0.47993283580061424,0.0008957902556350284,2022,0
2022-05-27,EX12_PLATFORM_MEDOID_REPRICED_10BP,45,2022-05-30,3,0.0341331857965909,0.030975395561590513,0.06438279530382068,-0.16251346482910356,2.0,3,2,0.7689939883059631,-0.028696192624025924,2022,0
