feature,direction,supported,minimum_directional_auc,maximum_fdr_qvalue,minimum_leave_one_year_out_direction_rate,minimum_top_minus_bottom_durable_rate
confirmation_role_contribution,HIGHER,True,0.6409347154028006,0.03679264147170566,1.0,0.2727272727272727
score_above_exit_count_3d,HIGHER,False,0.5264593562465902,0.9130973805238952,1.0,0.05296243910105297
role_agreement_count,LOWER,False,0.5250783699059561,0.9130973805238952,0.8333333333333334,0.01921989824759751
score_change_3d,LOWER,False,0.5249011857707511,0.9130973805238952,0.8333333333333334,0.036363636363636376
persistent_role_agreement_count_2d,CONFLICT,False,0.5135479178032369,0.9508098380323935,0.6666666666666666,0.037990196078431404
score_margin,HIGHER,False,0.5060920167303146,0.9508098380323935,0.6666666666666666,0.0
maximum_positive_role_share,CONFLICT,False,0.5032733224222586,0.9508098380323935,0.3333333333333333,0.054545454545454536
score_change_1d,LOWER,False,0.5023510971786833,0.9652069586082783,0.5,0.03703703703703706
