period,signal_date,execution_date,side,size,price,fees,factor_event_id,event_type
2021-2023FULL,2021-01-12,2021-01-13,Buy,696030.8146762274,1.436,499.75012493750546,PositionRisk:intraday_C0.35_V0.60_P0.50:20210112:Entry,Entry
2021-2023FULL,2021-01-28,2021-01-29,Sell,696030.8146762274,1.456,506.7104330842936,PositionRisk:intraday_C0.35_V0.60_P0.50:20210128:Exit,Exit
2021-2023FULL,2021-03-26,2021-03-29,Buy,787866.110318773,1.285,506.20397587970365,PositionRisk:intraday_C0.35_V0.60_P0.50:20210326:Entry,Entry
2021-2023FULL,2021-04-12,2021-04-13,Sell,787866.110318773,1.267,499.11318088694264,PositionRisk:intraday_C0.35_V0.60_P0.50:20210412:Exit,Exit
2021-2023FULL,2021-04-16,2021-04-19,Buy,767098.9494429696,1.3,498.6143171378644,PositionRisk:intraday_C0.35_V0.60_P0.50:20210416:Entry,Entry
2021-2023FULL,2021-05-07,2021-05-10,Sell,383549.4747214848,1.295,248.3482848821614,PositionRisk:intraday_C0.35_V0.60_P0.50:20210507:Reduce,Reduce
2021-2023FULL,2021-05-12,2021-05-13,Buy,385248.5414741703,1.288,248.1000607093447,PositionRisk:intraday_C0.35_V0.60_P0.50:20210512:Increase,Increase
2021-2023FULL,2021-06-16,2021-06-17,Sell,768798.0161956551,1.441,553.9189706689696,PositionRisk:intraday_C0.35_V0.60_P0.50:20210616:Exit,Exit
2021-2023FULL,2021-06-17,2021-06-18,Buy,735369.2073347182,1.505,553.3653285193723,PositionRisk:intraday_C0.35_V0.60_P0.50:20210617:Entry,Entry
2021-2023FULL,2021-07-06,2021-07-07,Sell,735369.2073347182,1.557,572.4849279100781,PositionRisk:intraday_C0.35_V0.60_P0.50:20210706:Exit,Exit
2021-2023FULL,2021-07-07,2021-07-08,Buy,713998.4133353087,1.602,571.9127290814649,PositionRisk:intraday_C0.35_V0.60_P0.50:20210707:Entry,Entry
2021-2023FULL,2021-07-14,2021-07-15,Sell,713998.4133353087,1.589,567.2717393949027,PositionRisk:intraday_C0.35_V0.60_P0.50:20210714:Exit,Exit
2021-2023FULL,2021-07-29,2021-07-30,Buy,697053.8144521901,1.626,566.7047511495184,PositionRisk:intraday_C0.35_V0.60_P0.50:20210729:Entry,Entry
2021-2023FULL,2021-08-09,2021-08-10,Sell,697053.8144521901,1.604,559.0371591906566,PositionRisk:intraday_C0.35_V0.60_P0.50:20210809:Exit,Exit
2021-2023FULL,2021-08-12,2021-08-13,Buy,692042.6287612836,1.614,558.4784014103934,PositionRisk:intraday_C0.35_V0.60_P0.50:20210812:Entry,Entry
2021-2023FULL,2021-08-13,2021-08-16,Sell,346021.3143806418,1.592,275.4329662469909,PositionRisk:intraday_C0.35_V0.60_P0.50:20210813:Reduce,Reduce
2021-2023FULL,2021-08-17,2021-08-18,Sell,346021.3143806418,1.552,268.51253995937805,PositionRisk:intraday_C0.35_V0.60_P0.50:20210817:Exit,Exit
2021-2023FULL,2021-08-24,2021-08-25,Buy,671695.7138899841,1.618,543.4018325370271,PositionRisk:intraday_C0.35_V0.60_P0.50:20210824:Entry,Entry
2021-2023FULL,2021-08-26,2021-08-27,Sell,335847.85694499203,1.54,258.6028498476439,PositionRisk:intraday_C0.35_V0.60_P0.50:20210826:Reduce,Reduce
2021-2023FULL,2021-08-27,2021-08-30,Sell,335847.85694499203,1.525,256.0839909205564,PositionRisk:intraday_C0.35_V0.60_P0.50:20210827:Exit,Exit
2021-2023FULL,2021-10-13,2021-10-14,Buy,746258.9421512992,1.378,514.1724111421499,PositionRisk:intraday_C0.35_V0.60_P0.50:20211013:Entry,Entry
2021-2023FULL,2021-10-19,2021-10-20,Sell,746258.9421512992,1.401,522.7543889769852,PositionRisk:intraday_C0.35_V0.60_P0.50:20211019:Exit,Exit
2021-2023FULL,2021-10-20,2021-10-21,Buy,742861.8717419337,1.406,522.2318958345568,PositionRisk:intraday_C0.35_V0.60_P0.50:20211020:Entry,Entry
2021-2023FULL,2021-10-27,2021-10-28,Sell,742861.8717419337,1.391,516.660431796515,PositionRisk:intraday_C0.35_V0.60_P0.50:20211027:Exit,Exit
