event_id,signal_date,event_type,factor_score,family,candidate_id,pressure_position,pressure,baseline_position,before_position,after_position,close,sma_5,sma_20,close_location,down_volume_share,reason
PositionRisk:intraday_C0.35_V0.60_P0.50:20210112:Entry,2021-01-12,Entry,0.20265053405577624,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.434,1.4238000000000002,1.40485,0.9310344827586204,0.2396809868968049,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20210128:Exit,2021-01-28,Exit,-0.059921892773203284,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.452,1.4979999999999998,1.4666000000000001,0.08888888888888867,0.7133246542631054,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20210326:Entry,2021-03-26,Entry,0.26212080125684833,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.281,1.2616,1.2939,0.9393939393939392,0.10890529386483157,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20210412:Exit,2021-04-12,Exit,-0.166968373735133,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.269,1.3066,1.27765,0.07499999999999722,0.8115214709589066,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20210416:Entry,2021-04-16,Entry,0.30969701501770597,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.3,1.2815999999999999,1.2834999999999999,0.82608695652174,0.6426377029955139,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20210507:Reduce,2021-05-07,Reduce,0.07091269506915523,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,True,1.0,1.0,0.5,1.295,1.3356000000000001,1.316,0.041666666666666664,0.9327958831311013,risk pressure activated
PositionRisk:intraday_C0.35_V0.60_P0.50:20210512:Increase,2021-05-12,Increase,0.11939215997427542,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.5,1.0,1.3,1.2986,1.3122,1.0,0.11969783626448494,risk pressure cleared
PositionRisk:intraday_C0.35_V0.60_P0.50:20210616:Exit,2021-06-16,Exit,0.023336481308297602,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.439,1.4654,1.42855,0.021276595744683165,0.7970677329475685,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20210617:Entry,2021-06-17,Entry,0.40484944253942123,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.505,1.4747999999999999,1.4362,0.9275362318840562,0.06634983552948136,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20210706:Exit,2021-07-06,Exit,0.023336481308297602,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.57,1.5985999999999998,1.5397500000000002,0.2933333333333338,0.38051178935561036,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20210707:Entry,2021-07-07,Entry,0.452425656300279,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.605,1.5944,1.54755,0.9354838709677419,0.11000490484485104,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20210714:Exit,2021-07-14,Exit,-0.08400920943548748,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.599,1.6282,1.58825,0.07692307692307693,0.7150831966656093,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20210729:Entry,2021-07-29,Entry,0.3926561793173515,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.631,1.5954000000000002,1.5987,0.9107142857142874,0.5093973986093657,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20210809:Exit,2021-08-09,Exit,-0.15537353007677399,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.612,1.6272000000000002,1.6052,0.75,0.32582179656609517,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20210812:Entry,2021-08-12,Entry,0.2023513242739209,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.623,1.6214,1.60725,0.42857142857142677,0.38879520501571296,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20210813:Reduce,2021-08-13,Reduce,-0.1791616369572028,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,True,1.0,1.0,0.5,1.596,1.6146,1.6088,0.23076923076923428,0.730285390062099,risk pressure activated
PositionRisk:intraday_C0.35_V0.60_P0.50:20210817:Exit,2021-08-17,Exit,-0.3572732287785636,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,0.5,0.0,1.551,1.595,1.6101500000000002,0.12244897959183645,1.0,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20210824:Entry,2021-08-24,Entry,0.21454458749599065,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.619,1.584,1.6056000000000001,0.8285714285714281,0.2552967108193571,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20210826:Reduce,2021-08-26,Reduce,-0.07181594621341772,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,True,1.0,1.0,0.5,1.542,1.5832000000000002,1.6026,0.16129032258064516,0.727020849728046,risk pressure activated
PositionRisk:intraday_C0.35_V0.60_P0.50:20210827:Exit,2021-08-27,Exit,-0.07181594621341772,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,0.5,0.0,1.523,1.5742,1.5971499999999998,0.34285714285714175,0.8188202790183763,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20211013:Entry,2021-10-13,Entry,0.1898532294712994,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.377,1.3868,1.41015,0.7777777777777769,0.33302748755454514,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20211019:Exit,2021-10-19,Exit,-0.04712458818872642,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.401,1.3889999999999998,1.39725,0.8500000000000055,0.2953999515973708,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20211020:Entry,2021-10-20,Entry,0.26212080125684833,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.408,1.3952,1.3965999999999998,0.5555555555555556,0.39680587041968646,champion entry
