event_id,window,date,valuation_point,actual_wealth,continued_wealth,cumulative_log_advantage,incremental_log_advantage
2021H1:early_ex04_exit:20210616,2021H1,2021-06-17,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
2021H1:early_ex04_exit:20210616,2021H1,2021-06-17,daily_close,0.9995,1.04441360166551,0.043955706225136094,0.04345558118345394
2021H1:early_ex04_exit:20210616,2021H1,2021-06-18,endpoint_open,0.9990004997501251,1.04441360166551,0.044455581266787086,0.000499875041650992
2021H2:early_ex04_exit:20210706,2021H2,2021-07-07,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
2021H2:early_ex04_exit:20210706,2021H2,2021-07-07,daily_close,0.9995,1.0308285163776494,0.030862988771800187,0.030362863730118036
2021H2:early_ex04_exit:20210706,2021H2,2021-07-08,endpoint_open,0.9990004997501251,1.0289017341040463,0.0294919558776394,-0.0013710328941607883
2021H2:early_ex04_exit:20211223,2021H2,2021-12-24,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
2021H2:early_ex04_exit:20211223,2021H2,2021-12-24,daily_close,0.9995,0.989399293286219,-0.010157169432305858,-0.01065729447398801
2021H2:early_ex04_exit:20211223,2021H2,2021-12-27,daily_close,0.9995,0.984452296819788,-0.01516971125585007,-0.005012541823544211
2021H2:early_ex04_exit:20211223,2021H2,2021-12-28,endpoint_open,0.9995,0.9874918727915194,-0.012086887283582542,0.003082823972267527
2022H1:early_ex04_exit:20220120,2022H1,2022-01-21,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
2022H1:early_ex04_exit:20220120,2022H1,2022-01-21,daily_close,0.9995,0.988830975428146,-0.010731741445176092,-0.011231866486858243
2022H1:early_ex04_exit:20220120,2022H1,2022-01-24,endpoint_open,0.9995,0.9868481012658229,-0.012739025777429714,-0.002007284332253622
2022H1:early_ex04_exit:20220303,2022H1,2022-03-04,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
2022H1:early_ex04_exit:20220303,2022H1,2022-03-04,daily_close,0.9995,1.0008071025020178,0.0013069020116222869,0.0008067769699401354
2022H1:early_ex04_exit:20220303,2022H1,2022-03-07,daily_close,0.9995,0.9717514124293785,-0.02815513071869391,-0.029462032730316196
2022H1:early_ex04_exit:20220303,2022H1,2022-03-08,daily_close,0.9995,0.9459241323648102,-0.055092786450502425,-0.026937655731808514
2022H1:early_ex04_exit:20220303,2022H1,2022-03-09,endpoint_open,0.9995,0.9486779661016949,-0.05218575317057031,0.0029070332799321155
2022H1:early_ex04_exit:20220324,2022H1,2022-03-25,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
2022H1:early_ex04_exit:20220324,2022H1,2022-03-25,daily_close,0.9995,0.9768637532133675,-0.02290796585633277,-0.023408090898014922
2022H1:early_ex04_exit:20220324,2022H1,2022-03-28,endpoint_open,0.9995,0.9678106255355612,-0.03221872058016986,-0.009310754723837092
2022H2:early_ex04_exit:20221121,2022H2,2022-11-22,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
2022H2:early_ex04_exit:20221121,2022H2,2022-11-22,daily_close,0.9995,0.9877474081055608,-0.011828148691313432,-0.012328273732995583
2022H2:early_ex04_exit:20221121,2022H2,2022-11-23,endpoint_open,0.9995,0.9834853911404338,-0.016152370171399002,-0.00432422148008557
2023H1:early_ex04_exit:20230208,2023H1,2023-02-09,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
2023H1:early_ex04_exit:20230208,2023H1,2023-02-09,daily_close,0.9995,1.0300387596899223,0.03009655734212196,0.029596432300439807
2023H1:early_ex04_exit:20230208,2023H1,2023-02-10,endpoint_open,0.9990004997501251,1.0290697674418605,0.029655255843709462,-0.0004413014984124969
2023H1:early_ex04_exit:20230606,2023H1,2023-06-07,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
2023H1:early_ex04_exit:20230606,2023H1,2023-06-07,daily_close,0.9995,0.9933460076045626,-0.006176103857061678,-0.0066762288987438296
2023H1:early_ex04_exit:20230606,2023H1,2023-06-08,daily_close,0.9995,0.9800380228136881,-0.019663784239013094,-0.013487680381951417
2023H1:early_ex04_exit:20230606,2023H1,2023-06-09,daily_close,0.9995,1.0038022813688212,0.004295196010233754,0.02395898024924685
2023H1:early_ex04_exit:20230606,2023H1,2023-06-12,endpoint_open,0.9990004997501251,1.0009505703422052,0.0019501189196535656,-0.0023450770905801884
2023H1:early_ex04_exit:20230626,2023H1,2023-06-27,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
2023H1:early_ex04_exit:20230626,2023H1,2023-06-27,daily_close,0.9995,1.0009661835748793,0.0014658421616411468,0.0009657171199589954
2023H1:early_ex04_exit:20230626,2023H1,2023-06-28,daily_close,0.9995,0.9980676328502416,-0.0014341115381485674,-0.0028999536997897143
2023H1:early_ex04_exit:20230626,2023H1,2023-06-29,daily_close,0.9995,0.991304347826087,-0.008233554927072353,-0.006799443388923786
2023H1:early_ex04_exit:20230626,2023H1,2023-06-30,endpoint_close,0.9995,0.995169082125604,-0.0043424994341056625,0.003891055492966691
2023H2:early_ex04_exit:20230706,2023H2,2023-07-07,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
2023H2:early_ex04_exit:20230706,2023H2,2023-07-07,daily_close,0.9995,0.9931640624999999,-0.006359284509210998,-0.006859409550893149
2023H2:early_ex04_exit:20230706,2023H2,2023-07-10,endpoint_open,0.9995,0.99266748046875,-0.006859409550893255,-0.0005001250416822572
2023H2:early_ex04_exit:20230808,2023H2,2023-08-09,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
2023H2:early_ex04_exit:20230808,2023H2,2023-08-09,daily_close,0.9995,0.992914979757085,-0.006610113140822489,-0.00711023818250464
2023H2:early_ex04_exit:20230808,2023H2,2023-08-10,daily_close,0.9995,0.9939271255060729,-0.005591264351719728,0.0010188487891027607
2023H2:early_ex04_exit:20230808,2023H2,2023-08-11,daily_close,0.9995,0.9736842105263158,-0.026168122040479004,-0.020576857688759276
2023H2:early_ex04_exit:20230808,2023H2,2023-08-14,daily_close,0.9995,0.9655870445344129,-0.034518901257899054,-0.00835077921742005
2023H2:early_ex04_exit:20230808,2023H2,2023-08-15,endpoint_open,0.9995,0.9651042510121458,-0.03501902629958134,-0.0005001250416822867
2023H2:early_ex04_exit:20230907,2023H2,2023-09-08,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
2023H2:early_ex04_exit:20230907,2023H2,2023-09-08,daily_close,0.9995,1.0065430752453652,0.007021887288069483,0.006521762246387332
2023H2:early_ex04_exit:20230907,2023H2,2023-09-11,daily_close,0.9995,1.0130861504907307,0.013501391599055867,0.006479504310986384
2023H2:early_ex04_exit:20230907,2023H2,2023-09-12,daily_close,0.9995,1.0065430752453652,0.007021887288069483,-0.006479504310986384
2023H2:early_ex04_exit:20230907,2023H2,2023-09-13,endpoint_open,0.9995,1.003859869138495,0.00435256399884194,-0.0026693232892275433
2024H1:early_ex04_exit:20240103,2024H1,2024-01-04,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
2024H1:early_ex04_exit:20240103,2024H1,2024-01-04,daily_close,0.9995,0.9941107184923439,-0.005406566673708046,-0.005906691715390197
2024H1:early_ex04_exit:20240103,2024H1,2024-01-05,endpoint_open,0.9995,0.9912591283863369,-0.008279172069020648,-0.0028726053953126024
2024H2:early_ex04_exit:20240724,2024H2,2024-07-25,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
2024H2:early_ex04_exit:20240724,2024H2,2024-07-25,daily_close,0.9995,1.0068775790921596,0.007354161469474441,0.006854036427792289
2024H2:early_ex04_exit:20240724,2024H2,2024-07-26,daily_close,0.9995,1.015130674002751,0.015517472108635317,0.008163310639160877
2024H2:early_ex04_exit:20240724,2024H2,2024-07-29,daily_close,0.9995,0.9958734525447043,-0.003634960106120707,-0.019152432214756022
2024H2:early_ex04_exit:20240724,2024H2,2024-07-30,endpoint_open,0.9995,0.9940006877579093,-0.005517255374754629,-0.001882295268633922
2024H2:early_ex04_exit:20241030,2024H2,2024-10-31,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
2024H2:early_ex04_exit:20241030,2024H2,2024-10-31,daily_close,0.9995,1.0122324159021407,0.012658329521491743,0.012158204479809592
2024H2:early_ex04_exit:20241030,2024H2,2024-11-01,daily_close,0.9995,0.982670744138634,-0.016981039913135307,-0.02963936943462705
2024H2:early_ex04_exit:20241030,2024H2,2024-11-04,endpoint_open,0.9995,0.9791228338430175,-0.02059805059507057,-0.003617010681935262
2025H1:early_ex04_exit:20250311,2025H1,2025-03-12,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
2025H1:early_ex04_exit:20250311,2025H1,2025-03-12,daily_close,0.9995,0.9876434245366285,-0.011933427674398787,-0.012433552716080938
2025H1:early_ex04_exit:20250311,2025H1,2025-03-13,daily_close,0.9995,0.9664607237422771,-0.03361449373572298,-0.02168106606132419
2025H1:early_ex04_exit:20250311,2025H1,2025-03-14,endpoint_open,0.9995,0.9659774933804061,-0.03411461877740517,-0.0005001250416821895
2025H1:early_ex04_exit:20250418,2025H1,2025-04-21,exit_open,0.9995,1.0,0.0005001250416821515,0.0005001250416821515
