lag,is_observed,strategy_return,annualized_return,max_drawdown,calmar,win_loss_ratio,closed_trade_count,winning_trade_count,losing_trade_count,has_wins_and_losses,sharpe,exposure,trade_count
0,True,0.7094430673578125,1.3145583519752222,-0.12086776859504123,10.876004142837745,19.6579772525972,6,5,1,True,3.1507597704577917,0.577639751552795,13
1,False,1.0557298972973794,2.089298741879955,-0.10382754069511657,20.122779831750588,23.67999216307057,7,6,1,True,4.3189252827995706,0.5714285714285714,14
2,False,1.3258025588181153,2.7477118383857775,-0.10382754069511646,26.464190714622372,18.965169268931046,7,5,2,True,5.076109302696237,0.5714285714285714,15
3,False,1.0938893456285679,2.179525814987162,-0.1545194880230597,14.105184031297727,,7,7,0,False,4.494923973986608,0.5714285714285714,15
4,False,1.0067133081666624,1.97478306504158,-0.14538108792569804,13.583493514994608,6.322688747354361,7,5,2,True,4.198955185670296,0.5714285714285714,15
5,False,0.9220259310894499,1.7806408688478808,-0.18589317019917828,9.578839647201583,5.546861569396549,7,5,2,True,3.882314029399817,0.5714285714285714,15
6,False,0.7094397179808087,1.3145512537144306,-0.2003185836812249,6.56230305524888,3.4604761142790745,7,4,3,True,3.215299629056886,0.5714285714285714,15
7,False,0.7113320810340591,1.3185629492293702,-0.22014132878093573,5.989620197766145,4.178270957835482,7,4,3,True,3.2007407453622494,0.5714285714285714,15
8,False,0.7130792354479558,1.3222690380386446,-0.2236286048067182,5.912790267512867,3.7398481848980842,7,4,3,True,3.2449403081487254,0.5714285714285714,15
9,False,0.5928125195637313,1.0721998726798456,-0.20271595808802267,5.289173495725869,2.926644211445522,7,4,3,True,2.8062873528998136,0.5714285714285714,15
10,False,0.5125222796671058,0.911051330255978,-0.16917588694346308,5.385231587764292,1.8396385183088528,7,5,2,True,2.6854997833986904,0.5714285714285714,15
11,False,0.4807442687478074,0.8485804482878521,-0.17463874061672935,4.859061885645338,3.4635591372614143,7,5,2,True,2.3480209441162816,0.5714285714285714,15
12,False,0.3004733844892993,0.5086677356597673,-0.22388239113994968,2.2720310117725933,1.808992092032879,7,5,2,True,1.6438784721400503,0.5714285714285714,15
13,False,0.37977098732370984,0.6551157121121018,-0.1639703653128508,3.995329954057001,1.9700173154157838,7,5,2,True,1.9323042228729868,0.5714285714285714,15
14,False,0.22189977423446994,0.368452132266633,-0.14915366262471041,2.4702855148365037,1.4381962433119027,7,5,2,True,1.295257214886181,0.5714285714285714,15
15,False,0.10357009553055718,0.16678593311008671,-0.201197529224043,0.828966109839066,0.8583202629963783,7,5,2,True,0.7341883183550789,0.5714285714285714,15
16,False,0.12687983231371303,0.20559026319101625,-0.1634281942209993,1.2579852832064116,0.9532920306764131,7,5,2,True,0.8483124240472838,0.5714285714285714,15
17,False,0.2005065699678008,0.3311370150041302,-0.18610375778081978,1.7793139641711082,2.6417813168276933,7,4,3,True,1.1842872487164822,0.5714285714285714,15
18,False,0.007482247982044665,0.0117360820899155,-0.29798694315697705,0.03938455143564136,1.0865397217440655,7,4,3,True,0.2543071371659187,0.5714285714285714,15
