object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown
signal,raw__30m__cxt_bi_status_V230101,zero_contribution,2021,0.0029406556554447683,-0.026099933070032222,-0.02904058872547699,0.13294054781997158,-0.05643662895958499,-0.18937717677955657,0.9999999999999811,33,0.6790123456790124,-0.21109168986388915
signal,raw__30m__cxt_bi_status_V230101,zero_contribution,2022,-0.07098337536211052,-0.017696156498022142,0.05328721886408838,-0.3925555936985177,-0.010929502796673568,0.3816260909018442,0.5766137377610943,23,0.5165289256198347,-0.13946388315831781
signal,raw__30m__cxt_bi_status_V230101,zero_contribution,2023,-0.06031910763728798,-0.04497637064282756,0.015342736994460426,-0.3898777490492146,-0.2697879492385162,0.1200897998106984,0.3675963201220345,27,0.628099173553719,-0.19994876802080008
signal,raw__30m__cxt_bi_status_V230101,zero_contribution,2024,0.06821503071757551,0.16686301075638266,0.09864798003880715,0.429718323504386,0.7162492797340702,0.28653095622968416,0.6243163817743699,25,0.4834710743801653,-0.18357160128619643
signal,raw__30m__cxt_bi_status_V230101,zero_contribution,2025,0.5165797353772803,0.40407053075830834,-0.11250920461897196,2.1935321360904703,1.8283622742415722,-0.3651698618488981,0.46885470312065386,13,0.7078189300411523,-0.15846574960696458
signal,raw__30m__cxt_bi_status_V230101,zero_contribution,2021H1,0.24893799167194453,0.19879479499926211,-0.05014319667268241,3.071835242807882,2.487216264764677,-0.584618978043205,1.0,7,0.6610169491525424,-0.10776621504815143
signal,raw__30m__cxt_bi_status_V230101,zero_contribution,2021H2,-0.19785984963082448,-0.18850575840406802,0.009354091226756456,-2.7932256547119008,-2.611229401262,0.1819962534499009,1.0,27,0.696,-0.21109168986388926
signal,raw__30m__cxt_bi_status_V230101,zero_contribution,2022H1,-0.06477702515250938,-0.016717625273731662,0.04805939987877772,-0.7230789850675907,-0.0791760691916905,0.6439029158759002,0.0,11,0.5299145299145299,-0.13946388315831781
signal,raw__30m__cxt_bi_status_V230101,zero_contribution,2022H2,-0.004512956055262585,0.0011401585037249529,0.0056531145589875376,0.027823439228323324,0.10969186485369252,0.0818684256253692,0.576613737761093,13,0.504,-0.09330383229475037
signal,raw__30m__cxt_bi_status_V230101,zero_contribution,2023H1,0.0509484040161825,0.09614206317438057,0.04519365915819806,0.7678236149964333,1.3239128626968533,0.55608924770042,0.5129832491902849,13,0.8135593220338984,-0.08259674563419128
signal,raw__30m__cxt_bi_status_V230101,zero_contribution,2023H2,-0.10632026926329408,-0.12917641951011583,-0.02285615024682175,-2.295242649962902,-2.998378445805629,-0.7031357958427269,0.9999999999999902,15,0.45161290322580644,-0.1388291216928712
signal,raw__30m__cxt_bi_status_V230101,zero_contribution,2024H1,-0.09485536840967668,-0.04645031117765064,0.04840505723202604,-1.2263976900051408,-0.6423269049015463,0.5840707851035944,0.8582803987989501,12,0.48717948717948717,-0.09360748369882088
signal,raw__30m__cxt_bi_status_V230101,zero_contribution,2024H2,0.18015949433488965,0.22370446389372578,0.04354496955883613,1.0655359885390128,1.2392500257190315,0.17371403718001877,1.0,13,0.48,-0.18357160128619598
signal,raw__30m__cxt_bi_status_V230101,zero_contribution,2025H1,0.03483459850082471,0.043186436108856086,0.008351837608031376,0.5727132492529325,0.6843684726719496,0.11165522341901701,0.5914670151115402,9,0.6581196581196581,-0.13590622815525155
signal,raw__30m__cxt_bi_status_V230101,zero_contribution,2025H2,0.466221134770592,0.34657999999216993,-0.11964113477842209,3.257468496072225,2.584624833055587,-0.6728436630166379,0.7643905109469864,5,0.753968253968254,-0.1584657496069649
signal,raw__30m__cxt_bi_status_V230101,drop_and_reaggregate,2021,0.0029406556554447683,-0.05770503449905817,-0.06064569015450294,0.13294054781997158,-0.27244162731275384,-0.40538217513272545,0.29511928441627105,25,0.6625514403292181,-0.2366934204794866
signal,raw__30m__cxt_bi_status_V230101,drop_and_reaggregate,2022,-0.07098337536211052,-0.027616607284882577,0.043366768077227946,-0.3925555936985177,-0.07775891177001364,0.3147966819285041,0.5428727982197578,21,0.5330578512396694,-0.14223980611587184
